Winner,Loser
Texas St.,Howard Payne
Tulane,Nicholls St.
UC Davis,UC Santa Cruz
UC Santa Barbara,Santa Clara
Oral Roberts,UTSA
Weber St.,Utah St.
VMI,Alice Lloyd
Vanderbilt,Bucknell
Virginia,Winthrop
Virginia Tech,FIU
Western Caro.,Montreat
Wyoming,Northern Colo.
Xavier,Fort Wayne
Quinnipiac,Yale
American,Fla. Atlantic
Army West Point,Marywood
Boise St.,Utah
Buffalo,Cornell
Cal Poly,CSU Bakersfield
Central Ark.,Philander Smith
The Citadel,Clemson
UAB,Creighton
Florida St.,Stetson
Gardner-Webb,Lees-McRae
Ill.-Chicago,Roosevelt
Evansville,Indiana
Wright St.,Jackson St.
Penn St.,LIU Brooklyn
Lafayette,St. Francis Brooklyn
Pittsburgh,Long Beach St.
Eastern Ill.,Loyola Chicago
Hartford,Mt. St. Mary's
Wagner,N.C. Central
NC State,Princeton
Siena,Navy
New Mexico,New Mexico St.
Norfolk St.,Randolph
North Dakota St.,Green Bay
Notre Dame,Sam Houston St.
Arkansas,Oakland
Old Dominion,Howard
UMKC,Omaha
Ark.-Pine Bluff,Oral Roberts
Oregon St.,Hofstra
Radford,Central Penn
San Diego,San Diego Christian
San Francisco,San Jose St.
Savannah St.,Jacksonville
South Alabama,Mobile
South Carolina St.,Webber Int'l
Georgia,South Dakota St.
South Fla.,Fla. Southern
Bradley,Southeast Mo. St.
Tennessee,La.-Monroe
Tennessee St.,Fisk
Texas Tech,North Texas
UNC Asheville,Mars Hill
Oklahoma St.,UTSA
Utah Valley,Grambling
Dartmouth,Vermont
Wake Forest,Ga. Southern
Wisconsin,Colgate
Maryland,Alabama
Alabama St.,Northwestern St.
St. John's (NY),Arizona
Bethune-Cookman,Johnson (FL)
Wichita St.,Colorado
East Carolina,Coker
Saint Joseph's,Georgia Tech
Richmond,Hampton
Illinois St.,SIUE
Iowa,Northern Ill.
Northwestern,LSU
Illinois,Lipscomb
UMBC,Loyola Maryland
Furman,Mercer
Michigan,Western Ill.
Minnesota,Fairfield
Texas A&M,Mississippi St.
Missouri,Niagara
Southern Utah,Mont. St. Billings
Montana,Idaho
Morehead St.,Asbury
Murray St.,Tenn. Temple
Campbell,N.C. A&T
Massachusetts,NJIT
Florida,North Florida
Oregon,Eastern Wash.
Nevada,Pacific
Rider,Penn
FGCU,Prairie View
Presbyterian,Western Caro.
Iona,Purdue
Rice,Southern U.
Rutgers,Sacred Heart
Washington St.,Sacramento St.
VCU,Seton Hall
San Diego St.,Southern California
Denver,Southern Miss.
Western Mich.,Temple
UConn,Maine
UNCG,UNC Pembroke
UNLV,Canisius
Arkansas St.,UT Martin
West Virginia,Alcorn
Tulsa,Western Ky.
Yale,Lyndon St.
Air Force,Western St.
Arkansas,Houston
BYU,Longwood
Holy Cross,Boston College
Nicholls St.,Cal St. Fullerton
Chattanooga,Kennesaw St.
Idaho St.,Colo. Christian
Maryland,Colorado
Villanova,Delaware
Detroit Mercy,Concordia (MI)
Duquesne,Dist. Columbia
Ole Miss,Drake
Duke,Davidson
Liberty,Eastern Ky.
Eastern Mich.,Little Rock
Fordham,Binghamton
Ga. Southern,Webber Int'l
VCU,Georgia Tech
Milwaukee,IUPUI
Indiana St.,Ball St.
Western Mich.,Iona
Western Ky.,LSU
William & Mary,Lehigh
Louisiana,Houston Baptist
Winthrop,Marquette
Georgia St.,McNeese
Michigan St.,Texas Southern
Arizona,Mississippi St.
Arizona St.,New Mexico
Drexel,Norfolk St.
Northern Ariz.,Arizona Christian
Tulsa,Northwestern
Notre Dame,Delaware St.
Ohio St.,Jackson St.
Oklahoma,Coppin St.
Elon,Rutgers-Camden
Seton Hall,Saint Joseph's
Fairleigh Dickinson,Saint Peter's
Jacksonville,Samford
Coastal Caro.,Spalding
Cleveland St.,St. Bonaventure
Virginia,TCU
Purdue,Temple
St. John's (NY),Texas A&M
Texas St.,Toledo
Tulane,UMES
UC Davis,Stanford
Youngstown St.,UC Riverside
UC Santa Barbara,Westmont
UCF,High Point
UTRGV,USC Upstate
Valparaiso,Akron
Alabama,Wichita St.
Xavier,Miami (OH)
Duquesne,Akron
Alabama A&M,Oakwood
Jacksonville St.,Alabama St.
Columbia,American
Towson,Belmont
Brown,Hartford
Dartmouth,Bryant
Bucknell,Saint Francis (PA)
CSU Bakersfield,Pepperdine
Boise St.,CSUN
Southern California,Cal Poly
Louisiana,Cal St. Fullerton
Central Conn. St.,Army West Point
Charleston So.,Milligan
Cincinnati,Presbyterian
Clemson,Col. of Charleston
Dayton,UNCW
Winthrop,Drake
ETSU,Troy
Missouri St.,Emporia St.
Evansville,Oakland City
SMU,FGCU
Providence,Florida A&M
Fla. Atlantic,George Mason
Loyola Marymount,Harvard
Gonzaga,Hawaii
Hofstra,St. Francis Brooklyn
Nicholls St.,Houston Baptist
Ill.-Chicago,Quincy
Illinois St.,Lipscomb
Kent St.,Alcorn
Penn St.,Kentucky
Radford,LIU Brooklyn
La Salle,James Madison
Lamar University,Charlotte
Liberty,Lehigh
San Diego St.,Long Beach St.
Butler,Louisville
Marshall,Northwestern St.
Miami (FL),North Florida
Utah,Montana St.
Mt. St. Mary's,Siena
N.C. A&T,Chicago St.
New Mexico St.,UTEP
Bradley,North Dakota
Grambling,Oakland
South Fla.,Old Dominion
Oral Roberts,Austin Peay
Texas,Oregon St.
Princeton,Buffalo
Quinnipiac,Navy
Richmond,Sacred Heart
Penn,Robert Morris
Stetson,Saint Leo
Seattle U,San Francisco
Santa Clara,San Jose St.
Indiana,Savannah St.
South Carolina St.,Gardner-Webb
Southeastern La.,La.-Monroe
Northeastern,Southern Ill.
Colorado St.,Southern Miss.
Syracuse,Colgate
Tennessee Tech,Appalachian St.
UC Irvine,Weber St.
Middle Tenn.,UNCG
Toledo,USC Upstate
UT Arlington,Louisiana Tech
UT Martin,Rochester College
UTRGV,Texas St.
Utah St.,Southern Utah
Utah Valley,UMKC
VMI,UMBC
Valparaiso,Ind.-Kokomo
NC State,Vanderbilt
Marist,Vermont
Drexel,Virginia
Lafayette,Wagner
Eastern Ky.,William & Mary
Wisconsin,Wofford
Green Bay,Wyoming
Houston Baptist,Cal St. Fullerton
Western Mich.,Colorado
Cornell,Boston U.
Northern Ill.,Eastern Ill.
Fairfield,Holy Cross
Florida St.,South Alabama
LSU,Georgia Tech
Rutgers,Hampton
IUPUI,Eastern Mich.
Maryland,Iona
Creighton,Iowa
Iowa St.,Western Caro.
Jackson St.,Concordia (AL)
Eastern Ky.,Lehigh
Louisiana,Nicholls St.
Furman,Loyola Chicago
New Hampshire,Loyola Maryland
Michigan St.,Little Rock
Middle Tenn.,Belmont
Milwaukee,Texas Southern
North Carolina,Mississippi Val.
UAB,Murray St.
Wake Forest,N.C. Central
NJIT,Polytechnic (NY)
Nebraska,Rhode Island
Nevada,Prairie View
Ohio,Arkansas St.
Kentucky,Old Dominion
Marquette,Ole Miss
South Dakota,Omaha
Oregon,Southeast Mo. St.
Alabama,Purdue
Marist,Radford
Rice,UMES
Tulsa,Saint Joseph's
Saint Peter's,Binghamton
San Diego,Montana
Northwestern,Seton Hall
Penn St.,South Fla.
Norfolk St.,TCU
South Carolina,Tennessee St.
Texas Tech,SFA
UConn,Coppin St.
Towson,UNCG
UNI,Northern Colo.
UNLV,Morgan St.
Texas St.,USC Upstate
UTRGV,Toledo
Valparaiso,Duquesne
LIU Brooklyn,Vermont
Saint Louis,Washington
Portland,Washington St.
VCU,Western Ky.
Temple,Wichita St.
Liberty,William & Mary
Monmouth,Albany (NY)
FIU,Ark.-Pine Bluff
Bethune-Cookman,Jacksonville
Bowling Green,Austin Peay
Georgia,California
Chicago St.,Campbell
Pepperdine,Central Mich.
UCLA,Chaminade
Chattanooga,Warren Wilson
Cincinnati,Northwestern St.
Davidson,Presbyterian
George Washington,Detroit Mercy
Virginia,Drake
Winthrop,Drexel
Wright St.,Florida
Fort Wayne,Judson (IL)
Manhattan,Fresno St.
George Mason,Brown
Kansas,Georgetown
Rider,Howard
Indiana,Gardner-Webb
Indiana St.,Green Bay
Boston College,Massachusetts
Mercer,Sam Houston St.
Memphis,Michigan
Minnesota,Mt. St. Mary's
Mississippi St.,La.-Monroe
Texas,NC State
Marquette,Norfolk St.
Ohio St.,North Florida
Missouri,Notre Dame
Oral Roberts,SMU
Pacific,Cal St. Dom. Hills
Portland St.,Linfield
Saginaw Valley,Miami (OH)
Butler,Savannah St.
Niagara,South Dakota St.
Southeastern La.,Blue Mountain (MS)
Siena,St. Bonaventure
Charleston So.,Stetson
Ole Miss,TCU
Duke,Tennessee
The Citadel,Johnson (FL)
Victory,Toledo
UNC Asheville,Brevard
Colorado St.,UTSA
Oregon St.,Vanderbilt
George Mason,Albany (NY)
East Carolina,Appalachian St.
SMU,Ark.-Pine Bluff
Army West Point,Bryant
George Washington,Austin Peay
BYU,Prairie View
Baylor,South Carolina St.
Marist,Bucknell
Buffalo,Canisius
CSUN,San Diego Christian
UNLV,Cal Poly
Central Ark.,Ecclesia
Central Conn. St.,UMBC
Clemson,Coastal Caro.
Colorado St.,Manhattan
Delaware,Cornell
Bowling Green,Detroit Mercy
Charlotte,ETSU
Lafayette,Fairleigh Dickinson
Hofstra,Fla. Atlantic
Chaminade,Georgetown
Samford,Georgia St.
Sacred Heart,Hampton
Hawaii,Eastern Wash.
Richmond,Illinois
Rutgers,Illinois St.
Iowa St.,Northern Colo.
Jackson St.,Tulsa
UCLA,Kansas
Kansas St.,UMES
Kent St.,Cleveland St.
Pittsburgh,La Salle
UT Martin,Lamar University
SIUE,Lipscomb
Long Beach St.,Boise St.
Louisville,Arkansas St.
UNCW,Marshall
McNeese,Dillard
Mercer,Niagara
Miami (FL),FGCU
Duke,Michigan
Middle Tenn.,Cumberland (TN)
South Carolina,Mississippi Val.
California,Missouri
Brown,Monmouth
Montana St.,Seattle U
Nevada,Longwood
Northern Ariz.,Northern N.M.
Georgia,Notre Dame
Houston,Oakland
North Dakota St.,Omaha
Oral Roberts,FIU
Penn,Wagner
Princeton,Elon
American,Quinnipiac
Rice,Florida A&M
James Madison,Robert Morris
San Jose St.,Holy Names
Sam Houston St.,South Dakota St.
Southern California,Morgan St.
Providence,Southern U.
St. John's (NY),St. Francis Brooklyn
Stony Brook,Columbia
Memphis,Tennessee
North Carolina,Tennessee St.
High Point,Tennessee Tech
Navy,Tulane
UAB,Troy
UC Davis,Sacramento St.
UC Santa Barbara,Portland
UNI,Western Caro.
UT Arlington,North Texas
UTRGV,Victory
Fresno St.,UTSA
A&M-Corpus Christi,Utah St.
Arkansas,Utah Valley
Morehead St.,West Virginia
Western Ill.,Greenville
Wisconsin,UMKC
Bradley,Wofford
Wyoming,South Dakota
Seton Hall,Yale
Alabama,Alabama A&M
Bethune-Cookman,Webber Int'l
Bowling Green,George Washington
Butler,Gardner-Webb
Delaware St.,Cairn
Air Force,Colorado
Austin Peay,Detroit Mercy
Kansas,Duke
Eastern Ill.,Eureka
Eastern Mich.,Rochester College
Georgia Tech,Siena
SIUE,Hampton
Holy Cross,Hartford
Ball St.,IUPUI
Lewis-Clark St.,Idaho
Ill.-Chicago,Evansville
Illinois,Illinois St.
Iowa,Campbell
Kennesaw St.,Reinhardt
Kentucky,Radford
LSU,South Alabama
Sacred Heart,Lipscomb
Idaho St.,Loyola Marymount
Georgetown,Memphis
Mercer,South Dakota St.
UCLA,Michigan
Michigan St.,Milwaukee
North Dakota,Montana
Alas. Anchorage,Murray St.
N.C. A&T,Johnson & Wales (SC)
N.C. Central,Morris
Sam Houston St.,Niagara
North Florida,Wright St.
Ohio St.,VMI
Old Dominion,Vermont
Nebraska,Oregon
Purdue,Western Mich.
Richmond,Rutgers
Colgate,Saint Francis (PA)
Iona,Saint Joseph's
Denver,Saint Mary's (CA)
Arizona,San Diego St.
Dartmouth,San Francisco
South Fla.,Ga. Southern
Southeast Mo. St.,Hannibal-La Grange
Southern Utah,Southern Va.
Oklahoma St.,Stanford
Virginia Tech,Syracuse
Chaminade,Tennessee
Baylor,UT Arlington
Western Ky.,VCU
Penn St.,Youngstown St.
New Mexico St.,Central Mich.
Wake Forest,Dayton
Arizona St.,Fairfield
Utah,Harvard
Florida St.,Massachusetts
DePaul,Minnesota
Boston College,Saint Louis
New Mexico,Santa Clara
Indiana St.,Texas Tech
Southern Miss.,UC Irvine
Villanova,UC Riverside
Col. of Charleston,UCF
UConn,UNC Asheville
Oklahoma,Washington St.
Alas. Anchorage,Dartmouth
Albany (NY),Navy
Wake Forest,Arizona St.
Auburn,Nicholls St.
Morgan St.,Cal Poly
UC Irvine,Central Mich.
Southern Ill.,Chicago St.
Clemson,Furman
Boston U.,Cleveland St.
Creighton,Campbell
Maryland,FGCU
Dayton,Fairfield
Florida,Jacksonville
Florida St.,Harvard
Providence,Iowa St.
Northwestern St.,Jacksonville St.
Rider,James Madison
Robert Morris,La Salle
Tennessee Tech,Lamar University
UMES,Louisiana Tech
Cincinnati,Marshall
Utah,Massachusetts
Ole Miss,Miami (FL)
Indiana St.,Minnesota
Mississippi St.,UT Martin
Tennessee St.,Mississippi Val.
N.C. A&T,Barber-Scotia
NC State,Elon
BYU,Nevada
Southern Miss.,New Mexico St.
South Carolina,North Carolina
North Florida,Jackson St.
Louisville,Ohio
Virginia Tech,Oklahoma St.
Penn,Pittsburgh
Wyoming,Portland St.
Longwood,Prairie View
Bucknell,Princeton
Rhode Island,Hofstra
Villanova,Saint Louis
New Orleans,San Diego
Murray St.,San Francisco
Oklahoma,Santa Clara
Chattanooga,Savannah St.
Florida A&M,Southern U.
Northwestern,Stony Brook
Stanford,Syracuse
DePaul,Texas Tech
Tulane,Alcorn
Boston College,UC Riverside
UCF,UConn
Col. of Charleston,UNC Asheville
Rice,UNI
Southern California,UNLV
USC Upstate,UTRGV
Oakland,Utah Valley
Ohio St.,Valparaiso
Vanderbilt,Monmouth
Virginia,Green Bay
Washington,Houston Baptist
New Mexico,Washington St.
Morehead St.,West Ala.
Northern Colo.,Western Caro.
Wichita St.,UAB
Bradley,Wisconsin
UMKC,Wofford
Xavier,Georgia
Appalachian St.,Milligan
Arkansas,Grambling
Boise St.,Northern Ill.
Bucknell,West Ala.
Drake,CSUN
Mississippi Val.,Cal Poly
Cal St. Fullerton,CSU Bakersfield
California,Denver
Central Conn. St.,Hartford
Dartmouth,Central Mich.
East Carolina,Chowan
Hofstra,Cleveland St.
FIU,Coastal Caro.
UNCW,Davidson
Delaware,Lafayette
Wagner,Delaware St.
Akron,Detroit Mercy
Central Ark.,Eastern Ill.
Western Caro.,Florida A&M
North Dakota St.,Fresno St.
Georgia St.,Liberty
Gonzaga,Western Mich.
La.-Monroe,Harding
UCF,Harvard
High Point,The Citadel
IUPUI,Texas Southern
Idaho,Montana St.
Toledo,Ill.-Chicago
Iowa,Fort Wayne
Kentucky,Portland
Rider,La Salle
UMKC,Longwood
Duquesne,Louisiana
Loyola Chicago,Fordham
Manhattan,Columbia
Marist,Colgate
Col. of Charleston,Massachusetts
Austin Peay,Middle Tenn.
Little Rock,Milwaukee
Missouri St.,Tulsa
Montana,Long Beach St.
N.C. Central,Barber-Scotia
NJIT,St. Francis Brooklyn
Bradley,Nevada
San Francisco,New Mexico St.
Loyola Marymount,Northern Ariz.
Omaha,Chadron St.
Towson,Oregon St.
Hawaii,Pacific
Penn,James Madison
Louisiana Tech,Portland St.
Morehead St.,Princeton
Purdue,Coppin St.
Rhode Island,Boston U.
Iowa St.,Rice
UTEP,SFA
Sacramento St.,McNeese
Saint Joseph's,Penn St.
Alcorn,San Diego
Gardner-Webb,Savannah St.
Seton Hall,Saint Peter's
Kennesaw St.,South Carolina St.
Nebraska,South Dakota St.
South Fla.,Fla. Atlantic
Southeast Mo. St.,Miami (OH)
South Carolina,Southern California
Murray St.,Southern Miss.
Northern Colo.,Southern U.
Southern Utah,Troy
St. John's (NY),Northeastern
Houston,TCU
Morgan St.,Tennessee St.
Texas,Sam Houston St.
Texas A&M,A&M-Corpus Christi
Tulane,New Orleans
Alas. Anchorage,UC Irvine
UC Santa Barbara,San Diego St.
Florida St.,UConn
Utah,UNC Asheville
Providence,UNI
North Carolina,UNLV
UT Arlington,Samford
UTSA,Pepperdine
Idaho St.,Utah St.
Vermont,Siena
North Dakota,Western Ill.
Western Ky.,Southeastern La.
Howard,William & Mary
Winthrop,Central Penn
BYU,Wisconsin
Prairie View,Wofford
Wright St.,Charlotte
Wyoming,UMES
Army West Point,Yale
Saint Francis (PA),Youngstown St.
Albany (NY),Fairleigh Dickinson
New Orleans,Alcorn
Cornell,American
DePaul,Arizona St.
Ball St.,Calumet Col.
Bucknell,Morehead St.
UTSA,Cameron
Chattanooga,Gardner-Webb
Illinois,Chicago St.
Rhode Island,Cleveland St.
Boston U.,Hofstra
Maine,Holy Cross
Illinois St.,Bethune-Cookman
Indiana,Butler
Fairfield,Indiana St.
Loyola Maryland,FGCU
Eastern Mich.,Michigan St.
Dayton,Minnesota
Mississippi St.,North Texas
Missouri,Binghamton
Navy,Mt. St. Mary's
Boston College,New Mexico
Norfolk St.,Eastern Ky.
Notre Dame,Bryant
UMES,Portland St.
West Ala.,Princeton
Pittsburgh,Robert Morris
SMU,Ga. Southern
Sacred Heart,Brown
Oklahoma,Saint Louis
Saint Mary's (CA),San Fran. St.
Villanova,Santa Clara
Virginia Tech,St. Bonaventure
Bowling Green,Temple
Tennessee Tech,Wilberforce
Texas St.,Northwestern Okla.
Wake Forest,Texas Tech
San Diego,Tulane
Eastern Wash.,UC Davis
Washington St.,UC Riverside
USC Upstate,Victory
UAB,UT Martin
Alabama,VCU
Jacksonville St.,Weber St.
Wyoming,Louisiana Tech
Auburn,Ark.-Pine Bluff
Lipscomb,Austin Peay
Belmont,Trevecca Nazarene
Colorado,Georgia
Columbia,Swarthmore
Seattle U,Evergreen St.
Stetson,Florida
Georgetown,IUPUI
San Fran. St.,Jacksonville St.
Iona,LIU Brooklyn
Louisville,Long Beach St.
Kent St.,Louisiana
Marquette,Jacksonville
California,McNeese
Memphis,Jackson St.
Saint Francis (PA),Niagara
Nicholls St.,La.-Monroe
Stanford,Pacific
UCLA,Pepperdine
Lehigh,Quinnipiac
Rutgers,UMBC
Saint Mary's (CA),Weber St.
San Jose St.,Montana St.
South Dakota,Tabor
Oakland,Tennessee
N.C. A&T,UNCG
UT Arlington,UTRGV
Utah Valley,Northern Ill.
Vanderbilt,Xavier
West Virginia,Akron
Evansville,Alabama St.
American,Howard
Ball St.,Texas Southern
Baylor,Prairie View
Butler,Oakland City
Cincinnati,Miami (OH)
Delaware St.,Eastern Ky.
Ohio St.,Duke
Troy,ETSU
Fordham,Colgate
South Carolina St.,Georgia St.
Georgia Tech,Northwestern
Hampton,High Point
Maryland,Illinois
Iowa,Clemson
Houston,LSU
Northwestern St.,Little Rock
Purdue,Miami (FL)
Virginia,Michigan
N.C. Central,Southern Wesleyan
New Mexico St.,Arizona
North Florida,Bethune-Cookman
Old Dominion,East Carolina
Oregon,UTEP
Penn,Manhattan
Portland,Lewis & Clark
Providence,Holy Cross
