Winner,Loser
Troy,LaGrange
Tulsa,Southeastern Louisiana
Cleveland State,Vanderbilt
Virginia,South Carolina State
Washington,Florida Atlantic
Wichita State,Charleston Southern
Wofford,Emory & Henry
Wright State,Kenyon
Alabama,Oakland
Alabama A&M,Talladega
Albany (NY),Brown
Auburn,Kennesaw State
Boston College,New Hampshire
Campbell,East Carolina
Colorado State,SMU
Furman,Columbia
UConn,Wagner
Cornell,Binghamton
Davidson,Richmond
DePaul,Mississippi Valley State
Providence,Fairfield
Stetson,Florida A&M
Florida Atlantic,Georgia State
Florida Gulf Coast,Ave Maria
Florida International,George Mason
Florida State,UCF
Georgetown,North Carolina-Greensboro
Georgia Tech,Delaware State
Gonzaga,Washington State
Houston,Utah Valley
Houston Baptist,Bethune-Cookman
Howard,Washington Adventist
Idaho,Concordia (OR)
Illinois,Southern Illinois-Edwardsville
Iowa,North Carolina A&T
Kansas State,Loyola (IL)
Indiana State,Louisiana-Monroe
Loyola (MD),Coppin State
Maine,Maine-Machias
Marquette,Norfolk State
Maryland-Eastern Shore,American
UMass,Northeastern
Michigan,Towson
Minnesota,South Dakota State
Ole Miss,Grambling
Missouri,Mercer
Montana,Great Falls
Murray State,Morgan State
UNLV,Nevada
Niagara,Central Connecticut
NJIT,Penn State-Abington
North Dakota,Idaho State
North Florida,Savannah State
Milwaukee,Northern Illinois
Notre Dame,Detroit
Old Dominion,LIU-Brooklyn
Oregon State,West Alabama
Penn State,Radford
Temple,Penn
Presbyterian,Eastern Kentucky
Purdue,High Point
Lafayette,Saint Francis (PA)
San Diego,Stephen F. Austin
San Jose State,UC-Irvine
South Carolina Upstate,Piedmont
South Florida,Marist
Southeast Missouri State,Harris-Stowe
Nebraska,USC
Stanford,Fresno State
Syracuse,Manhattan
Denver,Texas A&M-Corpus Christi
Texas-Arlington,East Texas Baptist
Texas Christian,Austin College
Utah,San Diego Christian
Valparaiso,Holy Cross (IN)
Virginia Tech,Monmouth
Washington,Portland
Western Kentucky,Tennessee State
Liberty,William & Mary
Pepperdine,Arizona State
Little Rock,IUPUI
Missouri State,Arkansas State
Baylor,San Diego State
BYU,Brigham Young-Hawaii
Manhattan,Brown
Butler,Chattanooga
University of California,Austin Peay
UC-Davis,UC-Santa Cruz
UCSB,Santa Clara
Charlotte,Central Michigan
Charleston Southern,Bluefield College (VA)
Cincinnati,Jacksonville State
Cleveland State,Rio Grande
Coastal Carolina,LSU
College of Charleston,Morehead State
Drake,Iowa State
Duke,Michigan State
ETSU,Appalachian State
Eastern Washington,South Dakota
Elon,South Carolina
Lehigh,Fairleigh Dickinson
Fresno State,SMU
George Mason,Monmouth
Hawaii,Cal State Northridge
Harvard,Holy Cross
Kentucky,Kansas
Canisius,Longwood
McNeese State,Louisiana College
Memphis,Belmont
Miami (FL),Rutgers
Miami (OH),Dayton
Ohio,Lamar
Ohio State,Florida
Oklahoma State,Arkansas-Pine Bluff
UTSA,Oral Roberts
Portland State,Seattle
Prairie View,Arlington Baptist
Quinnipiac,Yale
Drexel,Rider
Sacred Heart,Stony Brook
Saint Mary's (CA),Northern Iowa
Robert Morris,St. Peter's
Southeastern Louisiana,Spring Hill
Saint Louis,Southern Illinois
Stanford,Colorado State
Syracuse,Albany (NY)
Tennessee Tech,Reinhardt
Texas,Rhode Island
Texas Southern,Eastern Michigan
Texas State,Howard Payne
Tulane,Nicholls State
Middle Tennessee,UCLA
Vanderbilt,Bucknell
Villanova,La Salle
Virginia,Winthrop
Virginia Military Institute,Alice Lloyd
Virginia Tech,Florida International
Weber State,Utah State
Kent State,West Virginia
Western Carolina,Montreat
Wyoming,Northern Colorado
Xavier,Fort Wayne
Youngstown State,Notre Dame (OH)
Creighton,Alabama-Birmingham
American,Florida Atlantic
Arkansas,Oakland
Oral Roberts,Arkansas-Pine Bluff
Army,Marywood
Boise State,Utah
Bradley,Southeast Missouri State
Buffalo,Cornell
Cal State Bakersfield,Cal Poly
Philander Smith,Central Arkansas
Clemson,Citadel
Vermont,Dartmouth
Eastern Illinois,Loyola (IL)
Indiana,Evansville
Florida State,Stetson
Gardner-Webb,Lees-McRae
Georgia,South Dakota State
Mount St. Mary's,Hartford
UIC,Roosevelt
Lafayette,St. Francis (NY)
UMKC,Omaha
New Mexico State,New Mexico
Norfolk State,Randolph
North Carolina-Asheville,Mars Hill
North Carolina State,Princeton
North Dakota State,Green Bay
Notre Dame,Sam Houston State
Oklahoma State,UTSA
Old Dominion,Howard
Oregon State,Hofstra
Penn State,LIU-Brooklyn
Long Beach State,Pitt
Radford,Central Pennsylvania College
San Diego,San Diego Christian
San Francisco,San Jose State
Savannah State,Jacksonville
Siena,Navy
South Alabama,Mobile
South Carolina State,Webber
South Florida,Florida Southern
Tennessee,Louisiana-Monroe
Tennessee State,Fisk
Texas Tech,North Texas
Utah Valley,Grambling
Wagner,North Carolina Central
Wake Forest,Georgia Southern
Wisconsin,Colgate
Wright State,Jackson State
Alabama,Maryland
Northwestern State,Alabama State
Arizona,St. John's (NY)
Arkansas State,UT-Martin
Bethune-Cookman,Florida Christian
Campbell,North Carolina A&T
Wichita State,Colorado
UConn,Maine
Denver,Southern Miss
East Carolina,Coker
Florida,North Florida
Florida Gulf Coast,Prairie View
Mercer,Furman
St. Joseph's,Georgia Tech
Illinois,Lipscomb
Illinois State,Southern Illinois-Edwardsville
Purdue,Iona
Iowa,Northern Illinois
Northwestern,LSU
Loyola (MD),UMBC
UMass,NJIT
Michigan,Western Illinois
Minnesota,Fairfield
Mississippi State,Texas A&M
Missouri,Niagara
Montana,Idaho
Morehead State,Asbury
Murray State,Tennessee Temple
Nevada,Pacific
UNLV,Canisius
North Carolina-Greensboro,North Carolina-Pembroke
Oregon,Eastern Washington
Western Carolina,Presbyterian
Rice,Southern
Richmond,Hampton
Penn,Rider
Rutgers,Sacred Heart
San Diego State,USC
Seton Hall,VCU
Southern Utah,Montana State-Billings
Temple,Western Michigan
Tulsa,Western Kentucky
Washington State,Sacramento State
West Virginia,Alcorn State
Yale,Lyndon State
Air Force,Western State
Alabama,Wichita State
Mississippi State,Arizona
New Mexico,Arizona State
Houston,Arkansas
BYU,Longwood
Cal State Fullerton,Nicholls State
Stanford,UC-Davis
UCSB,Westmont
UCF,High Point
Kennesaw State,Chattanooga
Cleveland State,St. Bonaventure
Coastal Carolina,Spalding
Maryland,Colorado
Detroit,Concordia (MI)
Duquesne,District of Columbia
Ole Miss,Drake
Norfolk State,Drexel
Duke,Davidson
Eastern Michigan,Little Rock
Elon,Rutgers-Camden
Fairleigh Dickinson,St. Peter's
Fordham,Binghamton
Georgia Southern,Webber
Georgia State,McNeese State
Georgia Tech,VCU
Holy Cross,Boston College
Idaho State,Colorado Christian
Indiana State,Ball State
Iona,Western Michigan
Jacksonville,Samford
Lehigh,William & Mary
Eastern Kentucky,Liberty
Louisiana,Houston Baptist
LSU,Western Kentucky
Marquette,Winthrop
Michigan State,Texas Southern
Milwaukee,IUPUI
Northern Arizona,Arizona Christian
Northwestern,Tulsa
Notre Dame,Delaware State
Ohio State,Jackson State
Oklahoma,Coppin State
Purdue,Temple
Seton Hall,St. Joseph's
Texas A&M,St. John's (NY)
Texas Christian,Virginia
South Carolina Upstate,Texas-Rio Grande Valley
Texas State,Toledo
Tulane,Maryland-Eastern Shore
Valparaiso,Akron
Villanova,Delaware
Xavier,Miami (OH)
Youngstown State,UC-Riverside
Duquesne,Akron
Alabama A&M,Oakwood
Belmont,Towson
Boise State,Cal State Northridge
Bradley,North Dakota
Brown,Hartford
Bucknell,Saint Francis (PA)
Louisville,Butler
Cal State Bakersfield,Pepperdine
Weber State,UC-Irvine
Central Connecticut,Army
Charleston Southern,Milligan
Presbyterian,Cincinnati
College of Charleston,Clemson
Southern Miss,Colorado State
American,Columbia
Dartmouth,Bryant
Dayton,North Carolina-Wilmington
Drake,Winthrop
Virginia,Drexel
ETSU,Troy
Eastern Kentucky,William & Mary
Evansville,Oakland City
Florida Atlantic,George Mason
Gonzaga,Hawaii
Oakland,Grambling
Green Bay,Wyoming
Hofstra,St. Francis (NY)
Nicholls State,Houston Baptist
Quincy,UIC
Illinois State,Lipscomb
Indiana,Savannah State
Jacksonville State,Alabama State
Kent State,Alcorn State
Kentucky,Penn State
La Salle,James Madison
Wagner,Lafayette
Lamar,Charlotte
Lehigh,Liberty
LIU-Brooklyn,Radford
Cal State Fullerton,Louisiana
Harvard,Loyola Marymount
Vermont,Marist
Marshall,Northwestern State
Miami (FL),North Florida
Middle Tennessee,North Carolina-Greensboro
Missouri State,Emporia State
Siena,Mount St. Mary's
New Mexico State,UTEP
North Carolina A&T,Chicago State
Vanderbilt,North Carolina State
Northeastern,Southern Illinois
Old Dominion,South Florida
Oral Roberts,Austin Peay
Oregon State,Texas
Penn,Robert Morris
Princeton,Buffalo
Providence,Florida A&M
Quinnipiac,Navy
Richmond,Sacred Heart
San Diego State,Long Beach State
Santa Clara,San Jose State
San Francisco,Seattle
South Carolina State,Gardner-Webb
Toledo,South Carolina Upstate
Southeastern Louisiana,Louisiana-Monroe
Cal Poly,USC
SMU,Florida Gulf Coast
Stetson,Saint Leo
Syracuse,Colgate
UT-Martin,Rochester (MI)
Appalachian State,Tennessee Tech
Texas-Arlington,Louisiana Tech
Texas-Rio Grande Valley,Texas State
Montana State,Utah
Utah State,Southern Utah
Utah Valley,UMKC
Valparaiso,Indiana-Kokomo
Virginia Military Institute,UMBC
Wisconsin,Wofford
Alabama,Purdue
Murray State,Alabama-Birmingham
Houston Baptist,Cal State Fullerton
Colorado,Western Michigan
UConn,Coppin State
Cornell,Boston University
Creighton,Iowa
Lehigh,Eastern Kentucky
Fairfield,Holy Cross
Florida State,South Alabama
Furman,Loyola (IL)
LSU,Georgia Tech
Iona,Maryland
Iowa State,Western Carolina
Eastern Michigan,IUPUI
Jackson State,Concordia (AL)
Kentucky,Old Dominion
William & Mary,Liberty
LIU-Brooklyn,Vermont
Louisiana,Nicholls State
Marist,Radford
Marquette,Ole Miss
Michigan State,Little Rock
Belmont,Middle Tennessee
Milwaukee,Texas Southern
Nebraska,Rhode Island
Nevada,Prairie View
UNLV,Morgan State
Loyola (MD),New Hampshire
NJIT,NYU-Poly
Norfolk State,Texas Christian
UNC,Mississippi Valley State
North Carolina-Greensboro,Towson
Eastern Illinois,Northern Illinois
Northern Iowa,Northern Colorado
Northwestern,Seton Hall
Ohio,Arkansas State
Oregon,Southeast Missouri State
Penn State,South Florida
Washington State,Portland
Rice,Maryland-Eastern Shore
Rutgers,Hampton
St. Joseph's,Tulsa
Saint Louis,Washington
St. Peter's,Binghamton
Montana,San Diego
Tennessee State,South Carolina
South Carolina Upstate,Texas State
South Dakota,Omaha
Temple,Wichita State
Toledo,Texas-Rio Grande Valley
Texas Tech,Stephen F. Austin
Valparaiso,Duquesne
VCU,Western Kentucky
Wake Forest,North Carolina Central
Albany (NY),Monmouth
Arkansas-Pine Bluff,Florida International
Jacksonville,Bethune-Cookman
UMass,Boston College
Bowling Green State,Austin Peay
Butler,Savannah State
University of California,Georgia
UCLA,Chaminade
Charleston Southern,Stetson
Chattanooga,Warren Wilson
Campbell,Chicago State
Cincinnati,Northwestern State
Citadel,Florida Christian
Colorado State,UTSA
Davidson,Presbyterian
George Washington,Detroit
Virginia,Drake
Drexel,Winthrop
Duke,Tennessee
Florida,Wright State
Manhattan,Fresno State
George Mason,Brown
Kansas,Georgetown
Indiana,Gardner-Webb
Indiana State,Green Bay
Fort Wayne,Judson
Marquette,Norfolk State
Michigan,Memphis
Mercer,Sam Houston State
Minnesota,Mount St. Mary's
Ole Miss,Texas Christian
Mississippi State,Louisiana-Monroe
Missouri,Notre Dame
South Dakota State,Niagara
North Carolina-Asheville,Brevard
North Carolina State,Texas
Ohio State,North Florida
Oral Roberts,SMU
Vanderbilt,Oregon State
Pacific,Cal State Dominguez Hills
Central Michigan,Pepperdine
Portland State,Linfield
Rider,Howard
Miami (OH),Saginaw Valley State
St. Bonaventure,Siena
Southeastern Louisiana,Blue Mountain College
Toledo,Victory
Alabama-Birmingham,Troy
American,Quinnipiac
East Carolina,Appalachian State
Arkansas,Utah Valley
SMU,Arkansas-Pine Bluff
Army,Bryant
George Washington,Austin Peay
Baylor,South Carolina State
Bowling Green State,Detroit
Wofford,Bradley
BYU,Prairie View
Brown,Monmouth
Buffalo,Canisius
Cal State Northridge,San Diego Christian
Missouri,University of California
Sacramento State,UC-Davis
UCSB,Portland
Central Arkansas,Ecclesia
Central Connecticut,UMBC
Georgetown,Chaminade
ETSU,Charlotte
Coastal Carolina,Clemson
Colorado State,Manhattan
Delaware,Cornell
Duke,Michigan
UTSA,Fresno State
George Mason,Albany (NY)
Georgia,Notre Dame
Sacred Heart,Hampton
Eastern Washington,Hawaii
Tennessee Tech,High Point
Florida Atlantic,Hofstra
Oakland,Houston
Illinois,Richmond
Illinois State,Rutgers
Iowa State,Northern Colorado
Tulsa,Jackson State
Robert Morris,James Madison
Kansas,UCLA
Kansas State,Maryland-Eastern Shore
Cleveland State,Kent State
Lafayette,Fairleigh Dickinson
Lipscomb,Southern Illinois-Edwardsville
Long Beach State,Boise State
Louisville,Arkansas State
Bucknell,Marist
McNeese State,Dillard
Memphis,Tennessee
Mercer,Niagara
Miami (FL),Florida Gulf Coast
Middle Tennessee,Cumberland University
Seattle,Montana State
West Virginia,Morehead State
Tulane,Navy
Nevada,Longwood
UNLV,Cal Poly
UNC,Tennessee State
Marshall,North Carolina-Wilmington
North Dakota State,Omaha
Northern Arizona,Northern New Mexico
Northern Iowa,Western Carolina
Oral Roberts,Florida International
Wagner,Penn
Pitt,La Salle
Elon,Princeton
Providence,Southern
Rice,Florida A&M
South Dakota State,Sam Houston State
Georgia State,Samford
San Jose State,Holy Names
Seton Hall,Yale
South Carolina,Mississippi Valley State
USC,Morgan State
St. John's (NY),St. Francis (NY)
Stony Brook,Columbia
Lamar,UT-Martin
Texas A&M-Corpus Christi,Utah State
Texas-Arlington,North Texas
Texas-Rio Grande Valley,Victory
Western Illinois,Greenville (IL)
Wisconsin,UMKC
Wyoming,South Dakota
Colorado,Air Force
Alabama,Alabama A&M
Murray State,Alaska-Anchorage
San Diego State,Arizona
Detroit,Austin Peay
Ball State,IUPUI
Baylor,Texas-Arlington
Bethune-Cookman,Webber
George Washington,Bowling Green State
Butler,Gardner-Webb
Tennessee,Chaminade
Colgate,Saint Francis (PA)
Delaware State,Philadelphia Biblical
Denver,Saint Mary's (CA)
Duke,Kansas
Eastern Illinois,Eureka
Eastern Michigan,Rochester (MI)
Georgetown,Memphis
Georgia Tech,Siena
Hampton,Southern Illinois-Edwardsville
Holy Cross,Hartford
Loyola Marymount,Idaho State
Illinois,Illinois State
UIC,Evansville
Iona,St. Joseph's
Campbell,Iowa
Kennesaw State,Reinhardt
Kentucky,Radford
Idaho,Lewis & Clark
Lipscomb,Sacred Heart
South Alabama,LSU
South Dakota State,Mercer
Michigan,UCLA
Michigan State,Milwaukee
Oregon,Nebraska
Niagara,Sam Houston State
North Carolina A&T,Johnson & Wales (NC)
North Carolina Central,Morris College
North Dakota,Montana
North Florida,Wright State
Ohio State,Virginia Military Institute
Stanford,Oklahoma State
Vermont,Old Dominion
Penn State,Youngstown State
Purdue,Western Michigan
Richmond,Rutgers
South Florida,Georgia Southern
Southeast Missouri State,Hannibal-LaGrange
Southern Utah,Southern Virginia
Syracuse,Virginia Tech
VCU,Western Kentucky
Fairfield,Arizona State
Saint Louis,Boston College
Southern Miss,UC-Irvine
Villanova,UC-Riverside
UCF,College of Charleston
New Mexico State,Central Michigan
UConn,North Carolina-Asheville
San Francisco,Dartmouth
Dayton,Wake Forest
Minnesota,DePaul
Florida State,UMass
Harvard,Utah
Indiana State,Texas Tech
Santa Clara,New Mexico
Oklahoma,Washington State
Wichita State,Alabama-Birmingham
Dartmouth,Alaska-Anchorage
Albany (NY),Navy
Arizona State,Wake Forest
Auburn,Nicholls State
Boston College,UC-Riverside
Cleveland State,Boston University
Wisconsin,Bradley
BYU,Nevada
Bucknell,Princeton
Cal Poly,Morgan State
Central Michigan,UC-Irvine
UCF,UConn
Chattanooga,Savannah State
Marshall,Cincinnati
Clemson,Furman
College of Charleston,North Carolina-Asheville
Creighton,Campbell
Dayton,Fairfield
DePaul,Texas Tech
Florida,Jacksonville
Southern,Florida A&M
Harvard,Florida State
Minnesota,Indiana State
Iowa State,Providence
James Madison,Rider
Robert Morris,La Salle
Longwood,Prairie View
Louisiana Tech,Maryland-Eastern Shore
Louisville,Ohio
Maryland,Florida Gulf Coast
UMass,Utah
Ole Miss,Miami (FL)
Mississippi State,UT-Martin
Mississippi Valley State,Tennessee State
UMKC,Wofford
Morehead State,West Alabama
Murray State,San Francisco
UNLV,USC
New Mexico,Washington State
Southern Miss,New Mexico State
San Diego,New Orleans
UNC,South Carolina
North Carolina A&T,Barber-Scotia
North Carolina State,Elon
North Florida,Jackson State
Northern Colorado,Western Carolina
Northern Iowa,Rice
Northwestern,Stony Brook
Northwestern State,Jacksonville State
Oakland,Utah Valley
Ohio State,Valparaiso
Oklahoma,Santa Clara
Virginia Tech,Oklahoma State
Pitt,Penn
Rhode Island,Hofstra
Saint Louis,Villanova
South Carolina Upstate,Texas-Rio Grande Valley
Southern Illinois,Chicago State
Syracuse,Stanford
Lamar,Tennessee Tech
Tulane,Alcorn State
Vanderbilt,Monmouth
Virginia,Green Bay
Washington,Houston Baptist
Wyoming,Portland State
Xavier,Georgia
Akron,Detroit
Alaska-Anchorage,UC-Irvine
San Diego,Alcorn State
Appalachian State,Milligan
Arkansas,Grambling
Milwaukee,Little Rock
Yale,Army
Middle Tennessee,Austin Peay
Boise State,Northern Illinois
Nevada,Bradley
Wisconsin,BYU
Bucknell,West Alabama
Cal Poly,Mississippi Valley State
Cal State Bakersfield,Cal State Fullerton
University of California,Denver
San Diego State,UCSB
Central Arkansas,Eastern Illinois
Central Connecticut,Hartford
Harvard,UCF
Central Michigan,Dartmouth
Hofstra,Cleveland State
College of Charleston,UMass
UConn,Florida State
Delaware,Lafayette
Drake,Cal State Northridge
Duquesne,Louisiana
East Carolina,Chowan
Western Carolina,Florida A&M
Florida International,Coastal Carolina
Savannah State,Gardner-Webb
Georgia State,Liberty
Gonzaga,Western Michigan
Hawaii,Pacific
High Point,Citadel
Texas Christian,Houston
Howard,William & Mary
Idaho,Montana State
Utah State,Idaho State
Iowa,Fort Wayne
Iowa State,Rice
IUPUI,Texas Southern
South Carolina State,Kennesaw State
Kentucky,Portland
La Salle,Rider
UMKC,Longwood
Harding,Louisiana-Monroe
Portland State,Louisiana Tech
Loyola (IL),Fordham
Loyola Marymount,Northern Arizona
Columbia,Manhattan
Marist,Colgate
Missouri State,Tulsa
Montana,Long Beach State
Morehead State,Princeton
Tennessee State,Morgan State
Murray State,Southern Miss
Nebraska,South Dakota State
UNLV,UNC
New Mexico State,San Francisco
St. Francis (NY),NJIT
North Carolina-Asheville,Utah
North Carolina Central,Barber-Scotia
Davidson,North Carolina-Wilmington
Western Illinois,North Dakota
North Dakota State,Fresno State
Northern Colorado,Southern
Northern Iowa,Providence
James Madison,Penn
Wofford,Prairie View
Purdue,Coppin State
Boston University,Rhode Island
McNeese State,Sacramento State
Youngstown State,Saint Francis (PA)
St. Joseph's,Penn State
Seton Hall,St. Peter's
USC,South Carolina
South Florida,Florida Atlantic
Southeast Missouri State,Miami (OH)
Troy,Southern Utah
Northeastern,St. John's (NY)
Texas,Sam Houston State
Texas A&M,Texas A&M-Corpus Christi
Samford,Texas-Arlington
Stephen F. Austin,UTEP
Pepperdine,UTSA
Toledo,UIC
Oregon State,Towson
Tulane,New Orleans
Vermont,Siena
Wagner,Delaware State
Western Kentucky,Southeastern Louisiana
Winthrop,Central Pennsylvania College
Charlotte,Wright State
Wyoming,Maryland-Eastern Shore
Alabama,VCU
UT-Martin,Alabama-Birmingham
Albany (NY),Fairleigh Dickinson
New Orleans,Alcorn State
DePaul,Arizona State
Ball State,Calumet College
New Mexico,Boston College
Boston University,Hofstra
Bowling Green State,Temple
Bucknell,Morehead State
UC-Riverside,Washington State
Gardner-Webb,Chattanooga
American,Cornell
Dayton,Minnesota
Michigan State,Eastern Michigan
Eastern Washington,UC-Davis
Indiana State,Fairfield
Illinois,Chicago State
Illinois State,Bethune-Cookman
Indiana,Butler
Weber State,Jacksonville State
Loyola (MD),Florida Gulf Coast
Maine,Holy Cross
Portland State,Maryland-Eastern Shore
Mississippi State,North Texas
Missouri,Binghamton
Navy,Mount St. Mary's
Norfolk State,Eastern Kentucky
Notre Dame,Bryant
Saint Louis,Oklahoma
Pitt,Robert Morris
Princeton,West Alabama
Cleveland State,Rhode Island
Sacred Heart,Brown
Saint Mary's (CA),San Francisco State
Tulane,San Diego
Santa Clara,Villanova
South Carolina Upstate,Victory
SMU,Georgia Southern
Tennessee Tech,Wilberforce
UTSA,Cameron
Texas State,Northwest Oklahoma State
Wake Forest,Texas Tech
Virginia Tech,St. Bonaventure
Wyoming,Louisiana Tech
Auburn,Arkansas-Pine Bluff
Belmont,Trevecca Nazarene
University of California,McNeese State
Colorado,Georgia
Columbia,Swarthmore
Seattle,Evergreen State
Florida,Stetson
Georgetown,IUPUI
Iona,LIU-Brooklyn
San Francisco State,Jacksonville State
Kent State,Louisiana
Lehigh,Quinnipiac
Lipscomb,Austin Peay
Louisville,Long Beach State
Marquette,Jacksonville
Memphis,Jackson State
Louisiana-Monroe,Nicholls State
North Carolina A&T,North Carolina-Greensboro
Oakland,Tennessee
Rutgers,UMBC
Niagara,Saint Francis (PA)
Saint Mary's (CA),Weber State
Montana State,San Jose State
South Dakota,Tabor College
Stanford,Pacific
Texas-Arlington,Texas-Rio Grande Valley
UCLA,Pepperdine
Utah Valley,Northern Illinois
Xavier,Vanderbilt
West Virginia,Akron
American,Howard
