Winner,Loser
St. Peter's,Rutgers
Sacramento State,UC-Merced
Saint Louis,South Carolina Upstate
San Diego,San Diego Christian
Stanford,San Francisco
Savannah State,Trinity Baptist
Seton Hall,UMKC
Vermont,Siena
USC,Coppin State
St. Bonaventure,Bethune-Cookman
Stephen F. Austin,Howard Payne
Tennessee,Kennesaw State
Texas,Fresno State
Texas A&M,Louisiana Tech
Texas Christian,Cal Poly
UTEP,Oral Roberts
Texas State,Fordham
Texas Tech,Prairie View
Troy,Mississippi State
UCLA,Indiana State
Utah,Willamette
Valparaiso,Georgia Southern
Villanova,District of Columbia
VCU,Florida Gulf Coast
Wake Forest,Radford
Weber State,Arizona Christian
William & Mary,Hampton
Xavier,Fairleigh Dickinson
Air Force,Army
Alabama-Birmingham,Young Harris
Arizona State,Central Arkansas
Princeton,Buffalo
Butler,Elon
UC-Irvine,Nevada
Fairfield,Central Connecticut
Citadel,Virginia Military Institute
Cornell,Western Michigan
Dartmouth,Maine
Dayton,Arkansas State
Delaware State,Gwynedd-Mercy
Drake,William Jewell
East Carolina,Washington & Lee
Columbia,Furman
Gardner-Webb,Covenant
Youngstown State,George Washington
Green Bay,Chicago State
Quinnipiac,Hartford
UTSA,Holy Cross
Lincoln (PA),Howard
La Salle,Delaware
Long Beach State,North Alabama
Mercer,Sewanee
Missouri,Southern Illinois-Edwardsville
New Hampshire,Suffolk
North Florida,Edward Waters
Northern Colorado,University of the Southwest
Northern Iowa,Wartburg
Notre Dame,Evansville
Ohio,Portland
Old Dominion,Morgan State
Oregon,Northern Arizona
Pacific,Holy Names
Providence,NJIT
St. Thomas (TX),Rice
Sacred Heart,Yale
Saint Mary's (CA),Sonoma State
Santa Clara,Simpson (CA)
UCF,South Florida
Southern Miss,Western Kentucky
Tennessee Tech,Crowley's Ridge
Texas A&M-Corpus Christi,Texas Lutheran
Utah State,Idaho State
Vanderbilt,Nicholls State
Virginia Tech,ETSU
Washington State,Eastern Washington
Western Illinois,Wabash
Wichita State,North Carolina Central
Winthrop,St. Andrews
Wyoming,Western State
Air Force,Citadel
Alabama,West Alabama
Alcorn State,Oakwood
Arizona,Charleston Southern
Army,Virginia Military Institute
Ball State,Grambling
Baylor,Jackson State
Brown,Binghamton
Boise State,Texas Southern
Boston College,Florida International
University of California,Cal State Bakersfield
Cincinnati,UT-Martin
Florida,Alabama State
Georgetown,Duquesne
Hawaii,Arkansas-Pine Bluff
Holy Cross,Morgan State
Houston Baptist,Maryland-Eastern Shore
UIC,UC-Riverside
Jacksonville State,Eastern Michigan
Louisiana,Oakland
Louisville,Manhattan
Marquette,Colgate
Siena,Navy
Nebraska,Southern
Saint Mary (KS),Omaha
UNC,Florida Atlantic
North Carolina-Wilmington,North Carolina-Asheville
Ohio State,Albany (NY)
Oklahoma,Louisiana-Monroe
UTSA,Old Dominion
Oregon State,New Mexico State
Prairie View,Schreiner
Purdue,Hofstra
Syracuse,San Diego State
Seattle,Montana State
South Carolina,Milwaukee
SMU,Loyola Marymount
Stony Brook,Mount Ida College
Tulsa,Louisiana State-Shreveport
Villanova,Marshall
Washington,Loyola (MD)
Western Carolina,Mars Hill
Wisconsin,Southeastern Louisiana
Akron,John Carroll
Alabama-Huntsville,North Texas
Arkansas-Pine Bluff,Maryland-Eastern Shore
Cleveland State,Bowling Green State
Bradley,Texas-Rio Grande Valley
Cal State Northridge,Eastern Washington
Northwestern State,Campbell
Canisius,Boston University
Chattanooga,Tennessee Temple
Clemson,Presbyterian
Delaware,Penn
Delaware State,Cairn
Florida State,Buffalo
Youngstown State,Georgia
Gonzaga,West Virginia
Illinois,St. Francis (NY)
Illinois State,UCSB
Indiana,North Dakota State
Iowa,Central Michigan
Iowa State,Alabama A&M
Kansas State,Lamar
Lafayette,LIU-Brooklyn
Lehigh,Robert Morris
William & Mary,Liberty
Lipscomb,Maryville (MO)
Loyola (IL),Rockhurst
Maryland,Morehead State
UMBC,Eastern
Memphis,North Florida
Mercer,Oglethorpe
Michigan,IUPUI
Minnesota,Toledo
UNLV,Northern Arizona
Southern Illinois,New Orleans
Utah Valley,North Carolina A&T
North Carolina Central,Johnson & Wales (NC)
North Carolina-Greensboro,Winston-Salem
Notre Dame,Monmouth
Oregon,Portland State
Pitt,Fordham
Providence,Bryant
American,Quinnipiac
Radford,Cincinnati Christian
Rutgers,Sacred Heart
St. Joseph's,Yale
St. Peter's,Central Connecticut
Samford,Martin Methodist
Seton Hall,Norfolk State
Kennesaw State,South Carolina State
South Carolina Upstate,Hiwassee
Southeast Missouri State,Lyon
Stanford,Cal State Fullerton
Texas,Coppin State
Texas A&M,Troy
Texas Christian,Centenary (LA)
Virginia,Fairfield
Virginia Tech,Rhode Island
Wofford,Webber
Kansas State,Alabama-Huntsville
High Point,Appalachian State
Arkansas State,Arkansas-Monticello
Belmont,Maryville (MO)
Boise State,Oakland
IUPUI,Bowling Green State
BYU,Georgia State
Bucknell,George Mason
University of California,Pepperdine
Central Arkansas,Hendrix
UCF,Alabama State
Charlotte,Georgia Southern
Chicago State,Concordia (IL)
Cincinnati,Mississippi Valley State
Columbia,Haverford
UConn,Vermont
New Hampshire,Dartmouth
Duke,Kentucky
East Carolina,Methodist
Wright State,Eastern Illinois
Elon,Bridgewater (VA)
Fairfield,Penn
Florida Gulf Coast,Miami (FL)
Robert Morris,Fordham
Furman,Southern Wesleyan
Hawaii,Houston Baptist
Indiana State,Winthrop
Fort Wayne,Rochester (MI)
Jacksonville,Trinity Baptist
Michigan State,Kansas
Temple,Kent State
North Texas,Lamar
LSU,McNeese State
Marquette,Southeastern Louisiana
UMass,Harvard
Miami (OH),Grambling
Michigan,Cleveland State
Ole Miss,Coastal Carolina
Mississippi State,Florida Atlantic
Missouri,Alcorn State
UMKC,Lincoln (MO)
Mount St. Mary's,Hartford
New Mexico,Davidson
Niagara,Saint Francis (PA)
NJIT,Eastern Nazarene
Northwestern,Texas Southern
Pitt,Lehigh
Prairie View,Arlington Baptist
Northeastern,Princeton
Richmond,North Carolina-Wilmington
Stony Brook,Rider
Sam Houston State,Hardin-Simmons
San Diego State,San Diego Christian
San Francisco,Cal State East Bay
Houston,San Jose State
Middle Tennessee,Savannah State
South Dakota State,Tennessee State
USC,Long Beach State
St. John's (NY),Detroit
Stetson,Florida A&M
Texas State,Texas-Tyler
Tulane,Bethune-Cookman
UCLA,UC-Irvine
Valparaiso,Northern Illinois
Delaware,Virginia
Wichita State,VCU
Virginia Military Institute,Central Pennsylvania College
Albany (NY),Washington
Western Kentucky,Austin Peay
Western Michigan,Marygrove
Xavier,Butler
Fresno State,UC-Riverside
Citadel,Montreat
Colgate,Marist
St. Bonaventure,Cornell
Creighton,Alabama-Birmingham
Delaware State,Wagner
Denver,Texas A&M-Corpus Christi
Florida,Wisconsin
Lipscomb,Gardner-Webb
Georgetown,Liberty
Georgia Tech,Presbyterian
Holy Cross,Maine
Louisiana Tech,Little Rock
Loyola (MD),UMBC
Montana,Minot State
Navy,Binghamton
North Dakota,Crown College
Northern Iowa,Toledo
Oral Roberts,St. Gregory's
Rice,St. Edward's
Texas-Rio Grande Valley,Rochester (MI)
Sacramento State,Cal State Bakersfield
Santa Clara,Saint Louis
San Diego,Northern Kentucky
Savannah State,North Florida
South Alabama,William Carey
Southern,South Dakota
Southern Illinois-Edwardsville,Western Illinois
UT-Martin,Fontbonne
Texas Tech,Omaha
Washington State,Utah Valley
Wyoming,North Carolina Central
Air Force,Western State
Oklahoma State,Akron
Alabama,Oregon State
American,Mount St. Mary's
Arizona,UTEP
Murray State,Auburn
Baylor,Boston College
Cal Poly,Northern Colorado
UC-Irvine,Pacifica
Central Connecticut,Brown
Charleston Southern,Hiwassee
St. John's (NY),College of Charleston
Colorado,Dayton
Colorado State,Chadron State
Gardner-Webb,DePaul
Illinois State,Drexel
Buffalo,Evansville
Florida Gulf Coast,Ave Maria
Southern Miss,Georgia
Indiana,Sam Houston State
Iowa,Howard
Jacksonville State,Alabama A&M
Kansas,Chattanooga
Norfolk State,Longwood
Louisville,Samford
UMass,Providence
Minnesota,Tennessee State
Morehead State,Alice Lloyd
Nebraska,Valparaiso
New Mexico State,Southeastern Louisiana
Bethune-Cookman,New Orleans
Tennessee,North Carolina-Asheville
North Carolina Central,Southern
North Carolina State,Penn State
Tulsa,Northern Kentucky
Northwestern,Mississippi Valley State
Portland,Idaho State
Villanova,Purdue
Richmond,Hampton
Cal State Northridge,San Diego
San Jose State,Weber State
South Carolina State,Webber
Southeast Missouri State,McNeese State
Stanford,Alcorn State
Tennessee Tech,Coastal Carolina
Texas A&M,Prairie View
SMU,Texas Christian
UCLA,James Madison
Saint Mary's (CA),Utah State
Virginia Tech,Virginia Military Institute
Wichita State,Western Carolina
Wyoming,South Dakota
Akron,North Carolina-Asheville
Alabama,Villanova
Savannah State,Alabama State
Army,Binghamton
Auburn,College of Charleston
Ball State,Wofford
Colorado,Baylor
Dayton,Boston College
Florida State,BYU
Western Illinois,Buffalo
Cal State Northridge,Siena
Campbell,Appalachian State
Central Michigan,Olivet College
UConn,Wake Forest
St. Peter's,Cornell
University of California,Denver
Marshall,District of Columbia
East Carolina,North Carolina-Greensboro
Eastern Kentucky,Kennesaw State
Eastern Michigan,Eastern Illinois
Evansville,Yale
Fresno State,Pacific
Clemson,Furman
George Mason,Mercer
Georgia Southern,Webber
Green Bay,Southern Utah
Hartford,Sacred Heart
Harvard,Manhattan
Hofstra,South Dakota State
New Mexico,UIC
Quinnipiac,Iona
Fort Wayne,Texas-Rio Grande Valley
Kent State,Chicago State
Kentucky,Lafayette
UNC,Long Beach State
Western Michigan,Loyola (IL)
Maryland,LIU-Brooklyn
North Carolina State,UMass
Miami (FL),Jacksonville
Ole Miss,Little Rock
Missouri,Nicholls State
Murray State,St. John's (NY)
Nevada,Cal State Fullerton
Bucknell,Niagara
South Dakota,North Carolina Central
North Texas,Cameron
St. Joseph's,Notre Dame
Ohio,North Carolina-Wilmington
Oklahoma State,Tennessee
Oregon,Vanderbilt
Oregon State,Purdue
Penn State,Providence
Pepperdine,Washington State
Rutgers,Princeton
Towson,Radford
Tulsa,San Diego
South Carolina,Morgan State
South Florida,Maryland-Eastern Shore
Arkansas State,UT-Martin
Oklahoma,Texas-Arlington
Texas Southern,Louisiana
Tulane,Omaha
Sacramento State,Utah
Wright State,North Carolina A&T
Wyoming,Southern
Youngstown State,Saint Francis (PA)
Albany (NY),UMKC
George Washington,Boston University
Notre Dame,BYU
Bryant,New Hampshire
Bucknell,New Mexico State
Yale,Buffalo
Loyola Marymount,Cal State Bakersfield
Cal State Fullerton,Southern Utah
Cal State Northridge,Tulsa
UC-Riverside,Whitman
UCSB,Master's
Canisius,St. Bonaventure
Charlotte,Lamar
Citadel,Union (KY)
Cleveland State,Old Dominion
Marist,Columbia
DePaul,Austin Peay
Detroit,Drake
Tennessee Tech,ETSU
Eastern Illinois,Texas-Rio Grande Valley
Eastern Kentucky,Towson
Eastern Michigan,Fort Wayne
Elon,Colgate
Evansville,Western Illinois
Florida Atlantic,Coppin State
Stephen F. Austin,Florida International
Florida State,St. Joseph's
Illinois,Hawaii
William & Mary,High Point
Hofstra,District of Columbia
Houston,Grambling
Houston Baptist,Dallas Christian
Montana,Idaho
UIC,Mercer
Indiana State,Truman State
Iona,Wake Forest
Iowa,Gardner-Webb
Bradley,IUPUI
Radford,Kennesaw State
Loyola (MD),Norfolk State
Brown,Maine
South Dakota State,Marshall
Western Michigan,Maryland-Eastern Shore
Memphis,Samford
Milwaukee,Davidson
San Diego State,Missouri State
Nevada,Green Bay
UNLV,Jacksonville State
North Dakota State,Mayville State
Vermont,Northeastern
Northern Iowa,North Dakota
Siena,Northern Kentucky
Northwestern State,Hannibal-LaGrange
Ohio State,Rhode Island
Drexel,Penn
Pitt,Oakland
Rider,Monmouth
Washington,Seton Hall
South Florida,Loyola (IL)
Southern Illinois,Benedictine-Springfield
Temple,Rice
UTSA,South Carolina Upstate
SMU,Texas State
Utah State,Texas A&M-Corpus Christi
Utah Valley,Arizona Christian
Virginia,Seattle
Western Kentucky,Western Carolina
Wichita State,Howard
VCU,Winthrop
Xavier,Robert Morris
Air Force,Regis (CO)
Akron,Penn State
Alabama-Birmingham,Navy
Loyola (MD),Albany (NY)
Arizona State,Florida A&M
Arkansas,Longwood
Dayton,Auburn
Baylor,St. John's (NY)
Binghamton,St. Peter's
Boise State,Louisiana
College of Charleston,Boston College
Bucknell,West Alabama
Cal State Fullerton,Green Bay
Cal State Northridge,Northern Kentucky
Northern Arizona,UC-Davis
UCF,Savannah State
Southeast Missouri State,Chattanooga
Cincinnati,North Carolina A&T
Colgate,Coppin State
Colorado,Murray State
UConn,Quinnipiac
Creighton,Presbyterian
South Dakota State,District of Columbia
Duke,Florida Gulf Coast
Eastern Illinois,Fort Wayne
Eastern Kentucky,Radford
Eastern Michigan,Texas-Rio Grande Valley
Elon,Florida Atlantic
Florida,Middle Tennessee
New Mexico,George Mason
Gonzaga,South Dakota
Hofstra,Marshall
Illinois State,Delaware State
Iowa State,Campbell
Kansas State,North Florida
Towson,Kennesaw State
Valparaiso,Kent State
Central Connecticut,La Salle
Louisiana Tech,Troy
Louisville,Miami (OH)
Loyola (IL),Maryland-Eastern Shore
Tennessee,UMass
Michigan State,Texas Southern
Minnesota,Richmond
UMKC,Norfolk State
Montana State,Portland
Morehead State,Lafayette
Nebraska,Omaha
Nevada,Southern Utah
Niagara,New Mexico State
Providence,North Carolina-Asheville
Oklahoma State,North Carolina State
Northern Illinois,Judson
Northwestern,Fairleigh Dickinson
Ohio,Wofford
Ohio State,Washington
Seton Hall,Rhode Island
Saint Mary's (CA),Eastern Washington
San Diego,Siena
South Carolina State,NJIT
Western Michigan,South Florida
Belmont,Stanford
Sacred Heart,Stony Brook
Syracuse,Wagner
Texas Christian,Prairie View
Tulane,Chicago State
Western Illinois,Yale
Wisconsin,Cornell
Cleveland State,Alabama-Huntsville
Fort Valley State,Alcorn State
San Francisco,American
Arizona,Long Beach State
Little Rock,Milwaukee
Butler,Marquette
Fresno State,Cal Poly
UC-Irvine,Liberty
Chaminade,Texas
Troy,Chattanooga
Towson,Cincinnati Christian
New Mexico,UConn
Duquesne,James Madison
Fordham,Penn
Furman,Brevard
George Mason,Quinnipiac
Georgetown,UCLA
Indiana,Georgia
Georgia State,Monmouth
Houston,Louisiana College
Illinois,USC
UIC,Iona
North Texas,IUPUI
Kansas,Washington State
Lehigh,Fairfield
Louisiana Tech,Southeast Missouri State
Wake Forest,Mercer
UNC,Mississippi State
Jacksonville,Missouri State
Virginia Tech,North Carolina-Greensboro
North Dakota State,Youngstown State
Oregon,Jacksonville State
Oral Roberts,Pacific
Robert Morris,Bowling Green State
Saint Louis,Texas A&M
Southern Miss,Sam Houston State
Tennessee State,South Alabama
South Carolina,Rider
SMU,Malone
Stetson,Southeastern
Virginia,Lamar
Alabama A&M,Oakwood
Alabama-Birmingham,Prairie View
Bowling Green State,Alabama-Huntsville
Arizona State,Cornell
Arkansas,Florida A&M
Austin Peay,Western Carolina
Indiana State,Ball State
Butler,UNC
Cal State Bakersfield,Westmont
Southern Miss,UC-Irvine
Canisius,Buffalo
Middle Tennessee,UCF
Illinois,Chaminade
ETSU,Charleston Southern
Louisiana Tech,Chattanooga
Cincinnati,Campbell
Coastal Carolina,Johnson & Wales (NC)
Creighton,Longwood
Wichita State,DePaul
North Dakota State,Duquesne
East Carolina,Appalachian State
Utah Valley,Eastern Washington
Fairfield,Fordham
Florida,Savannah State
Gardner-Webb,Howard
Indiana,Georgetown
UCLA,Georgia
Georgia State,Tennessee State
La Salle,Hartford
Hawaii,North Dakota
Pepperdine,Houston Baptist
Idaho,Green Bay
Illinois State,Fairleigh Dickinson
Iowa,Western Kentucky
Iowa State,North Carolina A&T
Fort Wayne,Judson
Lamar,IUPUI
James Madison,Youngstown State
Kansas,Saint Louis
Kent State,Bethune-Cookman
Lehigh,Penn
LSU,Northwestern State
Marquette,Mississippi State
Maryland,Lafayette
Central Connecticut,UMBC
Michigan State,Boise State
Ole Miss,McNeese State
Monmouth,South Alabama
New Orleans,Blue Mountain College
North Carolina Central,Toccoa Falls
Northwestern,Delaware State
Ohio,Hampton
Richmond,Wofford
Robert Morris,Cleveland State
Rutgers,Boston University
UC-Davis,Sacramento State
St. Joseph's,Harvard
Sam Houston State,Liberty
San Jose State,UC-Santa Cruz
Santa Clara,South Carolina Upstate
Albany (NY),South Carolina State
South Florida,Bradley
Troy,Southeast Missouri State
Southeastern Louisiana,Louisiana College
USC,Texas
Southern Illinois,Southern Illinois-Edwardsville
Army,St. Francis (NY)
Stephen F. Austin,Jarvis Christian
UT-Martin,Lyon
Evansville,Tennessee Tech
Texas A&M,Washington State
Texas Christian,Navy
Oakland,Texas Southern
Texas Tech,Grambling
Columbia,Villanova
Virginia,North Texas
Winthrop,Lenoir-Rhyne
Wisconsin,Presbyterian
Air Force,Montana State
Little Rock,Jacksonville
Gardner-Webb,Austin Peay
Boston College,Auburn
BYU,UTSA
Bryant,Brown
Illinois,Butler
Northeastern,UC-Riverside
UCSB,San Diego
Arkansas State,Central Arkansas
Central Michigan,Wright State
UNC,Chaminade
Kansas State,Delaware
Colorado State,Denver
Western Kentucky,DePaul
Duquesne,Youngstown State
Rochester (MI),Eastern Illinois
Eastern Washington,South Carolina Upstate
Florida Gulf Coast,Alcorn State
Florida State,North Florida
Georgia State,South Alabama
High Point,St. Andrews
Western Carolina,Howard
Wichita State,Iowa
North Dakota State,James Madison
Georgia Southern,Kennesaw State
Kentucky,Morehead State
Southern Miss,Liberty
Louisiana,Southern-New Orleans
Manhattan,Hofstra
Marquette,USC
Michigan,Pitt
Texas,Mississippi State
Missouri State,Malone
Monmouth,Tennessee State
Nebraska,Tulane
New Mexico State,Northern New Mexico
NJIT,New Hampshire
Wyoming,Northern Colorado
Notre Dame,George Washington
Virginia Military Institute,Old Dominion
Portland,Portland State
Purdue,North Carolina-Wilmington
Radford,Brevard
Colgate,Saint Francis (PA)
Sam Houston State,UC-Irvine
Toledo,Samford
San Diego State,Arkansas-Pine Bluff
Santa Clara,Utah Valley
Seattle,Pacific Lutheran
Seton Hall,Maine
Elon,South Carolina
South Dakota State,Southwest State (MN)
SMU,Rider
Southern Utah,Carroll (MT)
St. John's (NY),Holy Cross
Syracuse,Princeton
Tulsa,Jackson State
Utah,Idaho State
Vermont,Yale
Miami (OH),William & Mary
Belmont,Alaska-Anchorage
Alcorn State,Samford
University of California,Drake
Charlotte,Texas State
Gonzaga,Clemson
Davidson,Vanderbilt
Saint Mary's (CA),Drexel
Duke,Minnesota
Florida Gulf Coast,Toledo
Georgia Tech,Rice
Louisville,Northern Iowa
Oral Roberts,Loyola Marymount
West Virginia,Marist
VCU,Memphis
Missouri,Stanford
Oklahoma,UTEP
Pacific,Xavier
Alabama,Charleston Southern
Illinois State,Alabama-Birmingham
Alaska-Anchorage,UC-Riverside
Arizona State,Arkansas
Northeastern,Belmont
Bethune-Cookman,Omaha
Cal State Fullerton,San Diego Christian
University of California,Georgia Tech
North Carolina A&T,Campbell
Charlotte,Oral Roberts
Cincinnati,Iowa State
Clemson,UTEP
Columbia,Wayland Baptist
Cornell,Presbyterian
Creighton,Wisconsin
Davidson,West Virginia
Pitt,Delaware
Fairleigh Dickinson,Delaware State
Drake,Rice
Xavier,Drexel
Duke,VCU
Florida,UCF
Longwood,Florida A&M
Georgia,ETSU
Gonzaga,Oklahoma
Wofford,Hampton
Wright State,Idaho State
Rider,Jacksonville
Jacksonville State,Northern Arizona
Michigan,Kansas State
Kentucky,LIU-Brooklyn
Louisville,Missouri
Loyola Marymount,Texas State
Marist,Vanderbilt
Minnesota,Memphis
Michigan State,Oakland
Ole Miss,Lipscomb
Prairie View,Navy
Oregon,UNLV
New Mexico,Idaho
New Mexico State,Louisiana
North Carolina State,North Carolina-Asheville
Stanford,Northern Iowa
Northwestern,Texas Christian
Ohio State,UMKC
Pacific,Saint Mary's (CA)
Penn State,Bucknell
Providence,Fairfield
Loyola (MD),Rhode Island
Santa Clara,Eastern Washington
South Carolina Upstate,Utah Valley
South Dakota,Culver-Stockton
Utah,Central Michigan
Valparaiso,Chicago State
Virginia Tech,Appalachian State
Wake Forest,William & Mary
Texas Christian,Alabama-Birmingham
Alaska-Anchorage,Loyola Marymount
Creighton,Arizona State
Wisconsin,Arkansas
Little Rock,SMU
College of Charleston,Baylor
Belmont,Oral Roberts
Valparaiso,Bethune-Cookman
Binghamton,Marywood
Boise State,UCSB
Bradley,UT-Martin
BYU,Cal State Northridge
St. Francis (NY),Brown
Buffalo,Mansfield
Texas State,UC-Riverside
Northern Arizona,Campbell
Sacramento State,Central Arkansas
Central Michigan,Idaho State
Omaha,Chicago State
Cincinnati,Oregon
Radford,Citadel
Florida International,Coastal Carolina
Coppin State,Cheyney
Cornell,Longwood
Fort Wayne,Dartmouth
Dayton,Manhattan
Navy,Delaware State
Duke,Louisville
Eastern Illinois,Houston Baptist
Eastern Kentucky,Norfolk State
Eastern Michigan,Madonna
Fairleigh Dickinson,Prairie View
Florida A&M,Presbyterian
Florida Atlantic,American
George Mason,Boston University
George Washington,Hofstra
Georgetown,Mount St. Mary's
Green Bay,North Dakota State
Hartford,Central Connecticut
Holy Cross,New Hampshire
UIC,Southeast Missouri State
Northwestern,Illinois State
UNLV,Iowa State
Jacksonville,Milwaukee
Jacksonville State,North Carolina A&T
Chattanooga,Kennesaw State
Princeton,Lafayette
LSU,Mississippi Valley State
Louisiana Tech,Louisiana-Monroe
Marshall,Nevada
Maryland,Georgia Southern
Memphis,Northern Iowa
Miami (FL),Detroit
Miami (OH),James Madison
Middle Tennessee,Texas Southern
Minnesota,Stanford
Missouri,VCU
South Carolina,Missouri State
Montana,San Diego
Murray State,Old Dominion
Kent State,Nebraska
St. Bonaventure,Niagara
NJIT,South Carolina State
Wagner,North Carolina Central
North Carolina-Wilmington,Wofford
Loyola (IL),Northern Illinois
Notre Dame,Saint Francis (PA)
Ohio,Richmond
Pepperdine,UC-Irvine
Saint Louis,Southern Illinois
Texas-Arlington,Samford
San Francisco,Columbia
Savannah State,Western Illinois
South Dakota,Waldorf
St. John's (NY),Florida Gulf Coast
Stony Brook,Canisius
Texas-Rio Grande Valley,Southern Illinois-Edwardsville
Tulane,Southern
Stephen F. Austin,Tulsa
Utah,Wright State
Utah State,Weber State
Virginia Military Institute,Elon
Colorado State,Washington
Washington State,Arkansas-Pine Bluff
Western Kentucky,Brescia
Wyoming,Cal State Bakersfield
Yale,Army
South Carolina,Little Rock
Arkansas State,Lamar
Rhode Island,Auburn
Bryant,Boston College
University of California,Pacific
Charlotte,Northeastern
Clemson,Marist
Colorado,Air Force
UConn,Stony Brook
Gonzaga,Davidson
Xavier,Drake
Drexel,Rice
Long Beach State,Fresno State
Georgia Tech,Saint Mary's (CA)
Howard,Wilmington (DE)
Illinois,Gardner-Webb
Indiana,Ball State
Indiana State,High Point
La Salle,Villanova
Maine,Siena
Mercer,Furman
Michigan State,Louisiana
Rider,Milwaukee
SMU,Missouri State
New Mexico,Portland
Rutgers,North Carolina-Greensboro
North Carolina-Wilmington,Hampton
Oklahoma,West Virginia
Oklahoma State,Portland State
Oregon State,Montana State
Lehigh,Sacred Heart
Seton Hall,St. Peter's
San Diego State,USC
Syracuse,Colgate
Temple,Delaware
Houston,Texas A&M-Corpus Christi
Vanderbilt,UTEP
Troy,Alabama State
Cal Poly,UCLA
Albany (NY),Wagner
Colorado State,Northern Colorado
Evansville,Alabama A&M
Mount St. Mary's,George Washington
East Carolina,Georgia State
IUPUI,Indiana-East
Kansas,San Jose State
Murray State,Lipscomb
Loyola (MD),Towson
Marquette,UMBC
Monmouth,Lafayette
Morehead State,Norfolk State
Nicholls State,New Orleans
Notre Dame,Chicago State
Savannah State,Robert Morris
Southeast Missouri State,Hannibal-LaGrange
South Florida,Stetson
Tennessee,Oakland
Tennessee State,Fisk
Texas A&M,Northwestern State
Texas Tech,Jackson State
Alabama,Lamar
North Florida,Bethune-Cookman
Bowling Green State,Detroit
Bucknell,Dartmouth
Butler,Hanover
Colorado,Texas Southern
DePaul,Fairfield
Minnesota,Florida State
Vermont,Harvard
Indiana,UNC
McNeese State,Centenary (LA)
Michigan,North Carolina State
Mississippi State,Alcorn State
NJIT,Lyndon State
North Carolina Central,Utah Valley
UIC,Northern Illinois
Maryland,Northwestern
Pitt,Howard
Portland,Lewis & Clark
Presbyterian,Toccoa Falls
Providence,Holy Cross
Lehigh,Quinnipiac
Sacramento State,Dominican (CA)
Southern Miss,Denver
Texas,Sam Houston State
Alabama-Birmingham,Troy
Tulane,Loyola (LA)
Virginia Tech,Iowa
Nebraska,Wake Forest
Air Force,Jackson State
Duquesne,Appalachian State
Arizona,Northern Arizona
Arizona State,Arkansas-Pine Bluff
Austin Peay,Berea
Cleveland State,Ball State
Boston University,Coastal Carolina
BYU,Montana
Temple,Buffalo
Wyoming,UCSB
Bradley,Central Michigan
College of Charleston,Charleston Southern
Purdue,Clemson
Loyola (MD),Coppin State
Stony Brook,Cornell
Boise State,Creighton
Weber State,Dayton
Duke,Ohio State
Central Arkansas,Eastern Illinois
Eastern Kentucky,Delaware State
Western Carolina,Furman
Elon,Georgia Southern
Illinois,Georgia Tech
Iona,Niagara
George Washington,James Madison
Lafayette,Delaware
LIU-Brooklyn,Columbia
Longwood,Central Pennsylvania College
