Winner,Loser
Northern Illinois,Cal State Northridge
Northwestern,UMass-Lowell
Notre Dame,Saint Francis (PA)
Oklahoma State,UT-Martin
Old Dominion,Niagara
Oral Roberts,Missouri State
Oregon,Jackson State
Penn,Robert Morris
Portland,Oregon Tech
Purdue,North Carolina A&T
Rhode Island,American
James Madison,Richmond
Princeton,Rider
Rutgers,Rutgers-Newark
Sacred Heart,Quinnipiac
St. Joseph's,Drexel
Saint Mary's (CA),San Francisco State
St. Peter's,Brown
San Diego State,Illinois State
Lipscomb,Santa Clara
Savannah State,Florida National University
Arkansas-Pine Bluff,Seattle
Seton Hall,Dartmouth
South Alabama,Auburn Montgomery
South Dakota State,Chadron State
Troy,South Florida
USC,San Diego
Southern Illinois,Air Force
Southern Illinois-Edwardsville,Arkansas State
St. Bonaventure,Binghamton
St. John's (NY),Wagner
Stanford,Green Bay
Syracuse,Lehigh
UNC,Temple
Tennessee,North Carolina-Asheville
Texas A&M,South Carolina Upstate
Texas A&M-Corpus Christi,Our Lady of the Lake
Texas Christian,Southeastern Louisiana
Texas Tech,High Point
Alabama A&M,Tulane
Monmouth,UCLA
Utah,Southern Utah
Valparaiso,Fort Wayne
Vanderbilt,Austin Peay
Villanova,Fairleigh Dickinson
Virginia,Morgan State
VCU,Prairie View
Wake Forest,UMBC
Washington,Texas
Washington State,Northern Arizona
Utah State,Weber State
West Virginia,Northern Kentucky
Wichita State,Charleston Southern
Western Illinois,Wisconsin
Wright State,South Dakota
Wyoming,Bristol University
Xavier,Miami (OH)
Yale,Fairfield
Akron,Cleveland State
Appalachian State,Jacksonville
Little Rock,Central Baptist
Boston College,St. Francis (NY)
Bowling Green State,New Orleans
Butler,Citadel
Cal State Bakersfield,San Diego Christian
UC-Riverside,William Jessup
Creighton,Texas Southern
Davidson,UCF
DePaul,Western Michigan
Duke,Bryant
ETSU,Averett
Radford,Georgetown
Kent State,Youngstown State
Kentucky,NJIT
La Salle,Towson
Liberty,Summit
Milwaukee,Lipscomb
Long Beach State,Brigham Young-Hawaii
Loyola (IL),Eureka
UMass,Howard
Memphis,Southern Miss
Grambling,Mid-Atlantic Christian
Montana State,Hawaii-Hilo
Nebraska,Mississippi Valley State
North Carolina-Greensboro,Greensboro
Northern Illinois,South Dakota
Colorado State,Northern Iowa
Ohio,Florida Gulf Coast
Oregon State,Northwest Christian
Penn State,Virginia Military Institute
Providence,Harvard
Idaho,San Jose State
Denver,Santa Clara
South Carolina,Norfolk State
SMU,Sam Houston State
Stony Brook,Merchant Marine Academy
Tennessee Tech,Piedmont
Texas-Arlington,Fordham
UTEP,Loyola (LA)
Toledo,West Virginia Tech
Tulsa,Central Arkansas
Utah Valley,Great Falls
Alabama State,Virginia Tech
Western Kentucky,Campbellsville
Winthrop,Hampton
Cal State Northridge,Wright State
Army,Binghamton
Wake Forest,Bucknell
UC-Davis,Portland
UC-Irvine,Loyola Marymount
Cincinnati,Robert Morris
Clemson,UTSA
Eastern Washington,George Fox
Evansville,Southeast Missouri State
Florida State,Nicholls State
Hawaii,Coastal Carolina
High Point,North Carolina Wesleyan
Illinois,North Dakota State
Iowa,Coppin State
Jacksonville State,Fort Valley State
Lafayette,St. Peter's
Denver,Lipscomb
Minnesota,Louisiana-Monroe
Missouri,Maryland-Eastern Shore
UMKC,William Jewell
Omaha,Saint Mary's (MN)
Nevada,Montana State
New Mexico,New Mexico State
UNC,Fairfield
North Carolina State,South Alabama
Northern Illinois,Wright State
Ohio State,Mount St. Mary's
Penn,Central Connecticut
Purdue,Vermont
Richmond,Stetson
Rutgers,Howard
St. Joseph's,Niagara
Saint Louis,Hartford
Milwaukee,Santa Clara
Sacramento State,Seattle
Seton Hall,Wagner
South Dakota,Cal State Northridge
Southern Illinois,Florida A&M
Stanford,Charleston Southern
Troy,Reinhardt
UCLA,Cal Poly
Valparaiso,Iona
Western Carolina,North Carolina-Asheville
Western Illinois,Hannibal-LaGrange
Wisconsin,Siena
Air Force,Tennessee Tech
Akron,Hiram
Alabama-Birmingham,Alabama State
Arizona,Bradley
Arizona State,Belmont
Arkansas State,Lyon
Ball State,Eastern Illinois
Boise State,Northern Arizona
Boston University,Albany (NY)
Brown,Holy Cross
University of California,UCSB
Canisius,Lehigh
Chattanooga,Hiwassee
Cornell,Colgate
Detroit,Central State (OH)
Duquesne,New Orleans
East Carolina,Charlotte
Fairleigh Dickinson,Fairleigh Dickinson-Florham
Florida,North Carolina A&T
Florida Gulf Coast,Texas Wesleyan
Florida International,Florida Memorial
Fresno State,Lamar
George Washington,Virginia
Georgia Tech,Tennessee
Hawaii,Nevada
Hofstra,Molloy
Houston Baptist,Crowley's Ridge
Idaho State,Dickinson State (ND)
Illinois State,Morehead State
Incarnate Word,Schreiner
Indiana,Austin Peay
Indiana State,Wyoming
Iowa State,Chicago State
Fort Wayne,Manchester
Jacksonville State,Oakwood
Kansas State,Columbia
Long Beach State,BYU
Longwood,La Roche
LSU,Kennesaw State
LIU-Brooklyn,Loyola (MD)
Marquette,IUPUI
Mercer,George Mason
Miami (FL),Louisiana
Michigan,Elon
Ole Miss,Georgia Southern
Southern,Mississippi State
College of Charleston,Navy
UNLV,New Mexico Highlands
North Carolina Central,Allen
North Carolina-Wilmington,Eastern Kentucky
North Florida,Texas-Rio Grande Valley
North Texas,Texas College
Louisiana State-Alexandria,Northwestern State
Ohio,Tennessee State
Oklahoma State,Arkansas-Pine Bluff
Old Dominion,Buffalo
Oregon,Baylor
Pepperdine,San Diego Christian
Portland State,Pacific Lutheran
Presbyterian,South Carolina Upstate
Saint Mary's (CA),Manhattan
Samford,Auburn Montgomery
San Francisco,Rice
San Jose State,Montana
Savannah State,Campbell
South Carolina,Oral Roberts
South Carolina State,Voorhees
South Dakota State,Weber State
NJIT,South Florida
USC,Monmouth
St. John's (NY),UMBC
Bethune-Cookman,UT-Martin
Texas A&M,Southeastern Louisiana
Texas State,Texas-Tyler
Towson,Morgan State
Tulane,Drake
Utah,San Diego State
Vanderbilt,Gardner-Webb
VCU,Radford
West Virginia,James Madison
Yale,Sacred Heart
Abilene Christian,Howard Payne
Hampton,American
Furman,Appalachian State
Colorado,Auburn
Cal State Bakersfield,Idaho
Central Michigan,Alma
Citadel,Stetson
Cleveland State,Malone
UConn,New Hampshire
Creighton,UTSA
Dayton,Alabama
Penn,Delaware State
Kentucky,Duke
ETSU,Green Bay
Evansville,Marian
Warner Southern,Florida Atlantic
Florida State,Jacksonville
Fordham,Queens (NY)
Grand Canyon,Black Hills State
UMass,Harvard
La Salle,Rider
William & Mary,Liberty
Lipscomb,Oakland City
Louisiana Tech,Texas-Arlington
Louisville,Hartford
Marist,Dartmouth
Maryland,Georgetown
Louisiana College,McNeese State
Oklahoma,Memphis
Miami (OH),Kenyon
Michigan State,Kansas
Murray State,Middle Tennessee
Omaha,UMKC
Norfolk State,Washington Adventist
North Carolina-Greensboro,Chowan
Northeastern,Wentworth
Northern Colorado,Colorado Christian
Northern Iowa,Stephen F. Austin
Northern Kentucky,Tiffin
Notre Dame,Milwaukee
Ohio State,Grambling
Oregon State,Iona
Cal State Fullerton,Pacific
Penn State,DePaul
Pitt,Saint Joseph's (IN)
Valparaiso,Rhode Island
Saint Francis (PA),Westminster
Sam Houston State,St. Thomas (TX)
Jackson State,Southern Miss
St. Francis (NY),Mount Saint Vincent
Syracuse,St. Bonaventure
Tulsa,Wichita State
Utah State,Adams State
Villanova,Nebraska
Virginia Military Institute,Tusculum
Western Illinois,UIC
Western Michigan,San Diego
Winthrop,Truett-McConnell
Wisconsin,North Dakota
Xavier,Missouri
Arizona State,Kennesaw State
Akron,Arkansas
Little Rock,Centenary (LA)
Fort Wayne,Austin Peay
Belmont,Western Kentucky
Cincinnati,Bowling Green State
Bryant,Emerson
Cal Poly,Cal State Monterey Bay
Cal State Northridge,Vanguard
UC-Davis,Fresno Pacific
UC-Irvine,UCF
Charleston Southern,Johnson & Wales (NC)
Chicago State,Indiana-Northwest
Coastal Carolina,Grace Bible
Coppin State,Goldey-Beacom
Cornell,Binghamton
Denver,Utah Valley
High Point,Drexel
Eastern Washington,Seattle
Elon,Belmont Abbey
Army,Fairleigh Dickinson
Florida A&M,Thomas University
Gonzaga,Northern Arizona
Houston,Prairie View
Loyola (MD),UMBC
UMass-Lowell,Sacred Heart
UNLV,Southern Utah
New Mexico,Loyola (IL)
New Mexico State,Tennessee Tech
Niagara,Brown
UNC,Wofford
North Carolina-Asheville,Mars Hill
Roanoke,North Carolina A&T
North Carolina State,IUPUI
North Dakota State,Valley City State
North Florida,Edward Waters
Northwestern,Fairfield
Oakland,Eastern Michigan
Old Dominion,Morgan State
Presbyterian,Toccoa Falls
Providence,Illinois
Purdue,Incarnate Word
Radford,Catawba
Bucknell,Robert Morris
St. Joseph's,Buffalo
San Diego State,San Diego Christian
Savannah State,Arkansas State
Southeastern Louisiana,Mississippi College
Southern Illinois,Kent State
Saint Louis,Southern Illinois-Edwardsville
Tennessee State,Fisk
Valparaiso,Indiana-Kokomo
Vermont,Quinnipiac
Virginia Tech,Jacksonville State
Richmond,Wake Forest
Toledo,Youngstown State
Air Force,Mississippi Valley State
Alabama A&M,Southeast Missouri State
Albany (NY),Colgate
Arizona,Boise State
Boston College,Central Connecticut
Virginia,Bradley
UC-Riverside,Santa Clara
Charlotte,Furman
Citadel,Mid-Atlantic Christian
Clemson,Texas Southern
Colorado State,Loyola Marymount
Fresno State,San Francisco
Gardner-Webb,Toccoa Falls
George Mason,Ole Miss
Georgia State,Emmanuel
Georgia Tech,Green Bay
Grand Canyon,Alcorn State
New Hampshire,Holy Cross
South Dakota State,Illinois State
Indiana,Creighton
Yale,Lehigh
LIU-Brooklyn,Maine
LSU,South Alabama
Iowa,Marquette
UMass,Central Arkansas
Memphis,Grambling
Mercer,Alabama State
Temple,Minnesota
Miami (FL),Mississippi State
Butler,Missouri State
Nebraska,Delaware State
New Orleans,Pensacola Christian
Nicholls State,Mobile
NJIT,Boston University
Louisiana-Monroe,Northwestern State
Oregon State,Rice
Hartford,St. Peter's
Long Beach State,Seton Hall
Navy,South Carolina Upstate
George Washington,South Florida
Southern,Tulane
St. John's (NY),Rutgers
SMU,Stanford
Tennessee,Marshall
Texas A&M,Texas A&M-Corpus Christi
Texas Christian,Houston Baptist
Utah,Texas Tech
Oklahoma State,Towson
Alabama-Birmingham,Troy
UCLA,Pepperdine
Valparaiso,Trinity Christian
Vanderbilt,Stony Brook
Washington,Mount St. Mary's
Weber State,Antelope Valley
William & Mary,Washington Adventist
Wyoming,New Mexico Highlands
Alabama,Louisiana
Arkansas,Charleston Southern
Auburn,Georgia Southern
Baylor,Jackson State
Seton Hall,Bradley
BYU,Adams State
Bryant,Prairie View
Butler,Temple
Cal State Bakersfield,Fresno Pacific
University of California,East Carolina
Colorado,Portland
Duquesne,Penn State
Eastern Kentucky,Ball State
Eastern Michigan,Siena Heights
Northeastern,Florida Atlantic
Hofstra,Florida State
Georgetown,Wisconsin
Georgia,Murray State
Hampton,Appalachian State
Howard,Medgar Evers
Iona,Delaware
Jacksonville,Florida College
James Madison,Florida International
Kansas State,South Dakota
Kentucky,Wright State
South Carolina State,Longwood
Maryland,Rider
Miami (OH),Lipscomb
Xavier,Michigan
Michigan State,Arkansas-Pine Bluff
Milwaukee,Trinity International (IL)
Minnesota,Missouri State
Montana State,San Jose State
Indiana State,Norfolk State
Northern Arizona,Embry-Riddle Aeronautical University
Northwestern,Columbia
Texas-Arlington,Ohio State
Oklahoma,McNeese State
George Mason,Oklahoma State
Oregon,Savannah State
Pitt,Detroit
Siena,Radford
Sacramento State,Holy Names
South Carolina,DePaul
Oral Roberts,UT-Martin
Texas-Rio Grande Valley,Texas A&M-Kingsville
Texas Tech,Mississippi State
Ole Miss,Towson
Tulsa,Ohio
Miami (FL),Utah
Utah State,Union (TN)
Utah Valley,Antelope Valley
Villanova,ETSU
Virginia,Long Beach State
Duke,VCU
Washington State,Idaho State
West Virginia,Stetson
Winthrop,Jacksonville State
Alabama A&M,Oakwood
Albany (NY),SUNY-Oneonta
Ball State,Longwood
Siena,Bryant
Cal Poly,Austin Peay
Cal State Fullerton,San Diego
Oregon State,UCSB
Morgan State,Campbell
Canisius,Cornell
UCF,North Carolina-Greensboro
Chicago State,Trinity International (IL)
Coastal Carolina,Piedmont
UConn,Furman
Davidson,College of Charleston
Dayton,William & Mary
Lamar,Delaware State
Florida State,DePaul
UMKC,Drake
Monmouth,Drexel
Western Illinois,Eastern Illinois
Eastern Kentucky,South Carolina State
Evansville,Belmont
Fairfield,Sacred Heart
Florida Gulf Coast,Youngstown State
Florida International,UT-Martin
Fordham,Fairleigh Dickinson
Gonzaga,Mount St. Mary's
Louisiana Tech,Grambling
High Point,Western Carolina
Houston,Florida A&M
Idaho,Linfield
Chattanooga,Illinois
Illinois State,Houston Baptist
Fort Wayne,Southern Illinois-Edwardsville
IUPUI,Kentucky State
Oral Roberts,James Madison
Kent State,Marist
Liberty,Central Pennsylvania College
Northeastern,Lipscomb
Louisville,North Florida
Loyola (IL),Toledo
Bucknell,Manhattan
Florida Atlantic,Miami (OH)
Montana,Carroll
New Mexico State,Mississippi Valley State
NJIT,Lafayette
Ohio,Norfolk State
Buffalo,North Carolina A&T
North Carolina-Wilmington,Western Michigan
North Dakota,Bowling Green State
UMBC,Northern Colorado
Northern Illinois,Eureka
Northern Iowa,UNC
Morehead State,Northern Kentucky
Notre Dame,UMass-Lowell
Nevada,Pacific
Presbyterian,Citadel
Princeton,St. Peter's
Providence,Brown
Purdue,Old Dominion
Radford,Prairie View
Rhode Island,Cleveland State
Richmond,Bethune-Cookman
Rutgers,Central Arkansas
Saint Francis (PA),American
Florida,St. Joseph's
Saint Louis,St. Francis (NY)
Southern Illinois,Sam Houston State
Samford,Kennesaw State
Little Rock,San Diego State
San Francisco,UC-Riverside
Bob Jones University,South Carolina Upstate
Boston University,South Florida
USC,New Mexico
UTSA,Southern Utah
St. Bonaventure,Loyola (MD)
Syracuse,Elon
Middle Tennessee,Tennessee State
Texas,Texas A&M-Corpus Christi
Texas A&M,North Carolina-Asheville
South Dakota State,Texas Christian
UTEP,Texas State
Vermont,Niagara
Virginia Tech,Virginia Military Institute
Wagner,Maine
Washington,Penn
Western Kentucky,Stony Brook
Wichita State,Emporia State
Wofford,Maryland-Eastern Shore
Air Force,Robert Morris
Alabama-Birmingham,Jacksonville State
Arizona,Northwestern State
Arkansas State,Jackson State
Ball State,South Carolina State
Boston College,Harvard
Towson,Bradley
Cincinnati,Arkansas-Pine Bluff
Colorado,Omaha
Colorado State,Oakland
Columbia,Lehigh
Duke,Georgetown
Eastern Kentucky,Longwood
Florida Gulf Coast,North Dakota
Oral Roberts,Florida International
George Washington,Army
ETSU,Georgia Tech
Green Bay,Minnesota-Duluth
Hawaii,Nicholls State
Tulsa,Indiana State
UT-Martin,James Madison
Lipscomb,Florida Atlantic
Oklahoma State,Long Beach State
LIU-Brooklyn,North Carolina Central
Loyola Marymount,Antelope Valley
Cal Poly,UMBC
Miami (FL),Butler
Miami (OH),Northeastern
Mississippi State,Missouri State
Montana State,Wyoming
Navy,Goucher
Nebraska,Southeastern Louisiana
Niagara,North Carolina A&T
Austin Peay,Northern Colorado
Oregon,Valparaiso
Portland,Abilene Christian
Purdue,Florida
Quinnipiac,Holy Cross
Fresno State,Rice
St. Joseph's,Old Dominion
Saint Mary's (CA),Stanford
Seton Hall,Ole Miss
South Carolina,Hofstra
SMU,Yale
Stephen F. Austin,Louisiana State-Shreveport
Tennessee,Gardner-Webb
UTEP,Alcorn State
Portland State,Texas-Rio Grande Valley
Texas Tech,Minnesota
Tulane,Appalachian State
Utah,Temple
Buffalo,Vermont
Villanova,Akron
Virginia,George Mason
Wisconsin,VCU
Bowling Green State,Youngstown State
Arizona State,North Carolina State
Baylor,Savannah State
Boise State,Concordia (OR)
University of California,Sam Houston State
UC-Irvine,Santa Clara
Central Arkansas,UTSA
Weber State,Central Michigan
Kansas,Chaminade
UMass,Clemson
Coppin State,Chestnut Hill
Cornell,Penn State-Harrisburg
Davidson,Mercer
DePaul,Norfolk State
Detroit,Michigan-Dearborn
Bowling Green State,Florida Gulf Coast
Florida State,Ohio
Grand Canyon,Mississippi Valley State
Indiana State,Hofstra
Howard,Texas Southern
Illinois,Chicago State
Wake Forest,Indiana
Iowa State,Chattanooga
Jacksonville,Thomas University
Kansas State,Missouri
Kennesaw State,IUPUI
La Salle,Lafayette
Marquette,LSU
Texas-Arlington,Memphis
Michigan State,Eastern Michigan
Morgan State,Goldey-Beacom
Murray State,Milwaukee
UNC,Northwestern
Idaho,North Texas
Northern Arizona,San Diego Christian
Pacific,Notre Dame (CA)
Pepperdine,Duquesne
Providence,NJIT
Creighton,Rutgers
Samford,Troy
San Diego State,East Carolina
Seattle,Eastern Washington
Belmont,South Alabama
South Carolina,Tulsa
USC,Cal State Northridge
William Carey,Southern Miss
Stetson,Fort Valley State
Texas A&M-Corpus Christi,St. Edward's
UCLA,UNLV
Vanderbilt,St. John's (NY)
West Virginia,Bethune-Cookman
Drake,Western Kentucky
Western Michigan,Rochester (MI)
Xavier,Northern Kentucky
Youngstown State,North Dakota
Marquette,Arizona State
New Hampshire,Brown
Siena,Bucknell
UC-Riverside,Delaware State
St. Bonaventure,Canisius
Binghamton,Central Connecticut
UNLV,Chaminade
Charleston Southern,ETSU
Cincinnati,Southeastern Louisiana
Cleveland State,Rider
Coastal Carolina,College of Charleston
Colorado State,Abilene Christian
Columbia,Wofford
Delaware,Fairleigh Dickinson
Weber State,Drake
Fordham,Colgate
George Washington,Gardner-Webb
Green Bay,Akron
Hartford,Niagara
South Dakota State,Houston Baptist
Idaho,Troy
UIC,Roosevelt
Indiana,St. John's (NY)
South Alabama,IUPUI
Alabama A&M,Jacksonville State
James Madison,East Mennonite
Belmont,Kennesaw State
Kent State,Saint Francis (PA)
Kentucky,Boston University
Louisville,St. Francis (NY)
Stony Brook,Loyola (MD)
Maryland,Illinois State
Fairfield,Maryland-Eastern Shore
UMass-Lowell,Wheelock
Fort Wayne,Miami (OH)
Duquesne,Milwaukee
Morehead State,Marshall
Murray State,Pepperdine
Nebraska,Arkansas-Pine Bluff
New Mexico State,Robert Morris
UNC,Kansas State
North Carolina State,LSU
Samford,North Texas
Northwestern,Missouri
Louisiana Tech,Ohio State
Oklahoma,Incarnate Word
Valparaiso,Oregon State
Radford,Penn State
Portland,Alcorn State
Quinnipiac,North Carolina Central
Rhode Island,Texas Christian
Sacramento State,UC-Davis
Saint Louis,North Florida
Winthrop,South Carolina Upstate
South Dakota,South Dakota School of Mines
South Florida,Albany (NY)
Southern,Dillard
Southern Illinois,Oakland
Campbell,Southern Illinois-Edwardsville
Cal State Fullerton,Southern Utah
Tennessee,Army
Tennessee State,Reinhardt
Tennessee Tech,Jackson State
UTEP,Florida A&M
Texas-Rio Grande Valley,Southeast Missouri State
Kansas,UCLA
Utah State,Utah Valley
Virginia Military Institute,Presbyterian
Virginia Tech,North Carolina A&T
Vanderbilt,Wake Forest
Washington State,Cal State Los Angeles
Western Carolina,Hiwassee
Western Kentucky,Central Michigan
Wright State,Mt. St. Joseph
Austin Peay,Oakland City
Ball State,Indiana-Kokomo
New Orleans,Bradley
BYU,Mississippi Valley State
Milwaukee,Central Michigan
St. John's (NY),Chaminade
Citadel,Georgia Southern
Colorado,Air Force
Creighton,UMass
Denver,Idaho State
Duke,Yale
Eastern Kentucky,Thomas More
Eastern Michigan,Marygrove
Florida,Vermont
Florida International,LIU-Brooklyn
Georgia,High Point
Harvard,Bryant
Holy Cross,Sacred Heart
Howard,Central Arkansas
Samford,Idaho
UNLV,Indiana
Kansas,Vanderbilt
Louisiana,Loyola (LA)
Loyola (IL),San Diego
Loyola Marymount,Cal State Northridge
Maine,Longwood
Manhattan,George Mason
Navy,UMBC
McNeese State,Dillard
UConn,Michigan
Ole Miss,Georgia State
UMKC,Lincoln
Weber State,Murray State
Nevada,Portland State
New Mexico,Nicholls State
North Dakota State,Montana
Troy,North Texas
Omaha,Northern Colorado
Northern Illinois,Indiana-Northwest
Northern Iowa,Dubuque
Northwestern State,Louisiana College
Oral Roberts,Tabor College
Oregon,Arkansas State
Penn,La Salle
Drake,Pepperdine
Pitt,Cornell
Princeton,Lafayette
Maryland,Rhode Island
Rice,Lamar
Rider,Houston Baptist
Clemson,Rutgers
UCSB,San Francisco
Toledo,San Jose State
Seattle,Great Falls
South Carolina State,Allen
South Dakota State,Cleveland State
Syracuse,Charlotte
UT-Martin,Harris-Stowe
Texas A&M,Texas
Texas-Arlington,Grambling
Texas Christian,Illinois State
Texas Southern,UTSA
Towson,Gallaudet
Wake Forest,UCLA
Virginia,Lehigh
VCU,American
Gonzaga,Washington
Western Illinois,Trinity Christian
Duquesne,Western Kentucky
William & Mary,Hampton
Wisconsin,Prairie View
Wyoming,Cal State Bakersfield
Youngstown State,Thiel
Middle Tennessee,Alaska-Anchorage
Arizona,Santa Clara
Boise State,UC-Irvine
Dayton,Iowa
North Carolina-Asheville,Drexel
Little Rock,East Carolina
Elon,Mount St. Mary's
Texas A&M-Corpus Christi,Furman
Georgia Tech,Arkansas
Texas A&M,Gonzaga
Appalachian State,Liberty
Mercer,Tulane
Michigan,Charlotte
Michigan State,Boston College
Monmouth,Notre Dame
Providence,Evansville
San Diego State,University of California
USC,Wichita State
Stephen F. Austin,Western Michigan
Stetson,Bethune-Cookman
Syracuse,UConn
Texas,Washington
Villanova,Stanford
West Virginia,Richmond
Xavier,Alabama
Akron,Charleston Southern
Illinois,Alabama-Birmingham
Chattanooga,Alabama State
Alaska-Anchorage,Drexel
Albany (NY),NJIT
Providence,Arizona
Army,Arkansas-Pine Bluff
Auburn,Northwestern State
Baylor,Arkansas State
UC-Irvine,Boston College
Richmond,University of California
Washington,Charlotte
Jacksonville State,Chicago State
Citadel,Bob Jones University
College of Charleston,Western Carolina
Colorado State,Portland
Dayton,Monmouth
Texas A&M-Corpus Christi,Elon
Evansville,Santa Clara
Fairfield,Columbia
Florida,Florida Gulf Coast
Abilene Christian,Florida A&M
Fresno State,Delaware State
Gardner-Webb,Southeastern Louisiana
Georgia State,IUPUI
Gonzaga,UConn
North Florida,Hartford
Illinois State,Quincy
Iowa State,Virginia Tech
Jackson State,Savannah State
Fort Wayne,Jacksonville
Western Michigan,Liberty
Louisiana Tech,North Carolina Central
Toledo,Loyola (IL)
James Madison,Marshall
Maryland-Eastern Shore,Saint Francis (PA)
Mercer,Appalachian State
Northeastern,Miami (FL)
Michigan State,Boise State
Minnesota,Omaha
Missouri State,William Woods
Furman,Mount St. Mary's
Cincinnati,Nebraska
Middle Tennessee,North Carolina-Asheville
Navy,North Carolina-Greensboro
North Carolina State,Winthrop
Notre Dame,Iowa
Oakland,Alcorn State
Memphis,Ohio State
Oklahoma State,Long Beach State
Rice,UC-Riverside
Sam Houston State,Bethune-Cookman
San Jose State,San Diego
West Virginia,San Diego State
South Carolina,Lipscomb
Georgia Southern,South Carolina Upstate
Kentucky,South Florida
UTEP,Southern Illinois
Stanford,Arkansas
East Carolina,Stetson
George Washington,Tennessee
Tennessee Tech,Robert Morris
Michigan,Texas
Syracuse,Texas A&M
Tulane,Stephen F. Austin
Utah,Idaho State
Villanova,Georgia Tech
Alabama,Wichita State
Xavier,USC
Oakland,Abilene Christian
Air Force,New Mexico State
Virginia Tech,Alabama-Birmingham
San Jose State,Alaska-Anchorage
Arkansas-Pine Bluff,Southeastern Louisiana
Army,Gardner-Webb
Austin Peay,Samford
Ball State,Valparaiso
Boston University,Binghamton
Ole Miss,Bradley
BYU,Belmont
Buffalo,Canisius
Butler,Southern Illinois-Edwardsville
Cal Poly,Antelope Valley
Cal State Fullerton,Nevada
Campbell,Coastal Carolina
Chattanooga,Jacksonville State
Alabama State,Chicago State
Cincinnati,George Washington
Longwood,Columbia
Towson,Coppin State
Creighton,Western Illinois
Davidson,Denison
Denver,South Alabama
Drake,UIC
San Diego,Drexel
North Carolina-Wilmington,ETSU
Green Bay,Eastern Illinois
Eastern Kentucky,Southern Utah
Eastern Michigan,Madonna
Eastern Washington,Pacific
Fairleigh Dickinson,St. Peter's
Florida A&M,Alcorn State
Fordham,Manhattan
George Mason,Wright State
Georgetown,Bryant
High Point,Morgan State
Houston,Louisiana-Monroe
Howard,William & Mary
Northern Illinois,Idaho
Iowa State,Illinois
Navy,Jacksonville
Tennessee State,Kennesaw State
Louisville,Saint Louis
Maryland,Cleveland State
Colgate,UMBC
Texas State,McNeese State
Miami (OH),UCF
Middle Tennessee,Toledo
Mississippi State,UT-Martin
Robert Morris,Mississippi Valley State
UMKC,South Dakota State
Morehead State,Southern Miss
Murray State,Alabama A&M
UNLV,Prairie View
American,New Hampshire
Youngstown State,Niagara
North Carolina-Asheville,Loyola (IL)
Fort Wayne,North Carolina-Greensboro
Northern Iowa,North Dakota
North Dakota State,North Carolina A&T
Northwestern,New Orleans
Oral Roberts,Detroit
Penn State,Bucknell
Pitt,Kent State
Southern Illinois,Portland
Portland State,Multnomah
Wofford,Presbyterian
Purdue,Lehigh
La Salle,Rowan
South Dakota,Sacramento State
Seton Hall,Georgia
Siena,Loyola (MD)
Citadel,South Carolina Upstate
Loyola Marymount,Southeast Missouri State
Hofstra,St. Bonaventure
North Florida,St. Francis (NY)
Stony Brook,Farmingdale State
