Winner,Loser
Toledo,Northern Arizona
UCLA,Coastal Carolina
Vanderbilt,Trevecca Nazarene
Virginia,Norfolk State
West Virginia,Lafayette
Western Michigan,Aquinas
Wisconsin,Chattanooga
Wyoming,Northern Colorado
Youngstown State,Oberlin
Alabama,Western Carolina
Alabama-Birmingham,Young Harris
American,Saint Francis (PA)
Arizona State,Bethune-Cookman
Arkansas-Pine Bluff,Cal State Bakersfield
UT-Martin,Arkansas State
Ball State,Indiana-Kokomo
Northwestern,Brown
Sacramento State,UC-Riverside
Charleston Southern,Erskine
Winthrop,Clemson
Cleveland State,Tiffin
Gardner-Webb,College of Charleston
Delaware State,Baptist Bible (PA)
St. Joseph's,Drexel
Eastern Illinois,Eureka
Eastern Michigan,Oakland
Eastern Washington,Utah Valley
Fairleigh Dickinson,Fairleigh Dickinson-Florham
Miami (FL),Florida
Florida Atlantic,Warner Southern
Florida Gulf Coast,UCSB
Fresno State,Bristol University
Gonzaga,SMU
Grand Canyon,Montana State
Houston Baptist,Hillsdale
Idaho,South Dakota State
UIC,Western Illinois
Indiana,Texas Southern
Iowa,North Dakota State
Iowa State,Georgia State
James Madison,Radford
Kansas State,UMKC
Liberty,Delaware
Belmont,Lipscomb
Louisiana-Monroe,Champion Baptist
Louisville,Jacksonville State
Loyola (IL),McKendree
Maryland,Central Connecticut
Michigan,Bucknell
Milwaukee,Minnesota-Crookston
Mississippi State,Mississippi Valley State
Morehead State,Cincinnati Christian
Towson,Morgan State
Nevada,Adams State
NJIT,Maine
South Carolina Upstate,North Carolina A&T
North Carolina State,Hofstra
North Florida,Webber
North Texas,Nicholls State
Northwestern State,Lyon
Oregon,Detroit
Pepperdine,Cal Lutheran
Providence,Binghamton
Vermont,Siena
Southern,Louisiana State-Alexandria
USC,Tennessee Tech
Fort Wayne,Southern Illinois-Edwardsville
Southern Miss,South Alabama
St. John's (NY),Franklin Pierce
Temple,Louisiana Tech
Texas Christian,Washington State
Texas-Rio Grande Valley,UTSA
Ole Miss,Troy
Wake Forest,Tulane
Tulsa,Louisiana
Villanova,Maryland-Eastern Shore
Weber State,Presentation College
Yale,Newbury
Boise State,Montana
BYU,Little Rock
Butler,Chattanooga
Cal Poly,San Francisco State
Central Michigan,Youngstown State
Chicago State,Indiana-Northwest
Coastal Carolina,Columbia International
Colorado,Auburn
Columbia,Wagner
Cornell,Colgate
Davidson,Campbell
DePaul,Drake
Duke,Michigan State
ETSU,Virginia Wise
Eastern Kentucky,Kentucky Christian
Northeastern,Florida State
Georgetown,Texas A&M-Corpus Christi
Georgia,Stony Brook
Georgia Southern,Trinity (CT)
Georgia Tech,Alabama A&M
Grambling,Lyon
High Point,Hawaii
Incarnate Word,Huston-Tillotson
Saint Louis,Indiana State
Jackson State,Jacksonville
Kentucky,Kansas
Kent State,Malone
Canisius,Lehigh
LSU,Texas Tech
Marshall,West Virginia Tech
UMass,Manhattan
McNeese State,Louisiana College
Wichita State,Memphis
Murray State,Middle Tennessee
Minnesota,Western Kentucky
Nebraska,Central Arkansas
New Hampshire,Thomas (ME)
New Orleans,Cairn
North Carolina Central,College of Faith
North Carolina-Wilmington,North Carolina-Greensboro
North Dakota,Mayville State
Ohio State,Marquette
Oklahoma State,Northwest Oklahoma State
Old Dominion,Richmond
Oregon State,Corban
Rider,Penn
Portland State,Willamette
Presbyterian,Piedmont
La Salle,Quinnipiac
Saint Mary's (CA),New Mexico State
San Diego State,Utah
Baylor,South Carolina
Southeast Missouri State,Hannibal-LaGrange
Northern Iowa,Stephen F. Austin
Florida International,Stetson
Southern Illinois,Tennessee State
Buffalo,Texas-Arlington
Virginia,South Carolina State
VCU,Toledo
Virginia Military Institute,Johnson University
William & Mary,Howard
Wofford,Iona
Wyoming,Western State
Xavier,Long Beach State
Air Force,Colorado Christian
Albany (NY),NJIT
Arizona,UC-Irvine
Arkansas,Wake Forest
Belmont,Trevecca Nazarene
Binghamton,Hartwick
Bowling Green State,Wright State
Robert Morris,Bradley
BYU,Southern Virginia
Cal State Northridge,Montana State
Cincinnati,Morehead State
Citadel,Toccoa Falls
Cleveland State,Jacksonville State
Creighton,Oklahoma
Eastern Washington,Walla Walla
Florida Gulf Coast,Ohio
Furman,Appalachian State
Gonzaga,St. Joseph's
Hartford,Dartmouth
Hawaii,Hawaii-Hilo
Holy Cross,Brown
James Madison,Longwood
Lafayette,Princeton
Loyola (MD),UMBC
Mercer,Kennesaw State
Evansville,Miami (OH)
IUPUI,Milwaukee
Missouri,Oral Roberts
UMKC,Missouri S&T
Missouri State,Avila
Maryland-Eastern Shore,Mount St. Mary's
New Mexico State,Northern Colorado
Boston University,Norfolk State
North Carolina-Asheville,Johnson & Wales (NC)
North Texas,Delaware State
Northern Kentucky,North Carolina A&T
Notre Dame,Coppin State
Western Michigan,Oakland
Rice,Prairie View
Rutgers,Fairleigh Dickinson
Sacramento State,Simpson
Samford,Austin Peay
San Diego,Florida A&M
San Francisco,Notre Dame de Namur
Pepperdine,San Jose State
Seattle,Omaha
Siena,St. Bonaventure
Army,St. Francis (NY)
St. John's (NY),LIU-Brooklyn
Texas State,Lamar
Tulsa,Abilene Christian
Utah State,Santa Clara
Valparaiso,Indiana-South Bend
Vermont,Southern Vermont
Virginia Tech,Liberty
Wisconsin,Green Bay
Akron,USC
Alabama,Southern Miss
South Florida,Alabama-Birmingham
Arizona State,Loyola Marymount
Boston College,New Mexico
Bryant,New Hampshire
University of California,Syracuse
UCF,Eckerd
Charlotte,Penn State
UConn,College of Charleston
South Carolina,Cornell
Dayton,Texas A&M
Miami (FL),Drexel
East Carolina,Virginia-Lynchburg
UC-Davis,Eastern Illinois
West Virginia,George Mason
Texas-Arlington,Grand Canyon
Harvard,Florida Atlantic
Indiana,SMU
Texas,Iowa
Northwestern State,Louisiana State-Alexandria
Maryland,Fordham
Michigan,Detroit
Minnesota,Franklin Pierce
Ole Miss,Southern
Murray State,Brescia
North Carolina State,Jacksonville
Northern Arizona,Fresno State
Northern Illinois,Idaho
Northern Iowa,Morgan State
Northwestern,North Florida
Pacific,Pacific Union
Providence,Navy
Purdue,Grambling
Radford,Howard
UMass-Lowell,Sacred Heart
Saint Francis (PA),Keystone
Saint Mary's (CA),Denver
Niagara,St. Peter's
San Diego State,Cal State Bakersfield
Savannah State,Winthrop
South Carolina Upstate,Bob Jones University
Stetson,Palm Beach Atlantic
Tennessee,Texas Southern
UT-Martin,Champion Baptist
Tennessee State,Fisk
Texas Christian,New Orleans
Tulane,Mississippi Valley State
UCLA,Nicholls State
Vanderbilt,Lipscomb
Villanova,Bucknell
VCU,Maryland-Eastern Shore
Wagner,NYIT
William & Mary,Bluefield (WV)
Miami (FL),Akron
Hampton,Alcorn State
American,Presbyterian
Arkansas,Delaware State
Valparaiso,Arkansas-Pine Bluff
Auburn,Louisiana
Baylor,Prairie View
West Virginia,Boston College
Cal Poly,Delaware
Texas,University of California
Towson,Central Connecticut
Central Michigan,Maine
Charlotte,South Carolina
Gardner-Webb,Clemson
Texas A&M,College of Charleston
Colorado State,Georgia State
UConn,Dayton
Penn State,Cornell
USC,Drexel
Duke,Temple
Eastern Michigan,Youngstown State
Wofford,Fairfield
Florida,Louisiana-Monroe
Florida International,Florida Memorial
New Mexico,George Mason
Georgia,Troy
Georgia Tech,Fort Wayne
Grand Canyon,Florida A&M
Hawaii,Pitt
Hofstra,Stony Brook
Illinois,Austin Peay
Yale,UIC
Illinois State,Weber State
Syracuse,Iowa
Kent State,Southern Illinois
Kentucky,Boston University
Long Beach State,Kansas State
Longwood,North Carolina-Greensboro
Old Dominion,LSU
Louisiana Tech,Morehead State
Louisville,Marshall
McNeese State,Jarvis Christian
Michigan State,Loyola (IL)
Monmouth,Bethune-Cookman
Seton Hall,Nevada
Stanford,UNLV
North Dakota State,Kennesaw State
Oklahoma State,Milwaukee
Oregon,Toledo
Oregon State,Oral Roberts
Rider,Lehigh
Sam Houston State,South Dakota
Washington,Seattle
South Dakota State,North Dakota
Utah,UC-Riverside
Virginia,George Washington
Iona,Wake Forest
Washington State,Idaho State
Western Carolina,Hiwassee
Xavier,Stephen F. Austin
Duquesne,Abilene Christian
Air Force,Western State
Alabama A&M,Oakwood
Quinnipiac,Albany (NY)
Kennesaw State,Alcorn State
Little Rock,UMKC
Towson,Bethune-Cookman
Manhattan,Binghamton
Mount St. Mary's,Bucknell
Butler,Loyola (MD)
Cal State Fullerton,San Jose State
Cal State Northridge,Samford
UCSB,Master's
Colgate,Campbell
Southeast Missouri State,Central Arkansas
Wright State,Charleston Southern
Chicago State,Trinity Christian
Citadel,Bob Jones University
Clemson,Nevada
Coastal Carolina,Piedmont
UNC,Davidson
Detroit,South Alabama
Duke,Stanford
ETSU,North Carolina-Asheville
Eastern Kentucky,Cincinnati-Clermont
Eastern Michigan,North Carolina-Greensboro
Sam Houston State,Fairfield
Providence,Florida State
UC-Davis,Furman
Georgetown,Robert Morris
Georgia Southern,Florida Christian
Gonzaga,St. Thomas Aquinas
Houston,Morgan State
Kent State,UIC
Indiana,Lamar
Indiana State,Brown
IUPUI,Ball State
Jacksonville State,Miles
La Salle,St. Peter's
Lipscomb,Transylvania
Youngstown State,Longwood
LSU,Weber State
Louisiana Tech,American
Army,Marist
Omaha,Marquette
Notre Dame,UMass
Miami (OH),Liberty
Middle Tennessee,Southern
Minnesota,UMBC
Mississippi State,Utah State
Monmouth,Central Connecticut
Morehead State,Presbyterian
Northeastern,Navy
UNLV,Temple
Hartford,Niagara
UMass-Lowell,NJIT
Norfolk State,Texas Southern
North Dakota State,Hampton
Northern Iowa,North Florida
Northern Kentucky,Ohio Mid-Western
Northwestern,Elon
Lafayette,Penn
Portland,Southern Illinois-Edwardsville
Incarnate Word,Princeton
Rhode Island,Nebraska
William & Mary,Rice
Richmond,High Point
Saint Francis (PA),Maryland-Eastern Shore
St. Joseph's,Vermont
Savannah State,Cleveland State
Wofford,South Dakota
Yale,Southern Illinois
SMU,Eastern Washington
Utah Valley,Southern Utah
St. Bonaventure,Canisius
Tennessee Tech,Chattanooga
Texas-Arlington,Houston Baptist
UTEP,New Mexico State
Texas-Rio Grande Valley,Texas A&M-Kingsville
UTSA,Texas State
Texas Tech,Missouri State
Tulane,Southern-New Orleans
North Carolina-Wilmington,Virginia Military Institute
Appalachian State,Virginia Tech
Western Illinois,Southeastern Louisiana
Belmont,Western Kentucky
Western Michigan,Drake
Wisconsin,Boise State
Wyoming,Colorado
Akron,South Carolina
Alabama-Birmingham,Jackson State
American,Morehead State
Little Rock,Cal State Northridge
Bethune-Cookman,Central Connecticut
Navy,Binghamton
Dayton,Boston College
Bradley,North Carolina A&T
Cal State Bakersfield,Delaware
UC-Riverside,St. Katherine
UCF,South Carolina Upstate
Central Michigan,Arkansas-Pine Bluff
Miami (FL),Charlotte
Cincinnati,Eastern Illinois
College of Charleston,George Mason
Colorado State,Mercer
West Virginia,UConn
Drexel,Cornell
Creighton,North Carolina Central
Denver,Coppin State
Eastern Michigan,Longwood
Fairfield,South Dakota
UMass,Florida State
UMass-Lowell,Fordham
Seton Hall,Gardner-Webb
Georgia,Florida Atlantic
Hofstra,Wagner
Holy Cross,Nichols
Howard,Hood
Southern Illinois,UIC
Illinois State,Old Dominion
Yale,Kent State
Kentucky,Montana State
Columbia,Lehigh
Louisiana Tech,Presbyterian
Loyola Marymount,San Diego Christian
Valparaiso,Maine
Northeastern,Manhattan
Ole Miss,Northern Arizona
Samford,UMKC
Towson,Monmouth
Texas A&M,New Mexico
Youngstown State,North Carolina-Greensboro
North Carolina State,South Florida
Iona,North Texas
Providence,Notre Dame
Ohio State,Sacred Heart
Oklahoma,Northwestern State
Washington,Pacific
Penn State,USC
Radford,Catawba
Rutgers,St. Francis (NY)
Texas A&M-Corpus Christi,Saint Louis
Saint Mary's (CA),UC-Irvine
Wofford,Sam Houston State
Montana,Seattle
Stony Brook,Merchant Marine
UCLA,Long Beach State
Vanderbilt,Tennessee State
Wichita State,Newman
Iowa State,Alabama
Alcorn State,Dillard
Appalachian State,Hampton
Arizona,Missouri
Maryland,Arizona State
Tulsa,Auburn
Ball State,Grambling
Baylor,Stephen F. Austin
Belmont,Lipscomb
San Diego State,BYU
Pitt,Chaminade
Georgia State,Chicago State
Clemson,LSU
Detroit,Maryland-Eastern Shore
Green Bay,East Carolina
Evansville,Fresno State
Florida Gulf Coast,Marist
Old Dominion,Gardner-Webb
Georgia Southern,Florida International
San Francisco,Hawaii
Illinois,Brown
Seton Hall,Illinois State
Incarnate Word,Texas A&M-International
Eastern Washington,Indiana
Indiana State,Austin Peay
Iowa,Pepperdine
Fort Wayne,Jacksonville
James Madison,Colgate
Kansas,Rider
Kansas State,Purdue
Milwaukee,Louisiana
Louisville,Savannah State
Marquette,NJIT
Memphis,Prairie View
Michigan,Oregon
Michigan State,Santa Clara
Mississippi State,Clayton State
Weber State,Nevada
New Mexico State,Stetson
Northern Colorado,Colorado Christian
Western Carolina,Oakland
Oklahoma State,Oregon State
Portland State,Southern Illinois-Edwardsville
San Diego,Western Michigan
South Dakota State,Chadron State
Tennessee Tech,Southeastern Louisiana
Texas Christian,Mississippi Valley State
Toledo,Bucknell
Villanova,VCU
Wake Forest,Nicholls State
ETSU,Winthrop
Wyoming,Florida A&M
Xavier,Murray State
Abilene Christian,Jarvis Christian
Alabama,Arizona State
Jacksonville State,Alabama A&M
Arizona,Kansas State
Lamar,Arkansas State
Army,Binghamton
UT-Martin,Bethune-Cookman
Boise State,Idaho
Bowling Green State,Southeast Missouri State
Bradley,Texas A&M-Corpus Christi
BYU,Chaminade
Bucknell,Maryland-Eastern Shore
Charleston Southern,Central Arkansas
Miami (FL),Charlotte
Cincinnati,North Carolina Central
Colorado,Air Force
Columbia,Fairleigh Dickinson
Creighton,Eastern Illinois
Detroit,Toledo
Drake,IUPUI
East Carolina,Fresno State
Elon,Morgan State
Green Bay,Evansville
Florida Gulf Coast,San Francisco
Florida State,Citadel
Georgia State,Western Carolina
Buffalo,Grand Canyon
Harvard,Houston
Hawaii,Marist
High Point,Peace
UIC,Saint Xavier (IL)
Maryland,Iowa State
Kentucky,Texas-Arlington
La Salle,St. Francis (NY)
North Florida,Liberty
Louisiana,Oral Roberts
Howard,UMBC
UMass-Lowell,Mount Ida
Northwestern,Miami (OH)
Villanova,Michigan
Middle Tennessee,Northern Arizona
Purdue,Missouri
Nebraska,Omaha
New Hampshire,Boston University
North Dakota State,Minnesota-Crookston
Northern Iowa,Virginia Tech
Oakland,Chicago State
Ohio,Arkansas-Pine Bluff
VCU,Oregon
Penn State,Akron
San Diego State,Pitt
Presbyterian,Toccoa Falls
Hartford,Quinnipiac
St. Peter's,Rutgers
Sacramento State,Bristol University
St. Joseph's,LIU-Brooklyn
Saint Louis,North Carolina A&T
South Carolina State,Columbia International
South Florida,Hofstra
USC,Cal State Fullerton
Arkansas,SMU
Southern Miss,Troy
St. Bonaventure,Jackson State
Stanford,Delaware
Stony Brook,Western Kentucky
Syracuse,Loyola (MD)
Temple,Penn
Texas,Saint Francis (PA)
Loyola (IL),UTSA
Texas Tech,Northwestern State
Tulane,Southern
Vanderbilt,Norfolk State
Virginia,Tennessee State
William & Mary,Western Illinois
Wofford,Ohio Valley
Wisconsin,Alabama-Birmingham
North Dakota,Alabama State
Pacific,Alaska-Anchorage
Arizona,San Diego State
Auburn,Oregon State
Belmont,Denver
Purdue,BYU
Butler,UNC
Portland State,Cal State Northridge
University of California,Cal Poly
UC-Davis,Utah State
Davidson,UCF
Missouri,Chaminade
Chattanooga,Robert Morris
Western Carolina,Chicago State
Coastal Carolina,Louisiana-Monroe
Albany (NY),Colgate
Cornell,Canisius
Lehigh,DePaul
Duke,Furman
Hawaii,East Carolina
Eastern Michigan,Rochester (MI)
Eastern Washington,Northern Kentucky
North Florida,Elon
Evansville,San Francisco
Georgetown,Florida
Green Bay,Florida Gulf Coast
Marist,Fresno State
George Washington,Longwood
Gonzaga,Georgia
American,Hampton
Utah Valley,Idaho State
Iona,Delaware State
Iowa,Northern Illinois
Jacksonville,Trinity Baptist
James Madison,Sacred Heart
Pitt,Kansas State
Kennesaw State,Samford
Morgan State,Liberty
Louisville,Cleveland State
Loyola Marymount,UC-Riverside
Morehead State,Marshall
UMass,Northeastern
Virginia Tech,Miami (OH)
Oral Roberts,Milwaukee
St. John's (NY),Minnesota
Montana,Carroll (MT)
Navy,Penn State-Harrisburg
New Mexico State,Florida A&M
North Carolina State,Richmond
North Texas,Mississippi Valley State
Northern Iowa,Northwestern
Notre Dame,Grambling
Georgia State,Oakland
Ohio State,Campbell
Oklahoma,UCLA
Oklahoma State,Tulsa
South Carolina,North Carolina-Asheville
South Dakota,Wayne State (NE)
Southeastern Louisiana,Tennessee Tech
SMU,Texas Southern
Eastern Kentucky,Southern Utah
Texas Christian,Radford
Towson,Goucher
Utah,Texas-Rio Grande Valley
Vermont,Bryant
West Virginia,Virginia Military Institute
Wake Forest,Mount St. Mary's
Wyoming,Stetson
Yale,Lafayette
Youngstown State,UMKC
Florida,Alabama-Birmingham
Austin Peay,Brown
Baylor,Memphis
Oklahoma,Butler
Cal State Fullerton,Wright State
UCSB,Washington State
Chattanooga,Coastal Carolina
Colorado State,Missouri State
Wisconsin,Georgetown
Marquette,Georgia Tech
Illinois,Indiana State
Kansas,Rhode Island
Long Beach State,Western Michigan
Stony Brook,LIU-Brooklyn
Robert Morris,Louisiana-Monroe
Mercer,Rice
Michigan State,Rider
UNC,UCLA
Stephen F. Austin,Prairie View
UTEP,Princeton
Western Kentucky,St. Joseph's
Xavier,San Diego
Washington,San Jose State
Tennessee,Santa Clara
South Carolina Upstate,Florida International
UCLA,Alabama-Birmingham
Alabama State,Texas-Rio Grande Valley
Missouri State,Alaska-Anchorage
Arkansas,North Texas
Stephen F. Austin,Austin Peay
Illinois,Baylor
Texas Christian,Bradley
Brown,Prairie View
Penn State,Bucknell
Butler,Georgetown
South Carolina Upstate,Cal State Fullerton
UCSB,Mercer
Cincinnati,Middle Tennessee
Clemson,High Point
Colorado State,Pacific
Ole Miss,Creighton
Dartmouth,Fort Wayne
Valparaiso,Drake
North Carolina Central,Eastern Illinois
UNC,Florida
Florida International,Wright State
Florida State,Charleston Southern
Minnesota,Georgia
Georgia Tech,Rider
Gonzaga,St. John's (NY)
Hartford,Emerson
Indiana,North Carolina-Greensboro
Memphis,Indiana State
Hofstra,Jackson State
Jacksonville State,Savannah State
Kansas,Tennessee
Virginia,La Salle
Washington,Long Beach State
Louisiana Tech,Samford
Michigan State,Marquette
Cleveland State,Marshall
Maryland,Monmouth
Miami (FL),South Alabama
Mississippi State,Saint Louis
Texas A&M-Corpus Christi,Mississippi Valley State
Montana State,Texas-Arlington
Portland,Murray State
Nebraska,UT-Martin
Norfolk State,St. Francis (NY)
Radford,North Carolina A&T
North Carolina State,Boise State
Northern Arizona,Southern
Northern Colorado,Stetson
Ohio State,James Madison
Wisconsin,Oklahoma
San Diego,Princeton
Providence,Yale
Rhode Island,Santa Clara
Washington State,Rice
Rutgers,Vanderbilt
St. Peter's,Tennessee State
Western Michigan,San Jose State
Syracuse,Holy Cross
Texas A&M,New Orleans
UTEP,Xavier
Texas Southern,Lamar
Tulane,Southeastern Louisiana
Utah,North Dakota
Delaware State,Wake Forest
Alaska-Anchorage,Rice
Arizona State,Colgate
Little Rock,Central Arkansas
Cornell,Binghamton
Saint Louis,Bradley
BYU,Eastern Kentucky
Buffalo,Canisius
Cal State Fullerton,Florida International
UC-Davis,Utah Valley
UC-Riverside,Abilene Christian
Colorado State,UCSB
Central Michigan,Grand Canyon
Ole Miss,Cincinnati
Citadel,Warren Wilson
Columbia,American
Creighton,Middle Tennessee
Davidson,North Carolina-Wilmington
Dayton,UIC
Portland,Drake
NJIT,Duquesne
Eastern Illinois,Southern
Stetson,Florida A&M
Maryland-Eastern Shore,Fordham
Gardner-Webb,Brevard
George Mason,Manhattan
Georgia Southern,South Carolina State
Harvard,UMass
Houston Baptist,Dallas Christian
Howard,Gwynedd-Mercy
Northern Kentucky,Idaho
Illinois State,Youngstown State
Iowa,Longwood
Georgia State,IUPUI
Kennesaw State,Chattanooga
Loyola (IL),Kent State
Vanderbilt,La Salle
LSU,McNeese State
UC-Irvine,Loyola Marymount
Siena,Loyola (MD)
Towson,UMBC
Pacific,Mercer
Michigan,Nicholls State
Milwaukee,Concordia-St. Paul
Texas Christian,Mississippi State
Mississippi Valley State,North Carolina A&T
UMKC,William Jewell
Washington State,Missouri State
Morehead State,Kentucky Christian
Valparaiso,Murray State
Saint Francis (PA),Navy
Omaha,Nevada
UNLV,Albany (NY)
St. Bonaventure,Niagara
Norfolk State,St. Peter's
North Carolina Central,Northern Arizona
Texas-Rio Grande Valley,North Dakota
Northeastern,Fairfield
Northwestern State,Missouri Valley
Notre Dame,Chicago State
Oakland,Toledo
Belmont,Ohio
Old Dominion,VCU
Presbyterian,Bob Jones University
Radford,Texas A&M-Corpus Christi
Virginia,Rutgers
Saint Mary's (CA),Cal Poly
Sam Houston State,University of the Southwest
Seattle,Cal State Northridge
Seton Hall,George Washington
Wright State,South Carolina Upstate
South Florida,Jacksonville
Southeast Missouri State,Alabama A&M
Southern Illinois,Olivet Nazarene
St. Francis (NY),Tennessee State
Stony Brook,St. Thomas Aquinas
Utah,Alabama State
Wagner,Penn
West Virginia,College of Charleston
Western Illinois,Greenville
Wichita State,Tulsa
William & Mary,Wofford
Wyoming,New Mexico State
