Winner,Loser
Ark.-Pine Bluff,Blue Mountain
Vanderbilt,Bucknell
San Diego St.,California
Campbell,Samford
Ball St.,Coppin St.
Eastern Wash.,Bryant
Belmont,Florida
Savannah St.,Fort Valley St.
Georgia,George Washington
Bradley,Hofstra
George Mason,Houston
Marshall,Jackson St.
South Dakota,Kent St.
Liberty,UMass Lowell
St. Bonaventure,Little Rock
Louisiana,Delaware St.
LIU Brooklyn,Maine
Rice,Montana St.
Southern Ill.,Mt. St. Mary's
Bowling Green,Murray St.
Saint Joseph's,NC State
Butler,Norfolk St.
Chaminade,North Carolina
Texas,Northwestern
Colorado,Notre Dame
Ohio St.,Western Caro.
UConn,Oklahoma St.
Creighton,Ole Miss
Montana,Oral Roberts
Georgetown,Oregon
Central Mich.,Pepperdine
Quinnipiac,Columbia
BYU,Saint Louis
Santa Clara,Sacred Heart
La.-Monroe,Seattle U
Idaho,South Dakota St.
Southeastern La.,Xavier (LA)
Coastal Caro.,Southern Utah
Providence,St. Francis Brooklyn
TCU,Illinois St.
James Madison,Texas Southern
Texas St.,A&M-Corpus Chris
Eastern Ill.,Troy
Kansas,UAB
Sacramento St.,UC Davis
Green Bay,UMKC
UT Arlington,St. Francis (IL)
Canisius,UT Martin
Loyola Chicago,Washington St.
Illinois,Winthrop
Tennessee,Wisconsin
Vermont,Wofford
Kennesaw St.,Alabama St.
Alcorn,Blue Mountain
American,Wagner
Minnesota,Arkansas
Texas Tech,Auburn
San Diego,Bethune-Cookman
Ave Maria,Binghamton
Boston U.,Western New Eng.
Central Conn. St.,Penn
Abilene Christian,Charleston So.
Charlotte,USC Upstate
Chicago St.,East-West U.
Monmouth,Cornell
Fla. Atlantic,South Fla.
East Carolina,Florida A&M
CSU Bakersfield,Fresno St.
Akron,Ga. Southern
Gardner-Webb,Toccoa Falls
Virginia,Grambling
Richmond,Hampton
Harvard,Holy Cross
Hawaii,Hawaii Hilo
Vermont,Hofstra
South Dakota,Houston
Houston Baptist,Ecclesia
Eastern Ky.,Idaho St.
Fort Wayne,Indiana
Jacksonville St.,Dalton St.
Georgia,Kansas
George Mason,Kent St.
Bryant,La.-Monroe
Pepperdine,Little Rock
Washington,Long Beach St.
Marquette,IUPUI
Memphis,McNeese
UMass Lowell,Mississippi Val.
Western Ky.,N.C. A&T
Georgia St.,NJIT
Southern California,New Orleans
New Mexico St.,Nicholls St.
Oklahoma St.,North Carolina
North Dakota St.,Waldorf
North Florida,Fla. National
UNLV,Northern Ariz.
Notre Dame,Northwestern
Northwestern St.,LSU-Alexandria
Tennessee,Oregon
Prairie View,Jarvis Christian
Presbyterian,VMI
Utah St.,Purdue
Mercer,Radford
Kansas St.,Robert Morris
Arkansas St.,SIUE
Saint Mary's (CA),San Jose St.
Georgia Tech,Sam Houston St.
Eastern Wash.,Seattle U
Syracuse,South Carolina St.
Southeast Mo. St.,UTRGV
Southern U.,Tennessee Tech
Central Mich.,St. Bonaventure
Air Force,Stetson
Maryland,Stony Brook
Colorado,Texas
Middle Tenn.,Toledo
Boston College,Towson
Tulsa,Oregon St.
George Washington,UAB
SMU,UC Santa Barbara
Chaminade,UConn
Furman,UNC Asheville
Lamar University,UTSA
Georgetown,Wisconsin
Bradley,Wofford
Pacific,Wyoming
Pittsburgh,Yale
Youngstown St.,Westminster (PA)
A&M-Corpus Chris,Jarvis Christian
Saint Louis,Alabama
Arizona St.,The Citadel
Siena,Ark.-Pine Bluff
Purdue,Auburn
Valparaiso,BYU
FGCU,Binghamton
Alas. Anchorage,Buffalo
Northern Ill.,Cal Poly
Kentucky,Cleveland St.
Wake Forest,Coastal Caro.
Columbia,Army West Point
Rice,Delaware St.
Denver,Utah Valley
Duquesne,UT Martin
Eastern Mich.,Madonna
FIU,Ave Maria
Loyola Maryland,Fairfield
Fordham,Rider
Bradley,George Mason
Eastern Ky.,Georgia St.
Hartford,Appalachian St.
South Dakota,Hofstra
Vermont,Houston
Elon,Ill.-Chicago
Ohio St.,Jackson St.
Jacksonville,Trinity Baptist
Wofford,Kent St.
Wichita St.,LSU
Lafayette,Princeton
Central Mich.,Little Rock
James Madison,Louisiana
Old Dominion,Louisville
St. John's (NY),Michigan St.
Liberty,Mississippi Val.
DePaul,Missouri St.
Brown,Morgan St.
UT Arlington,Mt. St. Mary's
Idaho St.,NJIT
Oakland,Nevada
New Hampshire,Detroit Mercy
Niagara,Drexel
Louisiana Tech,Okla. Baptist
Georgetown,Oklahoma St.
UConn,Oregon
Penn St.,Colgate
Rutgers,North Texas
Saint Francis (PA),Longwood
Cincinnati,Samford
South Carolina,Michigan
Ball St.,Southern Utah
Pepperdine,St. Bonaventure
Chaminade,Tennessee
Canisius,Tennessee St.
Utah St.,Texas Tech
San Francisco,Troy
Navy,UMBC
Colorado St.,UMES
UTEP,Southeastern La.
Baylor,VCU
Villanova,Col. of Charleston
Duke,William & Mary
North Carolina,Wisconsin
Michigan St.,Baylor
Seton Hall,Florida
Iowa St.,Indiana St.
Drake,Iona
Old Dominion,LSU
Binghamton,Long Beach St.
Stanford,Miami (FL)
Dayton,Nebraska
Bucknell,Norfolk St.
Ole Miss,Montana
Gonzaga,Quinnipiac
Northern Colo.,Sacred Heart
Arizona,Santa Clara
Florida St.,Temple
CSUN,Texas A&M
Weber St.,UC Davis
Portland,UCLA
St. John's (NY),VCU
Butler,Vanderbilt
New Mexico,Virginia Tech
Illinois,West Virginia
Louisville,Wichita St.
Akron,Air Force
Louisville,Baylor
Rhode Island,Belmont
Nicholls St.,Bethune-Cookman
Boise St.,Presbyterian
Kansas St.,Boston College
Northern Colo.,Bucknell
Arizona,Butler
Wright St.,CSU Bakersfield
Jacksonville St.,Cal St. Fullerton
Clemson,High Point
Colorado St.,Southeastern La.
Grand Canyon,Coppin St.
Portland,Dayton
Mercer,East Carolina
Northern Ill.,Elon
Gonzaga,Florida
Ga. Southern,Florida A&M
Oregon St.,Fresno St.
Furman,Hiwassee
Georgia,Gardner-Webb
UTRGV,Grambling
Cal Poly,Ill.-Chicago
Florida St.,Illinois
Stanford,Indiana St.
Weber St.,Iona
Kentucky,UT Martin
VCU,LSU
Prairie View,Lamar University
FGCU,Long Beach St.
Hofstra,Medaille
Iowa St.,Miami (FL)
ETSU,Milwaukee
Minnesota,Southern Ill.
Mississippi St.,Lehigh
UCLA,Nebraska
Buffalo,Nevada
CSUN,New Mexico
New Orleans,Florida Col.
North Texas,Niagara
Sacred Heart,Norfolk St.
North Florida,North Dakota
Alabama St.,Northern Ariz.
Northwestern,Bryant
Alas. Anchorage,Oakland
Ohio,Tennessee Tech
Ohio St.,Marshall
Oklahoma,Abilene Christian
St. John's (NY),Old Dominion
Pittsburgh,Morehead St.
Loyola Marymount,Portland St.
Princeton,Rowan
Memphis,Providence
Seton Hall,Quinnipiac
Maryland,Richmond
Hampton,Robert Morris
Rutgers,Hartford
Southern California,SMU
Sam Houston St.,Idaho
Holy Cross,South Carolina St.
UC Irvine,South Dakota St.
Savannah St.,St. Francis Brooklyn
Radford,Stetson
UNLV,TCU
West Virginia,Temple
UTSA,Texas St.
Texas Tech,Idaho St.
Evansville,Toledo
Towson,Stony Brook
Hawaii,Troy
Drake,UC Davis
Utah,UC Riverside
UMKC,Ark.-Monticello
Kansas,UNC Asheville
Middle Tenn.,UNCW
Santa Clara,Vanderbilt
Iowa,Virginia
Texas A&M,Virginia Tech
Western Ky.,Washington
Michigan St.,Wichita St.
California,Wyoming
Samford,Bethune-Cookman
Richmond,Boston College
Weber St.,Buffalo
North Florida,CSU Bakersfield
Alabama St.,Cal St. Fullerton
VMI,Campbell
Western Mich.,Central Ark.
Charleston So.,Toccoa Falls
Davidson,Charlotte
Notre Dame,Chicago St.
Cincinnati,Lipscomb
Columbia,Colgate
Eastern Wash.,Denver
Duke,Appalachian St.
Air Force,East Carolina
Eastern Mich.,Omaha
Cal Poly,Elon
UNCW,Evansville
Fairfield,Army West Point
Fordham,UT Arlington
George Mason,James Madison
George Washington,Penn St.
Savannah St.,Grambling
Green Bay,Central Mich.
Stony Brook,Hampton
Houston,Cornell
Northern Ill.,Ill.-Chicago
Memphis,Iowa
Jackson St.,Western Caro.
Northern Ariz.,Jacksonville St.
Maryland,Kansas St.
Kennesaw St.,Chattanooga
UMass Lowell,LIU Brooklyn
NC State,Loyola Chicago
Creighton,Loyola Maryland
Detroit Mercy,Manhattan
Dartmouth,Marist
Marquette,Houston Baptist
Massachusetts,Harvard
McNeese,LSU-Alexandria
Maine,Me.-Presque Isle
Akron,Mercer
UC Irvine,Milwaukee
Fort Wayne,Mississippi Val.
Missouri,Northwestern St.
Montana St.,Delaware St.
Bowling Green,Morgan St.
Michigan,Mt. St. Mary's
Murray St.,Alabama A&M
N.C. A&T,Jacksonville
Purdue,NJIT
Navy,Penn
Iona,Nevada
San Diego,New Mexico St.
Wright St.,North Dakota
Northern Ky.,N.C. Central
UC Davis,Oakland
Ga. Southern,Radford
Incarnate Word,Rice
Wagner,Rider
SIUE,IUPUI
American,Saint Francis (PA)
Sacramento St.,San Francisco
UCF,Seattle U
Eastern Ill.,South Ala.
Monmouth,South Carolina St.
ETSU,South Dakota St.
Southern Utah,LIFE Pacific
Austin Peay,Spalding
UTRGV,St. Francis Brooklyn
Florida A&M,Stetson
South Carolina,Syracuse
Washington,TCU
Tennessee St.,Reinhardt
Middle Tenn.,Toledo
Towson,Robert Morris
Georgia Tech,Tulane
UNLV,Western Ky.
BYU,Utah Valley
Providence,Virginia
Miami (OH),Western Ill.
William & Mary,Liberty
Xavier,UNI
Vermont,Yale
Youngstown St.,Canisius
Albany (NY),Siena
Hawaii,Ark.-Pine Bluff
Arkansas St.,Lehigh
Valparaiso,Ball St.
Delaware,Bryn Athyn
Portland,CSUN
California,Southeastern La.
Duquesne,Cleveland St.
Col. of Charleston,USC Upstate
Colorado St.,Alcorn
Sacramento St.,Denver
Middle Tenn.,Evansville
FIU,Binghamton
Miami (FL),Florida
Iowa St.,Gonzaga
North Texas,Hartford
Holy Cross,Monmouth
Georgetown,Howard
Abilene Christian,Howard Payne
Illinois St.,Ferris St.
Drexel,La Salle
Indiana,Mississippi Val.
Dayton,New Mexico
CSU Bakersfield,North Dakota
Missouri St.,North Dakota St.
Wright St.,North Florida
Northeastern,Kent St.
Pepperdine,Portland St.
Indiana St.,Quinnipiac
Samford,Nicholls St.
Eastern Wash.,San Francisco
Stanford,Seton Hall
South Dakota,Montana
Milwaukee,South Dakota St.
UCLA,Texas A&M
Louisiana,Texas Southern
UNCW,Toledo
Saint Mary's (CA),UAB
ETSU,UC Irvine
Southern California,UC Santa Barbara
Louisiana Tech,UMES
Nebraska,Virginia Tech
Washington St.,San Jose St.
Winthrop,New Hampshire
Wisconsin,Prairie View
Colorado,Wofford
Kentucky,Arizona St.
Arkansas,Mt. St. Mary's
Brown,Bryant
Utah,Butler
Campbell,Allen
Charlotte,Appalachian St.
Coppin St.,Chestnut Hill
Longwood,Dartmouth
Fort Wayne,Siena Heights
Grambling,Jarvis Christian
South Fla.,Kennesaw St.
West Virginia,Manhattan
Florida St.,Minnesota
Mississippi St.,Northwestern St.
Montana St.,Arizona Christian
Morgan St.,High Point
Missouri,N.C. Central
Northwestern,Wake Forest
Oregon,Boise St.
Oregon St.,Southern Ore.
La.-Monroe,SFA
Grand Canyon,SIUE
Saint Peter's,Boston U.
San Diego St.,Savannah St.
Tennessee Tech,Hiwassee
The Citadel,Presbyterian
Oral Roberts,Tulsa
UMKC,Southeast Mo. St.
A&M-Corpus Christi,UTRGV
Auburn,USC Upstate
Ball St.,Ind.-Kokomo
Belmont,Lipscomb
Eastern Ill.,Bradley
Creighton,Buffalo
Alabama,Charleston So.
Coastal Caro.,Chattanooga
Mercer,Davidson
St. John's (NY),Delaware St.
Duke,Michigan St.
FGCU,Ave Maria
UT Martin,Fla. Atlantic
Harvard,George Washington
East Carolina,Hampton
Columbia,Hofstra
Idaho,San Jose St.
Notre Dame,Iowa
Alabama St.,Jacksonville St.
LSU,Houston
Idaho St.,Lamar University
Liberty,Central Penn
Central Ark.,Little Rock
Kansas,Long Beach St.
Marist,UMass Lowell
Maryland,Pittsburgh
Southern Ill.,Murray St.
UNCG,N.C. A&T
Illinois,NC State
Nevada,Pacific
Xavier,North Dakota St.
Oklahoma,Northern Colo.
Penn St.,Georgia Tech
Valparaiso,Rhode Island
Saint Louis,Samford
Southern U.,Paul Quinn
Wisconsin,Syracuse
Texas,UT Arlington
Texas St.,McNeese
New Orleans,Tulane
UAB,Alabama A&M
UNC Asheville,Brevard
Colgate,Union (NY)
VCU,Princeton
Vanderbilt,Tennessee St.
Penn,Villanova
American,Western Ill.
Central Mich.,William & Mary
Akron,Adrian
New Mexico St.,Air Force
Austin Peay,Fort Wayne
Utah St.,BYU
Binghamton,Mansfield
Boise St.,SMU
UConn,Boston U.
Bucknell,Richmond
CSU Bakersfield,Pacific Union
Cal St. Fullerton,Omaha
Charlotte,James Madison
Arkansas St.,Cleveland St.
Coastal Caro.,Methodist
Colorado,Colorado St.
Georgetown,Coppin St.
Old Dominion,Dartmouth
DePaul,Drake
Wyoming,Denver
Detroit Mercy,Eastern Mich.
Elon,FIU
Army West Point,Fairleigh Dickinson
Florida A&M,Kennesaw St.
Fordham,Sacred Heart
Fresno St.,Menlo
UNI,George Mason
Georgia St.,Wright St.
Miami (OH),Grambling
Kansas St.,Green Bay
Albany (NY),Holy Cross
Ill.-Chicago,Chicago St.
Illinois St.,IUPUI
Indiana,North Carolina
Indiana St.,Northern Ill.
Memphis,Jackson St.
Milwaukee,Jacksonville
Hartford,LIU Brooklyn
La Salle,Lehigh
Lafayette,Drexel
California,Louisiana Tech
Maine,Central Conn. St.
Marquette,Western Caro.
Massachusetts,Wagner
Clemson,Nebraska
Providence,New Hampshire
New Mexico,Abilene Christian
Loyola Chicago,Norfolk St.
North Texas,Texas Col.
Cornell,Northeastern
Morehead St.,Northern Ky.
Marshall,Ohio
Virginia,Ohio St.
Oklahoma St.,Rogers St.
Ole Miss,Middle Tenn.
Oregon,Western Ore.
Louisville,Purdue
Radford,VMI
Rice,Houston Baptist
Robert Morris,Youngstown St.
Miami (FL),Rutgers
NJIT,Saint Francis (PA)
Stanford,Saint Mary's (CA)
Baylor,Sam Houston St.
San Francisco,Alcorn
Southern Miss.,South Ala.
San Diego,Southern California
Southern Utah,UNLV
St. Bonaventure,Siena
Brown,St. Francis Brooklyn
UCF,Stetson
Stony Brook,Loyola Maryland
TCU,Washington
Saint Joseph's,Temple
Arizona,Texas Southern
Texas Tech,Incarnate Word
Santa Clara,UC Irvine
UCLA,UC Riverside
Duquesne,UMBC
Southeastern La.,UMES
UMKC,South Dakota
Western Mich.,UNCW
Michigan,Virginia Tech
Evansville,Wabash
Washington St.,Utah Valley
Eastern Ky.,Western Ky.
Winthrop,Furman
Bryant,Yale
Ark.-Pine Bluff,UT Martin
Southeast Mo. St.,Central Ark.
Iowa St.,Cincinnati
Seton Hall,Columbia
ETSU,Lees-McRae
Rider,Fairfield
North Florida,Florida
Savannah St.,Ga. Southern
Lipscomb,Tennessee Tech
Louisiana,Nicholls St.
Mississippi St.,Oregon St.
Gonzaga,Mississippi Val.
Utah,Montana St.
Col. of Charleston,Navy
Northwestern St.,LSU-Shreveport
Oakland,Oral Roberts
Pacific,Sacramento St.
Presbyterian,Johnson & Wales (NC)
Quinnipiac,Monmouth
Arkansas,SFA
Seattle U,Northwest (WA)
South Carolina,Vermont
Texas St.,Okla. Panhandle
Troy,South Fla.
UC Santa Barbara,Sonoma St.
Cal Poly,UTSA
Texas,Alabama
SMU,CSU Bakersfield
USC Upstate,Campbell
Delaware,Delaware St.
Pittsburgh,Duquesne
Kent St.,Grambling
San Francisco,Lamar University
Manhattan,Canisius
Marist,Niagara
N.C. A&T,North Dakota St.
Indiana,SIUE
Saint Peter's,Iona
The Citadel,Colgate
Tulane,St. John's (NY)
Cal Poly,A&M-Corpus Christi
Creighton,Akron
Alabama A&M,Tennessee Tech
Appalachian St.,Western Caro.
Arizona St.,UNLV
Central Mich.,Ark.-Pine Bluff
Arkansas,Austin Peay
Southern California,BYU
Ball St.,IUPUI
Baylor,Xavier
Pepperdine,Belmont
Boston College,Dartmouth
Central Conn. St.,Brown
La Salle,Bucknell
CSUN,Idaho St.
Cal St. Fullerton,Pacific
California,Alcorn
Colgate,Campbell
Butler,Central Ark.
Charleston So.,Abilene Christian
Charlotte,Oregon St.
Chattanooga,La.-Monroe
Cleveland St.,Bethune-Cookman
Portland,Colorado
Northwestern,DePaul
Weber St.,Denver
Evansville,Boise St.
Siena,Fairfield
Fla. Atlantic,Hofstra
Florida A&M,Southern U.
Harvard,Fordham
Drake,Fresno St.
Furman,Navy
VMI,Gardner-Webb
George Mason,Mercer
George Washington,South Fla.
Tennessee,Georgia Tech
Arizona,Gonzaga
Toledo,Green Bay
Hampton,William & Mary
High Point,Drexel
Houston,Prairie View
Howard,American
Idaho,UC Davis
Utah St.,Indiana St.
Iowa,Omaha
Kansas,Stanford
Michigan,Kennesaw St.
Kentucky,UCLA
Incarnate Word,LIU Brooklyn
New Mexico St.,Long Beach St.
Longwood,James Madison
McNeese,Louisiana
Louisiana Tech,Southeastern La.
Grand Canyon,Louisville
Loyola Chicago,San Diego St.
Duke,Maine
Eastern Ky.,Marshall
Massachusetts,UCF
UMBC,Messiah
Fort Wayne,Miami (OH)
South Ala.,Middle Tenn.
Montana,Milwaukee
Missouri,Western Ky.
Air Force,Missouri St.
Rutgers,Morgan St.
Loyola Maryland,Mt. St. Mary's
Murray St.,Detroit Mercy
East Carolina,N.C. Central
NC State,Boston U.
UMass Lowell,NJIT
Bradley,Nevada
New Hampshire,Holy Cross
Illinois St.,New Mexico
Norfolk St.,Northern Ky.
Stony Brook,Northeastern
Northern Ariz.,San Diego
Northern Colo.,Northern N.M.
Oakland,Southern Utah
Ohio,Bryant
Ohio St.,Fairleigh Dickinson
Maryland,Oklahoma St.
Ole Miss,Memphis
Michigan St.,Oral Roberts
Oregon,Savannah St.
Penn St.,Wright St.
Portland St.,UTRGV
Purdue,Morehead St.
Providence,Rhode Island
Richmond,Wake Forest
Lehigh,Robert Morris
SFA,Centenary (LA)
Sacramento St.,UC Merced
Sacred Heart,Hartford
Saint Francis (PA),Binghamton
Villanova,Saint Joseph's
Saint Louis,Kansas St.
Sam Houston St.,LSU-Shreveport
San Jose St.,Santa Clara
Nebraska,South Dakota
St. Bonaventure,Buffalo
Army West Point,St. Francis Brooklyn
Stetson,Florida Col.
Syracuse,North Florida
TCU,Arkansas St.
Temple,Penn
Lipscomb,Tennessee St.
Southern Ill.,Texas Southern
Texas Tech,Rice
The Citadel,USC Upstate
Towson,Old Dominion
Little Rock,Tulsa
UAB,Auburn
South Dakota St.,UMKC
Coastal Caro.,UNC Asheville
UNCG,Liberty
North Texas,UT Arlington
UTEP,Northwestern St.
Utah Valley,UTSA
Illinois,VCU
Minnesota,Vanderbilt
Virginia,West Virginia
Washington St.,New Orleans
Western Ill.,Chicago St.
Colorado St.,Wichita St.
Dayton,Winthrop
Wisconsin,Oklahoma
Miami (FL),Wofford
Wyoming,UNI
Yale,Albany (NY)
Youngstown St.,Oberlin
The Citadel,Campbell
Cincinnati,Bowling Green
Clemson,Coppin St.
Col. of Charleston,Davidson
SMU,Delaware St.
South Carolina,FIU
Ga. Southern,FGCU
Florida St.,George Washington
Georgetown,Elon
Ill.-Chicago,Eastern Ill.
Jackson St.,Southern Miss.
Samford,Jacksonville St.
Saint Peter's,Manhattan
Georgia,Marquette
Mississippi St.,Georgia St.
Monmouth,Canisius
Notre Dame,N.C. A&T
Iona,Niagara
Quinnipiac,Marist
North Carolina,Radford
Seattle U,Eastern Wash.
Indiana,Southeast Mo. St.
Tennessee Tech,Crowley's Ridge
Troy,Alabama St.
Colgate,USC Upstate
UT Martin,Boyce
Loyola Marymount,Boise St.
Northern Ariz.,CSU Bakersfield
St. John's (NY),CSUN
Coastal Caro.,Piedmont Int'l
Grambling,Tougaloo
Iowa St.,Omaha
Bethune-Cookman,Jacksonville
Louisiana Tech,Alcorn
Montana St.,Milwaukee
Rider,Siena
St. Francis Brooklyn,Lafayette
Iowa,Stetson
UConn,Syracuse
Texas A&M,A&M-Corpus Chris
UMES,Central Penn
UT Arlington,Texas-Dallas
Portland,UTRGV
Purdue,Arizona St.
Lipscomb,Belmont
Ball St.,Bradley
Providence,Brown
Princeton,California
Wake Forest,Charlotte
DePaul,Lamar University
Evansville,Bowling Green
Fairfield,Bucknell
Duke,Florida
Florida St.,Southern Miss.
Marquette,Fresno St.
Liberty,Furman
Central Mich.,Green Bay
Arkansas,Houston
Illinois,IUPUI
Kansas St.,Prairie View
La Salle,Villanova
Chattanooga,Marshall
Missouri,Miami (OH)
Wagner,Monmouth
Morgan St.,Manhattan
N.C. Central,LIU Brooklyn
Minnesota,NJIT
Navy,Bryant
American,New Hampshire
Harvard,Northeastern
Notre Dame,Fort Wayne
Ohio St.,Fla. Atlantic
Rhode Island,Old Dominion
Robert Morris,Duquesne
Rutgers,Central Conn. St.
Sacred Heart,UMass Lowell
Hawaii,Seton Hall
Miami (FL),South Carolina St.
Hofstra,St. Bonaventure
Stony Brook,Lehigh
Tennessee,Presbyterian
