Winner,Loser
Utah St.,Idaho St.
The Citadel,VMI
Vanderbilt,Nicholls St.
Virginia Tech,ETSU
Western Ill.,Wabash
Southern Miss.,Western Ky.
Cornell,Western Mich.
Wichita St.,N.C. Central
Winthrop,St. Andrews
Wyoming,Western St.
Sacred Heart,Yale
George Washington,Youngstown St.
The Citadel,Air Force
Florida,Alabama St.
Ohio St.,Albany (NY)
Alcorn,Oakwood
VMI,Army West Point
Ball St.,Grambling
Baylor,Jackson St.
Boise St.,Texas Southern
Binghamton,Brown
California,CSU Bakersfield
Arizona,Charleston So.
Marquette,Colgate
Boston College,FIU
Hawaii,Ark.-Pine Bluff
Purdue,Hofstra
UMES,Houston Baptist
Jacksonville St.,Eastern Mich.
Louisiana,Oakland
Washington,Loyola Maryland
Louisville,Manhattan
South Carolina,Milwaukee
Holy Cross,Morgan St.
Navy,Siena
Nebraska,Southern U.
Oregon St.,New Mexico St.
North Carolina,Fla. Atlantic
Oklahoma,La.-Monroe
Omaha,St. Mary (KS)
Rice,St. Thomas Houston
SMU,Loyola Marymount
Syracuse,San Diego St.
Seattle U,Montana St.
Wisconsin,Southeastern La.
Tulsa,LSU-Shreveport
Ill.-Chicago,UC Riverside
UNCW,UNC Asheville
Cincinnati,UT Martin
Old Dominion,UTSA
Villanova,Marshall
Alabama,West Ala.
Akron,John Carroll
Cleveland St.,Bowling Green
Florida St.,Buffalo
Stanford,Cal St. Fullerton
Canisius,Boston U.
Saint Peter's,Central Conn. St.
Iowa,Central Mich.
Chattanooga,Tenn. Temple
Clemson,Presbyterian
Texas,Coppin St.
New Mexico,Davidson
CSUN,Eastern Wash.
Pittsburgh,Fordham
Hawaii,Houston Baptist
Michigan,IUPUI
Iowa St.,Alabama A&M
Kansas St.,Lamar University
Lafayette,LIU Brooklyn
Robert Morris,Lehigh
Liberty,William & Mary
Maryland,Morehead St.
Minnesota,Toledo
N.C. Central,Johnson & Wales (NC)
Seton Hall,Norfolk St.
Indiana,North Dakota St.
Memphis,North Florida
Campbell,Northwestern St.
Notre Dame,Monmouth
Delaware,Penn
Oregon,Portland St.
Providence,Bryant
Quinnipiac,American
Radford,Cincinnati Christian
Rutgers,Sacred Heart
Samford,Martin Methodist
South Carolina St.,Kennesaw St.
Southeast Mo. St.,Lyon
New Orleans,Southern Ill.
Illinois,St. Francis Brooklyn
Texas A&M,Troy
Illinois St.,UC Santa Barbara
Ark.-Pine Bluff,UMES
UNCG,Winston-Salem
UNLV,Northern Ariz.
USC Upstate,Hiwassee
Bradley,UTRGV
N.C. A&T,Utah Valley
Virginia,Fairfield
Virginia Tech,Rhode Island
Wofford,Webber Int'l
Saint Joseph's,Yale
Georgia,Youngstown St.
Washington,Albany (NY)
Appalachian St.,High Point
Western Ky.,Austin Peay
BYU,Georgia St.
Tulane,Bethune-Cookman
IUPUI,Bowling Green
Xavier,Butler
California,Pepperdine
Cincinnati,Mississippi Val.
Michigan,Cleveland St.
Ole Miss,Coastal Caro.
Virginia,Delaware
Kentucky,Duke
East Carolina,Methodist
Elon,Bridgewater (VA)
FGCU,Miami (FL)
Mississippi St.,Fla. Atlantic
Stetson,Florida A&M
Robert Morris,Fordham
Fort Wayne,Rochester College
Furman,Southern Wesleyan
Charlotte,Ga. Southern
Bucknell,George Mason
Mt. St. Mary's,Hartford
San Jose St.,Houston
Indiana St.,Winthrop
Jacksonville,Trinity Baptist
Kent St.,Temple
Pittsburgh,Lehigh
Southern California,Long Beach St.
Massachusetts,Harvard
LSU,McNeese
Miami (OH),Grambling
Kansas,Michigan St.
Missouri,Alcorn
NJIT,Eastern Nazarene
Dartmouth,New Hampshire
Niagara,Saint Francis (PA)
Lamar University,North Texas
Northwestern,Texas Southern
Boise St.,Oakland
Fairfield,Penn
Prairie View,Arlington Baptist
Princeton,Northeastern
Sam Houston St.,Hardin-Simmons
San Diego St.,San Diego Christian
San Francisco,Cal St. East Bay
Savannah St.,Middle Tenn.
South Dakota St.,Tennessee St.
Marquette,Southeastern La.
St. John's (NY),Detroit Mercy
Rider,Stony Brook
UCF,Alabama St.
UCLA,UC Irvine
Richmond,UNCW
VCU,Wichita St.
VMI,Central Penn
Valparaiso,Northern Ill.
UConn,Vermont
Gonzaga,West Virginia
Western Mich.,Marygrove
Eastern Ill.,Wright St.
Navy,Binghamton
Sacramento St.,CSU Bakersfield
Colgate,Marist
Cornell,St. Bonaventure
Creighton,UAB
Delaware St.,Wagner
Denver,A&M-Corpus Christi
Florida,Wisconsin
Gardner-Webb,Lipscomb
Georgia Tech,Presbyterian
Georgetown,Liberty
Louisiana Tech,Little Rock
Holy Cross,Maine
North Dakota,Crown (MN)
San Diego,Northern Ky.
Northwestern St.,Hannibal-La Grange
Texas Tech,Omaha
Oral Roberts,St. Gregory's
Saint Louis,Santa Clara
Savannah St.,North Florida
South Ala.,William Carey
Southern U.,South Dakota
The Citadel,Montreat
UC Riverside,Fresno St.
Loyola Maryland,UMBC
UNI,Toledo
Rochester College,UTRGV
Washington St.,Utah Valley
SIUE,Western Ill.
Wyoming,N.C. Central
Oklahoma St.,Akron
Oregon St.,Alabama
American,Mt. St. Mary's
Boston College,Baylor
New Orleans,Bethune-Cookman
Central Conn. St.,Brown
Cal Poly,Northern Colo.
Colorado St.,Chadron St.
Charleston So.,Hiwassee
Kansas,Chattanooga
Tennessee Tech,Coastal Caro.
Colorado,Dayton
Drexel,Illinois St.
Evansville,Buffalo
FGCU,Ave Maria
DePaul,Gardner-Webb
Georgia,Southern Miss.
Richmond,Hampton
Iowa,Howard
Jacksonville St.,Alabama A&M
UCLA,James Madison
Longwood,Norfolk St.
Louisville,Samford
Southeast Mo. St.,McNeese
Morehead St.,Alice Lloyd
Auburn,Murray St.
Southern U.,N.C. Central
Nebraska,Valparaiso
Tulsa,Northern Ky.
Northwestern,Mississippi Val.
NC State,Penn St.
Portland,Idaho St.
Texas A&M,Prairie View
Massachusetts,Providence
TCU,SMU
Utah St.,Saint Mary's (CA)
Indiana,Sam Houston St.
San Diego,CSUN
San Jose St.,Weber St.
South Carolina St.,Webber Int'l
New Mexico St.,Southeastern La.
Col. of Charleston,St. John's (NY)
Stanford,Alcorn
Minnesota,Tennessee St.
UC Irvine,Pacifica
Tennessee,UNC Asheville
Arizona,UTEP
Virginia Tech,VMI
Purdue,Villanova
Air Force,Western St.
Wichita St.,Western Caro.
Wyoming,South Dakota
UNC Asheville,Akron
Army West Point,Binghamton
Col. of Charleston,Auburn
Florida St.,BYU
Colorado,Baylor
Nevada,Cal St. Fullerton
Campbell,Appalachian St.
Central Mich.,Olivet
Kent St.,Chicago St.
Furman,Clemson
Cornell,Saint Peter's
Boston College,Dayton
Denver,California
East Carolina,UNCG
Eastern Ky.,Kennesaw St.
Eastern Mich.,Eastern Ill.
Evansville,Yale
Fresno St.,Pacific
Ga. Southern,Webber Int'l
Hartford,Sacred Heart
New Mexico,Ill.-Chicago
Maryland,LIU Brooklyn
Kentucky,Lafayette
Ole Miss,Little Rock
Long Beach St.,North Carolina
Texas Southern,Louisiana
Western Mich.,Loyola Chicago
Harvard,Manhattan
Dist. Columbia,Marshall
George Mason,Mercer
Miami (FL),Jacksonville
Missouri,Nicholls St.
South Carolina,Morgan St.
South Dakota,N.C. Central
Massachusetts,NC State
Niagara,Bucknell
Saint Joseph's,Notre Dame
Tulane,Omaha
Providence,Penn St.
Pepperdine,Washington St.
Princeton,Rutgers
Oregon St.,Purdue
Iona,Quinnipiac
Towson,Radford
Utah,Sacramento St.
Alabama St.,Savannah St.
CSUN,Siena
Hofstra,South Dakota St.
Green Bay,Southern Utah
Murray St.,St. John's (NY)
Oklahoma St.,Tennessee
San Diego,Tulsa
South Fla.,UMES
Ohio,UNCW
UT Arlington,Oklahoma
UT Martin,Arkansas St.
Fort Wayne,UTRGV
Oregon,Vanderbilt
Alabama,Villanova
UConn,Wake Forest
Buffalo,Western Ill.
Ball St.,Wofford
Wright St.,N.C. A&T
Wyoming,Southern U.
Youngstown St.,Saint Francis (PA)
UMKC,Albany (NY)
DePaul,Austin Peay
Notre Dame,BYU
Boston U.,George Washington
Maine,Brown
CSU Bakersfield,Loyola Marymount
Canisius,St. Bonaventure
Charlotte,Lamar University
Cleveland St.,Old Dominion
Fla. Atlantic,Coppin St.
Detroit Mercy,Drake
Penn,Drexel
ETSU,Tennessee Tech
Eastern Ky.,Towson
Eastern Mich.,Fort Wayne
Elon,Colgate
Evansville,Western Ill.
Saint Joseph's,Florida St.
Iowa,Gardner-Webb
Nevada,Green Bay
Hawaii,Illinois
Hofstra,Dist. Columbia
Houston,Grambling
Houston Baptist,Dallas Christian
Wichita St.,Howard
IUPUI,Bradley
Idaho,Montana
Mercer,Ill.-Chicago
South Fla.,Loyola Chicago
Columbia,Marist
Memphis,Samford
Milwaukee,Davidson
Missouri St.,San Diego St.
Rider,Monmouth
Bryant,New Hampshire
Bucknell,New Mexico St.
Loyola Maryland,Norfolk St.
UNI,North Dakota
North Dakota St.,Mayville St.
Siena,Northern Ky.
Pittsburgh,Oakland
Rhode Island,Ohio St.
Kennesaw St.,Radford
Temple,Rice
FIU,SFA
Virginia,Seattle U
Washington,Seton Hall
Marshall,South Dakota St.
Southern Ill.,Benedictine-Sprngfld
Cal St. Fullerton,Southern Utah
Texas St.,SMU
The Citadel,Union (KY)
CSUN,Tulsa
UC Riverside,Whitman
UC Santa Barbara,Master's
Western Mich.,UMES
UNLV,Jacksonville St.
Eastern Ill.,UTRGV
UTSA,USC Upstate
Utah St.,A&M-Corpus Christi
Utah Valley,Arizona Christian
Northeastern,Vermont
Iona,Wake Forest
Western Ky.,Western Caro.
High Point,William & Mary
Winthrop,VCU
Xavier,Robert Morris
Buffalo,Yale
Loyola Maryland,Albany (NY)
Dayton,Auburn
Binghamton,Saint Peter's
Col. of Charleston,Boston College
Iowa St.,Campbell
La Salle,Central Conn. St.
Chattanooga,Southeast Mo. St.
Tulane,Chicago St.
Colgate,Coppin St.
Wisconsin,Cornell
Creighton,Presbyterian
Illinois St.,Delaware St.
Eastern Ky.,Radford
Elon,Fla. Atlantic
Duke,FGCU
Northwestern,Fairleigh Dickinson
Middle Tenn.,Florida
Arizona St.,Florida A&M
Eastern Ill.,Fort Wayne
New Mexico,George Mason
Gonzaga,South Dakota
Cal St. Fullerton,Green Bay
Hofstra,Marshall
Kent St.,Valparaiso
Morehead St.,Lafayette
Arkansas,Longwood
Boise St.,Louisiana
Troy,Louisiana Tech
Tennessee,Massachusetts
Louisville,Miami (OH)
Michigan St.,Texas Southern
Minnesota,Richmond
Colorado,Murray St.
Cincinnati,N.C. A&T
Oklahoma St.,NC State
South Carolina St.,NJIT
UAB,Navy
Niagara,New Mexico St.
UMKC,Norfolk St.
Kansas St.,North Florida
Northern Ill.,Judson (IL)
CSUN,Northern Ky.
Washington,Ohio St.
Nebraska,Omaha
Akron,Penn St.
Montana St.,Portland
TCU,Prairie View
UConn,Quinnipiac
Saint Mary's (CA),Eastern Wash.
Rhode Island,Seton Hall
San Diego,Siena
Dist. Columbia,South Dakota St.
Nevada,Southern Utah
Baylor,St. John's (NY)
Stanford,Belmont
Stony Brook,Sacred Heart
Syracuse,Wagner
Kennesaw St.,Towson
UC Davis,Northern Ariz.
UCF,Savannah St.
Loyola Chicago,UMES
Providence,UNC Asheville
Eastern Mich.,UTRGV
Yale,Western Ill.
South Fla.,Western Mich.
Ohio,Wofford
Robert Morris,Bowling Green
Marquette,Butler
Chattanooga,Troy
Penn,Fordham
Alcorn,Fort Valley St.
Cal Poly,Fresno St.
UCLA,Georgetown
Indiana,Georgia
Houston,Louisiana Col.
Iona,Ill.-Chicago
Southern California,Illinois
Oregon,Jacksonville St.
Duquesne,James Madison
Washington St.,Kansas
Lehigh,Fairfield
UC Irvine,Liberty
Arizona,Long Beach St.
Southeast Mo. St.,Louisiana Tech
Little Rock,Milwaukee
Missouri St.,Jacksonville
Georgia St.,Monmouth
Mississippi St.,North Carolina
IUPUI,North Texas
Pacific,Oral Roberts
George Mason,Quinnipiac
Texas A&M,Saint Louis
Sam Houston St.,Southern Miss.
American,San Francisco
South Carolina,Rider
Stetson,Southeastern (FL)
South Ala.,Tennessee St.
Chaminade,Texas
Cincinnati Christian,Towson
New Mexico,UConn
UNCG,Virginia Tech
Virginia,Lamar University
Mercer,Wake Forest
North Dakota St.,Youngstown St.
Bowling Green,Ala.-Huntsville
Alabama A&M,Oakwood
South Carolina St.,Albany (NY)
Western Caro.,Austin Peay
Kent St.,Bethune-Cookman
Canisius,Buffalo
North Carolina,Butler
CSU Bakersfield,Westmont
Cincinnati,Campbell
Robert Morris,Cleveland St.
Coastal Caro.,Johnson & Wales (NC)
Arizona St.,Cornell
Northwestern,Delaware St.
Charleston So.,ETSU
East Carolina,Appalachian St.
Tennessee Tech,Evansville
Illinois St.,Fairleigh Dickinson
Arkansas,Florida A&M
Fairfield,Fordham
Fort Wayne,Judson (IL)
Howard,Gardner-Webb
Indiana,Georgetown
UCLA,Georgia
Idaho,Green Bay
Ohio,Hampton
Hartford,La Salle
Saint Joseph's,Harvard
Houston Baptist,Pepperdine
Lamar University,IUPUI
Chaminade,Illinois
Ball St.,Indiana St.
Maryland,Lafayette
Lehigh,Penn
Sam Houston St.,Liberty
Creighton,Longwood
Chattanooga,Louisiana Tech
Ole Miss,McNeese
Michigan St.,Boise St.
Marquette,Mississippi St.
South Ala.,Monmouth
Iowa St.,N.C. A&T
N.C. Central,Toccoa Falls
TCU,Navy
New Orleans,Blue Mountain (MS)
Duquesne,North Dakota St.
Virginia,North Texas
LSU,Northwestern St.
Texas Southern,Oakland
UAB,Prairie View
Wisconsin,Presbyterian
Rutgers,Boston U.
SFA,Jarvis Christian
SIUE,Southern Ill.
Sacramento St.,UC Davis
Kansas,Saint Louis
Florida,Savannah St.
South Fla.,Bradley
Troy,Southeast Mo. St.
Southeastern La.,Louisiana Col.
UC Irvine,Southern Miss.
St. Francis Brooklyn,Army West Point
Georgia St.,Tennessee St.
Southern California,Texas
Washington St.,Texas A&M
Texas Tech,Grambling
San Jose St.,UC Santa Cruz
UCF,Middle Tenn.
UMBC,Central Conn. St.
Santa Clara,USC Upstate
UT Martin,Lyon
Eastern Wash.,Utah Valley
Villanova,Columbia
Iowa,Western Ky.
DePaul,Wichita St.
Winthrop,Lenoir-Rhyne
Richmond,Wofford
James Madison,Youngstown St.
Air Force,Montana St.
Alas. Anchorage,Belmont
San Diego St.,Ark.-Pine Bluff
Boston College,Auburn
Gardner-Webb,Austin Peay
BYU,UTSA
Brown,Bryant
Illinois,Butler
Central Ark.,Arkansas St.
Saint Francis (PA),Colgate
Denver,Colorado St.
Eastern Ill.,Rochester College
South Carolina,Elon
FGCU,Alcorn
Kennesaw St.,Ga. Southern
Georgia St.,South Ala.
High Point,St. Andrews
Manhattan,Hofstra
Western Caro.,Howard
Delaware,Kansas St.
Kentucky,Morehead St.
Southern Miss.,Liberty
Little Rock,Jacksonville
Louisiana,Southern-N.O.
Seton Hall,Maine
Missouri St.,Malone
Southern California,Marquette
William & Mary,Miami (OH)
NJIT,New Hampshire
New Mexico St.,Northern N.M.
Chaminade,North Carolina
Hawaii,North Dakota
James Madison,North Dakota St.
Florida St.,North Florida
Notre Dame,George Washington
Michigan,Pittsburgh
Portland,Portland St.
Syracuse,Princeton
Radford,Brevard
SMU,Rider
Sam Houston St.,UC Irvine
Toledo,Samford
Seattle U,Pacific Lutheran
South Dakota St.,Southwest Minn. St.
Southern Utah,Carroll (MT)
St. John's (NY),Holy Cross
Monmouth,Tennessee St.
Mississippi St.,Texas
Nebraska,Tulane
Tulsa,Jackson St.
Northeastern,UC Riverside
UC Santa Barbara,San Diego
Purdue,UNCW
Eastern Wash.,USC Upstate
Utah,Idaho St.
Santa Clara,Utah Valley
Old Dominion,VMI
DePaul,Western Ky.
Iowa,Wichita St.
Central Mich.,Wright St.
Northern Colo.,Wyoming
Vermont,Yale
Duquesne,Youngstown St.
Samford,Alcorn
Gonzaga,Clemson
California,Drake
Minnesota,Duke
FGCU,Toledo
Rice,Georgia Tech
UNI,Louisville
West Virginia,Marist
Stanford,Missouri
Loyola Marymount,Oral Roberts
Xavier,Pacific
Drexel,Saint Mary's (CA)
Charlotte,Texas St.
Oklahoma,UTEP
Memphis,VCU
Davidson,Vanderbilt
Alas. Anchorage,UC Riverside
Arizona St.,Arkansas
Northeastern,Belmont
Omaha,Bethune-Cookman
Cal St. Fullerton,San Diego Christian
Utah,Central Mich.
Alabama,Charleston So.
Oral Roberts,Charlotte
Valparaiso,Chicago St.
Iowa St.,Cincinnati
Wayland Baptist,Columbia
Presbyterian,Cornell
Wisconsin,Creighton
West Virginia,Davidson
Fairleigh Dickinson,Delaware St.
Xavier,Drexel
Santa Clara,Eastern Wash.
Georgia,ETSU
California,Georgia Tech
Oklahoma,Gonzaga
Wofford,Hampton
New Mexico,Idaho
UAB,Illinois St.
Northern Ariz.,Jacksonville St.
Kentucky,LIU Brooklyn
Florida A&M,Longwood
New Mexico St.,Louisiana
Rhode Island,Loyola Maryland
Minnesota,Memphis
Kansas St.,Michigan
Michigan St.,Oakland
Louisville,Missouri
Campbell,N.C. A&T
TCU,Northwestern
Ole Miss,Lipscomb
Saint Mary's (CA),Pacific
Penn St.,Bucknell
Delaware,Pittsburgh
Navy,Prairie View
Providence,Fairfield
Drake,Rice
Jacksonville,Rider
South Dakota,Culver-Stockton
UNI,Stanford
Loyola Marymount,Texas St.
Florida,UCF
Ohio St.,UMKC
NC State,UNC Asheville
UNLV,Oregon
Clemson,UTEP
USC Upstate,Utah Valley
Duke,VCU
Marist,Vanderbilt
Virginia Tech,Appalachian St.
Wake Forest,William & Mary
Idaho St.,Wright St.
Alas. Anchorage,Loyola Marymount
Washington St.,Ark.-Pine Bluff
Wisconsin,Arkansas
Yale,Army West Point
BYU,CSUN
Baylor,Col. of Charleston
Oral Roberts,Belmont
Valparaiso,Bethune-Cookman
Binghamton,Marywood
Northern Ariz.,Campbell
Idaho St.,Central Mich.
Northeastern,Charlotte
Kennesaw St.,Chattanooga
Omaha,Chicago St.
Coastal Caro.,FIU
Washington,Colorado St.
Coppin St.,Cheyney
Arizona St.,Creighton
Dartmouth,Fort Wayne
Navy,Delaware St.
Miami (FL),Detroit Mercy
Louisville,Duke
Eastern Ky.,Norfolk St.
Eastern Mich.,Madonna
VMI,Elon
Fla. Atlantic,American
Presbyterian,Florida A&M
Maryland,Ga. Southern
George Mason,Boston U.
Georgetown,Mt. St. Mary's
Green Bay,North Dakota St.
Hartford,Central Conn. St.
George Washington,Hofstra
Eastern Ill.,Houston Baptist
Ill.-Chicago,Southeast Mo. St.
Nebraska,Kent St.
LSU,Mississippi Val.
Lafayette,Princeton
SMU,Little Rock
Cornell,Longwood
Louisiana Tech,La.-Monroe
Northern Ill.,Loyola Chicago
Dayton,Manhattan
Buffalo,Mansfield
Marshall,Nevada
UNI,Memphis
Miami (OH),James Madison
Middle Tenn.,Texas Southern
Jacksonville,Milwaukee
Montana,San Diego
Murray St.,Old Dominion
Jacksonville St.,N.C. A&T
N.C. Central,Wagner
NJIT,South Carolina St.
Holy Cross,New Hampshire
St. Bonaventure,Niagara
Illinois St.,Northwestern
Notre Dame,Saint Francis (PA)
Cincinnati,Oregon
Fairleigh Dickinson,Prairie View
The Citadel,Radford
Ohio,Richmond
Tulsa,SFA
UTRGV,SIUE
Central Ark.,Sacramento St.
Saint Louis,Southern Ill.
San Francisco,Columbia
Missouri St.,South Carolina
South Dakota,Waldorf
Brown,St. Francis Brooklyn
St. John's (NY),FGCU
Minnesota,Stanford
Stony Brook,Canisius
Tulane,Southern U.
TCU,UAB
Pepperdine,UC Irvine
Texas St.,UC Riverside
Boise St.,UC Santa Barbara
UNCW,Wofford
UNLV,Iowa St.
Samford,UT Arlington
Bradley,UT Martin
Utah St.,Weber St.
Missouri,VCU
Savannah St.,Western Ill.
Western Ky.,Brescia
Utah,Wright St.
Wyoming,CSU Bakersfield
Colorado,Air Force
Troy,Alabama St.
Auburn,Rhode Island
Indiana,Ball St.
Boston College,Bryant
UCLA,Cal Poly
Marist,Clemson
Syracuse,Colgate
Gonzaga,Davidson
Xavier,Drake
Rice,Drexel
Illinois,Gardner-Webb
UNCW,Hampton
A&M-Corpus Christi,Houston
Howard,Wilmington (DE)
Indiana St.,High Point
Arkansas St.,Lamar University
Sacred Heart,Lehigh
Fresno St.,Long Beach St.
Maine,Siena
Mercer,Furman
Michigan St.,Louisiana
Rider,Milwaukee
SMU,Missouri St.
Oregon St.,Montana St.
California,Pacific
New Mexico,Portland
Oklahoma St.,Portland St.
Georgia Tech,Saint Mary's (CA)
Southern California,San Diego St.
Seton Hall,Saint Peter's
Little Rock,South Carolina
UConn,Stony Brook
Temple,Delaware
UNCG,Rutgers
Vanderbilt,UTEP
La Salle,Villanova
Oklahoma,West Virginia
Albany (NY),Wagner
Georgia St.,East Carolina
Evansville,Alabama A&M
IUPUI,Ind.-East
Monmouth,Lafayette
Loyola Maryland,Towson
George Washington,Mt. St. Mary's
Lipscomb,Murray St.
Nicholls St.,New Orleans
Morehead St.,Norfolk St.
Colorado St.,Northern Colo.
Texas A&M,Northwestern St.
Notre Dame,Chicago St.
Tennessee,Oakland
Kansas,San Jose St.
Savannah St.,Robert Morris
Stetson,South Fla.
Southeast Mo. St.,Hannibal-La Grange
Tennessee St.,Fisk
Texas Tech,Jackson St.
Marquette,UMBC
Bethune-Cookman,North Florida
Butler,Hanover
McNeese,Centenary (LA)
Bucknell,Dartmouth
DePaul,Fairfield
Southern Miss.,Denver
Bowling Green,Detroit Mercy
Pittsburgh,Howard
Northern Ill.,Ill.-Chicago
Alabama,Lamar University
Quinnipiac,Lehigh
Northwestern,Maryland
Florida St.,Minnesota
Mississippi St.,Alcorn
Michigan,NC State
NJIT,Lyndon St.
Indiana,North Carolina
Portland,Lewis & Clark
Presbyterian,Toccoa Falls
Providence,Holy Cross
Sacramento St.,Dominican (CA)
Texas,Sam Houston St.
Tulane,Loyola (LA)
Troy,UAB
N.C. Central,Utah Valley
Harvard,Vermont
Virginia Tech,Iowa
Wake Forest,Nebraska
Toledo,A&M-Corpus Christi
Air Force,Jackson St.
Saint Joseph's,American
Appalachian St.,Duquesne
Arizona St.,Ark.-Pine Bluff
Austin Peay,Berea
Montana,BYU
Ball St.,Cleveland St.
Penn,Binghamton
Buffalo,Temple
Eastern Ill.,Central Ark.
Central Mich.,Bradley
Charleston So.,Col. of Charleston
Clemson,Purdue
Boston U.,Coastal Caro.
Colorado,Texas Southern
Coppin St.,Loyola Maryland
Creighton,Boise St.
Duke,Ohio St.
Eastern Ky.,Delaware St.
Ga. Southern,Elon
Samford,FGCU
Saint Peter's,Fairleigh Dickinson
Southern Ill.,Fresno St.
Rhode Island,George Mason
Prairie View,Houston
Washington St.,Idaho
Illinois,Georgia Tech
James Madison,George Washington
LIU Brooklyn,Columbia
Lafayette,Delaware
Longwood,Central Penn
Loyola Chicago,Tennessee Tech
Northeastern,Maine
Marshall,Morehead St.
Siena,Massachusetts
New Mexico,Mercer
Miami (FL),Michigan St.
Navy,Fort Wayne
Iona,Niagara
South Dakota St.,North Dakota
Arizona,Northern Ariz.
Ohio,St. Bonaventure
Oral Roberts,Oklahoma
Penn St.,Boston College
Wagner,Princeton
Radford,Hampton
Stanford,Seattle U
South Carolina St.,Jacksonville
Louisiana Tech,Southeastern La.
Cornell,Stony Brook
Nevada,UC Davis
UNCG,N.C. A&T
UNLV,UC Irvine
North Texas,UT Arlington
UTEP,New Mexico St.
SMU,Utah
Santa Clara,Utah St.
VCU,Stetson
West Virginia,VMI
Dayton,Weber St.
Furman,Western Caro.
Wichita St.,Tulsa
Richmond,William & Mary
Wofford,Winthrop
Wisconsin,Virginia
UC Santa Barbara,Wyoming
Youngstown St.,Kent St.
Brown,Sacred Heart
Chicago St.,Trinity Christian
ETSU,Milligan
FIU,Arkansas St.
Fla. Atlantic,South Ala.
Florida,Marquette
North Florida,Florida A&M
Fordham,Manhattan
Gonzaga,Lewis-Clark St.
Idaho St.,Montana Western
LSU,Seton Hall
Rider,La Salle
Liberty,Morgan St.
