Winner,Loser
South Carolina Upstate,Virginia Tech
Wichita State,Emporia State
Winthrop,Roanoke
Alcorn State,Tougaloo
Arkansas-Pine Bluff,Tuskegee
UMass,Boston College
Boston University,Northeastern
Bradley,Alabama State
Brown,Binghamton
Colorado,UT-Martin
Loyola (MD),Cornell
Dartmouth,Lyndon State
Charleston Southern,Delaware
Youngstown State,Eastern Kentucky
Eastern Washington,Pacific (OR)
Harvard,Holy Cross
Hawaii,Western Michigan
Hofstra,Fairleigh Dickinson
Howard,Gwynedd-Mercy
Illinois,Jacksonville State
Iowa,Omaha
Iowa State,North Carolina-Wilmington
Florida International,Kennesaw State
Kentucky,Northern Kentucky
Maine,Fisher College
Elon,Marist
Middle Tennessee,Southern
Notre Dame,Stetson
Coppin State,Oregon State
Princeton,Florida A&M
South Carolina State,St. Andrews
Stony Brook,Haverford
Oral Roberts,Tulsa
Valparaiso,North Park
Washington,Seattle
Wright State,Mount St. Joseph
Alabama-Birmingham,Rutgers
Arizona,Long Beach State
North Florida,Little Rock
Cal State Bakersfield,UC-Merced
UC-Davis,Holy Names
Canisius,South Dakota
Coastal Carolina,Guilford
UConn,Yale
Creighton,UMKC
Milwaukee,Davidson
Detroit,Michigan-Dearborn
St. Francis (NY),Florida Atlantic
Georgia Tech,Delaware State
Gonzaga,Colorado State
Houston Baptist,Crowley's Ridge
Fort Wayne,Indiana-Kokomo
Arkansas State,Jackson State
Kennesaw State,Warren Wilson
Lipscomb,Oakland City
UMBC,Eastern
Miami (FL),Georgia Southern
Arkansas-Pine Bluff,Morehouse
North Carolina Central,Johnson & Wales (NC)
Northern Iowa,Coe
Oklahoma,North Texas
Prairie View,Schreiner
Radford,Chattanooga
Richmond,Belmont
Saint Francis (PA),Navy
Sam Houston State,Hillsdale Baptist/Randall (Ok.)
Southeast Missouri State,Central Baptist
SMU,Rhode Island
St. Bonaventure,Abilene Christian
BYU,Stanford
Kent State,Temple
Western Michigan,Tennessee State
Texas A&M,Mississippi Valley State
Houston,Texas-Rio Grande Valley
Texas Southern,Wiley
Texas Tech,Northern Arizona
Incarnate Word,Trinity (TX)
Troy,LaGrange
Utah Valley,North Carolina A&T
Western Carolina,North Carolina-Asheville
Wofford,Emory & Henry
Albany (NY),NJIT
Alcorn State,Mississippi College
Campbell,Appalachian State
Arizona State,Miami (OH)
Ball State,Taylor (IN)
Baylor,South Carolina
Bradley,Central Michigan
Nevada,Cal Poly
University of California,Denver
Central Arkansas,Hendrix
Chicago State,Jacksonville State
Cincinnati,North Carolina State
Citadel,Presbyterian
College of Charleston,Charlotte
Manhattan,Columbia
Drake,Iowa Wesleyan
Kansas,Duke
Morehead State,ETSU
Eastern Michigan,Concordia (MI)
Florida Gulf Coast,Hartford
Florida International,Warren Wilson
Furman,Gardner-Webb
George Washington,Maine
Harvard,MIT
New Mexico State,Hawaii
High Point,Ferrum
Drexel,Illinois State
Indiana,LIU-Brooklyn
Iowa State,Texas A&M-Corpus Christi
Evansville,IUPUI
Jacksonville,Florida College
Michigan State,Kentucky
La Salle,Quinnipiac
Robert Morris,Lafayette
George Mason,Lamar
Lehigh,Rider
Louisiana,McNeese State
Louisville,Hofstra
Marquette,Grambling
Marshall,Rio Grande
Maryland-Eastern Shore,Salisbury
UMass,LSU
Michigan,South Carolina State
Minnesota,Montana
Missouri,Southern Illinois
Penn,Monmouth
Murray State,Brescia
Nebraska,Western Illinois
UCSB,UNLV
New Orleans,Millsaps
East Carolina,North Carolina-Greensboro
Northern Colorado,Colorado Christian
Ohio State,Ohio
Oklahoma State,Utah Valley
Pacific,UC-Irvine
Pitt,Fresno State
Southeastern Louisiana,Rice
Saint Mary's (CA),Akron
Hampton,St. Peter's
Santa Clara,San Jose State
Savannah State,Tennessee Temple
South Florida,Bethune-Cookman
USC,Cal State Northridge
Syracuse,Fordham
Tennessee Tech,Loyola (IL)
Texas,South Alabama
Texas-Arlington,Samford
Longwood,Texas Christian
Stephen F. Austin,Texas State
Towson,Morgan State
UCLA,Oakland
Utah State,Southern Utah
Vanderbilt,Georgia State
Vermont,Siena
VCU,Virginia
Virginia Tech,West Virginia
Wagner,Chestnut Hill
Wake Forest,Virginia Military Institute
Wichita State,Western Kentucky
William & Mary,Liberty
Wisconsin,Florida
Xavier,Tennessee
Alabama State,Mobile
Arkansas State,UT-Martin
Boston University,UMass-Lowell
Cal State Bakersfield,Sacramento State
Pepperdine,UC-Riverside
Florida State,UCF
North Carolina-Wilmington,Charleston Southern
Clemson,Delaware State
Colorado,Wyoming
Binghamton,Cornell
Bryant,Dartmouth
Dayton,Saint Francis (PA)
Southern Miss,DePaul
New Hampshire,Duquesne
Eastern Illinois,Olivet Nazarene
Eastern Kentucky,Warren Wilson
Hartford,Fairfield
Georgetown,Wright State
Holy Cross,Sacred Heart
Illinois,Valparaiso
UIC,Roosevelt
Kansas State,Oral Roberts
Louisiana Tech,Centenary (LA)
Maryland,Abilene Christian
Mercer,Reinhardt
Middle Tennessee,North Florida
Navy,Goucher
Omaha,UMKC
Niagara,Buffalo
Norfolk State,Newberry
North Dakota,Minnesota-Morris
Oklahoma,Idaho
Old Dominion,Howard
Oregon,Western Carolina
Oregon State,Portland
Bucknell,Penn State
Portland State,Pacific Lutheran
Providence,Brown
Purdue,Central Connecticut
St. Joseph's,Marist
San Francisco,Cleveland State
Seattle,Cal State Fullerton
Seton Hall,Kent State
Tulane,Southern
Saint Louis,Southern Illinois-Edwardsville
Stony Brook,Northeastern
Texas-Arlington,Howard Payne
Texas-Rio Grande Valley,Huston-Tillotson
Villanova,Mount St. Mary's
Winthrop,South Carolina Upstate
Jackson State,Air Force
Alabama,Texas Tech
Alabama A&M,Alabama-Huntsville
Alabama-Birmingham,Troy
American,UMBC
Belmont,Indiana State
Toledo,Boston College
UConn,Detroit
East Carolina,Chowan
Eastern Michigan,Robert Morris
Florida A&M,Stetson
Florida International,Florida College
Houston,UTSA
Iowa,Maryland-Eastern Shore
Loyola Marymount,Long Beach State
Memphis,Austin Peay
Miami (FL),Texas Southern
Mississippi State,Kennesaw State
San Diego,Morgan State
North Texas,Nicholls State
Sam Houston State,Prairie View
Rutgers,Yale
Saint Mary's (CA),North Dakota State
Arizona,San Diego State
Savannah State,Florida National University
Montana,South Dakota State
Southeastern Louisiana,Champion Baptist
Stanford,Northwestern
Towson,Temple
UC-Irvine,Washington
Wichita State,William & Mary
Youngstown State,Warren Wilson
Arizona State,Idaho State
Arkansas,Louisiana
NJIT,Army
Northwestern State,Auburn
Boise State,Simpson (CA)
South Florida,Bowling Green State
Bradley,Chicago State
BYU,Mount St. Mary's
University of California,Oakland
Charlotte,Elon
North Carolina-Asheville,College of Charleston
Duke,Florida Atlantic
Fordham,Lehigh
Florida Gulf Coast,Furman
Georgia Tech,Georgia
Hartford,Fairleigh Dickinson
Harvard,Howard
Indiana,Samford
Louisville,Cornell
McNeese State,Louisiana College
Michigan State,Columbia
Milwaukee,San Jose State
Mississippi Valley State,Champion Baptist
UNLV,Omaha
New Mexico State,UTEP
Norfolk State,Virginia Union
UNC,Holy Cross
James Madison,Northern Illinois
Oklahoma State,Arkansas-Pine Bluff
Old Dominion,Murray State
Rhode Island,North Carolina A&T
Nevada,San Francisco
USC,Northern Arizona
St. John's (NY),Wagner
UT-Martin,Rochester (MI)
Texas-Rio Grande Valley,Tennessee Tech
Texas,Stephen F. Austin
Texas A&M,Rice
Texas A&M-Corpus Christi,Fort Wayne
Cleveland State,Texas-Arlington
Utah,UC-Davis
Vanderbilt,Lipscomb
Virginia Tech,Western Carolina
Wake Forest,Presbyterian
Xavier,Morehead State
Navy,Binghamton
BYU,Mesa State
Bryant,Vermont
Bucknell,Saint Francis (PA)
Buffalo,West Virginia Wesleyan
Butler,Princeton
Cal State Fullerton,Santa Clara
UC-Riverside,Montana State
Utah State,UCSB
Pepperdine,Central Michigan
Chattanooga,Montreat
Cincinnati,Appalachian State
Citadel,North Greenville
Ole Miss,Coastal Carolina
Colorado,Jackson State
Colorado State,Weber State
Dartmouth,UMass-Lowell
Virginia,Davidson
Dayton,St. Francis (NY)
DePaul,Wright State
Eastern Kentucky,High Point
Florida,Little Rock
Florida International,Texas Southern
Fresno State,Cal State Northridge
Gardner-Webb,Jacksonville
George Mason,Northern Iowa
Georgia Southern,Toccoa Falls
Grand Canyon,Western New Mexico
Wisconsin,Green Bay
Missouri,Hawaii
Incarnate Word,Huston-Tillotson
Idaho,Northwest Nazarene
Eastern Illinois,UIC
Iona,Wofford
Fort Wayne,Texas-Rio Grande Valley
Southeast Missouri State,IUPUI
Alabama State,Jacksonville State
Milwaukee,James Madison
La Salle,Siena
Western Carolina,Liberty
Longwood,Mars Hill
LSU,Northwestern State
Loyola (MD),Fairfield
George Washington,Manhattan
Ohio State,Marquette
Mercer,Seton Hall
Middle Tennessee,Akron
Missouri State,Tulsa
North Carolina State,Campbell
North Carolina-Wilmington,Wingate
Southern,North Florida
Northeastern,Central Connecticut
Northern Illinois,San Jose State
San Diego,Northern Kentucky
Oral Roberts,Texas State
Penn State,Penn
Providence,Marist
Quinnipiac,Albany (NY)
Radford,Brevard
Minnesota,Richmond
Brown,Sacred Heart
Creighton,St. Joseph's
Saint Mary's (CA),Drake
Seattle,Evergreen State
Saint Louis,Southern Illinois
Southern Illinois-Edwardsville,Central Arkansas
St. Bonaventure,Canisius
Syracuse,Colgate
Tennessee,South Carolina Upstate
Tennessee Tech,Texas A&M-Corpus Christi
Tulane,Loyola (IL)
VCU,Winthrop
Virginia Military Institute,Bluefield State
Western Kentucky,ETSU
Wichita State,Tennessee State
Wyoming,Arkansas State
Air Force,Arkansas-Pine Bluff
Baylor,Louisiana
Boston College,Florida Atlantic
UC-Irvine,Pacifica
UCF,Bethune-Cookman
Clemson,South Carolina
UConn,Boston University
Stanford,Denver
Florida State,UT-Martin
Gonzaga,Oakland
Delaware,Hampton
Houston,Lehigh
Illinois,Bradley
Indiana,Stony Brook
Iowa,Abilene Christian
Iowa State,Michigan
Fort Wayne,Tennessee Tech
James Madison,San Jose State
Kansas State,Long Beach State
Kent State,St. Peter's
Kentucky,Robert Morris
Loyola Marymount,Northern Arizona
Oregon State,Maryland
UMBC,Mount St. Mary's
UMass,Youngstown State
Morehead State,Marshall
Nebraska,South Carolina State
NJIT,New Hampshire
New Mexico,Charleston Southern
Belmont,UNC
North Carolina-Greensboro,Chowan
Milwaukee,Northern Illinois
Illinois State,Northwestern
Indiana State,Notre Dame
Ohio,Valparaiso
Pacific,Western Illinois
Pitt,Howard
Purdue,Rider
Texas A&M-Corpus Christi,Texas-Rio Grande Valley
UTEP,West Alabama
Villanova,Towson
Washington,Eastern Washington
Washington State,Lamar
West Virginia,Duquesne
Western Michigan,Alabama A&M
Alabama,Stillman
Alabama State,Chicago State
Alcorn State,Dillard
Arizona,Fairleigh Dickinson
Arkansas,SMU
Ball State,Southeast Missouri State
Cal State Bakersfield,Nevada
University of California,Southern Utah
North Carolina Central,Campbell
Miami (FL),College of Charleston
Colorado,Arkansas State
Wagner,Coppin State
Drexel,Elon
Duke,North Carolina-Asheville
East Carolina,Norfolk State
Eastern Michigan,Cleveland State
Evansville,Mercer
Florida,Southern
Florida Gulf Coast,Eckerd
Florida International,Stetson
Georgia State,McNeese State
North Carolina-Wilmington,Liberty
Louisiana-Monroe,Samford
Rhode Island,Metropolitan State
Michigan State,Portland
Middle Tennessee,Little Rock
Southern Miss,North Dakota State
North Florida,Savannah State
Presbyterian,Toccoa Falls
Providence,Vermont
Rutgers,Canisius
Idaho State,San Francisco
Seton Hall,Monmouth
South Alabama,William Carey
South Dakota State,Southwest State (MN)
Syracuse,St. Francis (NY)
Tennessee,Citadel
Lipscomb,Tennessee State
Texas,Houston Baptist
McMurry,UTSA
Texas Tech,Texas Southern
Toledo,Florida A&M
UCLA,Sacramento State
Virginia Tech,Virginia Military Institute
Wake Forest,Jacksonville
Wright State,Manchester
Wyoming,Jackson State
Alabama,Georgia State
Appalachian State,Lees-McRae
Arizona,Rhode Island
Delaware,Army
Auburn,Jacksonville State
Austin Peay,Southern Illinois
Bethune-Cookman,Trinity (FL)
Boise State,Seattle
Butler,Vanderbilt
Canisius,Elon
Kennesaw State,Chattanooga
Duke,East Carolina
Winthrop,ETSU
Eastern Kentucky,Alabama A&M
Eastern Washington,Walla Walla
Metropolitan State,Fairleigh Dickinson
Gardner-Webb,Allen
George Mason,Saint Francis (PA)
George Washington,Delaware State
Incarnate Word,Northwood (TX)
IUPUI,Indiana-Northwest
Detroit,James Madison
Kansas,Iona
Kentucky,Texas-Arlington
LSU,New Orleans
Louisville,Hartford
Loyola (IL),Rockhurst
NJIT,Maine
Brown,UMass-Lowell
McNeese State,Stillman
DePaul,Milwaukee
Minnesota,Coastal Carolina
Mississippi State,Mississippi Valley State
Murray State,Bethel (TN)
Omaha,South Carolina State
Arizona State,UNLV
Norfolk State,North Carolina-Asheville
Morehead State,Northern Kentucky
Oklahoma State,Memphis
Oregon,Utah Valley
Penn State,La Salle
Richmond,Hofstra
Drexel,Rutgers
Siena,St. Bonaventure
USC,Cal State Fullerton
St. John's (NY),Bucknell
Texas A&M,Prairie View
Texas Christian,Abilene Christian
UTEP,Colorado State
Troy,Nicholls State
Virginia,Navy
Wisconsin,North Dakota
Yale,Sacred Heart
Air Force,Colorado Christian
Baylor,Charleston Southern
Belmont,Lipscomb
Iowa State,BYU
Louisiana Tech,Central Arkansas
Cincinnati,Campbell
Colgate,Cornell
Duquesne,Albany (NY)
Evansville,Valparaiso
Holy Cross,Fairfield
Fresno State,Cal Poly
Dayton,Georgia Tech
Harvard,Bryant
Northwestern,UIC
Manhattan,Illinois State
Fort Wayne,Purdue Calumet
Loyola (MD),UMBC
Maryland-Eastern Shore,Mount St. Mary's
Mercer,Johnson & Wales (NC)
Missouri State,Grambling
Ohio,Morgan State
New Mexico State,Northern Colorado
North Carolina-Greensboro,Greensboro
North Carolina Central,North Carolina State
Ohio State,American
San Jose State,Pepperdine
Pitt,Lehigh
Princeton,Lafayette
Purdue,Eastern Illinois
Quinnipiac,Hampton
Sam Houston State,Jarvis Christian
San Diego State,San Diego Christian
SMU,Texas State
UMKC,UT-Martin
Rice,Texas A&M-Corpus Christi
Tulane,Cedarville
Wichita State,Tulsa
Virginia Military Institute,Bridgewater (VA)
North Dakota State,Western Michigan
High Point,William & Mary
Xavier,Miami (OH)
Youngstown State,Thiel
New Mexico,Alabama-Birmingham
Florida International,Bethune-Cookman
UConn,Boston College
Cal State Northridge,Montana State
Central Michigan,Austin Peay
Charlotte,Kansas State
Clemson,Temple
Colorado,UCSB
Columbia,North Texas
Davidson,Georgia
ETSU,Samford
Florida,Middle Tennessee
Florida State,VCU
Northeastern,Georgetown
Gonzaga,Washington State
Hawaii,Hawaii-Hilo
Houston,Howard
Indiana,Washington
Kent State,Western Carolina
Lamar,Savannah State
Michigan,Long Beach State
Marquette,New Hampshire
Stephen F. Austin,Marshall
UMass,Nebraska
UCF,Miami (FL)
Minnesota,Wofford
South Carolina Upstate,Niagara
North Florida,Webber
Louisiana-Monroe,Northwestern State
Old Dominion,Presbyterian
Portland,Idaho
Robert Morris,Texas-Arlington
Saint Louis,Oral Roberts
San Diego,San Diego Christian
USC,West Alabama
Southern Illinois,Missouri S&T
Stanford,Texas Southern
Tennessee Tech,Indiana-Kokomo
Texas-Rio Grande Valley,UTSA
Texas Tech,South Dakota State
Utah,Grand Canyon
Wagner,Vermont
Wake Forest,Citadel
West Virginia,Georgia Southern
Western Illinois,Eureka
Western Kentucky,North Carolina-Wilmington
Wisconsin,Bowling Green State
Abilene Christian,Western New Mexico
Alabama-Birmingham,Nebraska
Arizona State,Bradley
Cal State Northridge,Austin Peay
Boston College,Washington
Eastern Washington,Boston University
UC-Davis,Southern Illinois-Edwardsville
UC-Irvine,LIU-Brooklyn
Montana State,Central Michigan
Charlotte,Northeastern
Clemson,Davidson
Colorado State,Northern Colorado
UConn,Indiana
Siena,Cornell
Detroit,Florida Atlantic
Eastern Kentucky,Brescia
Michigan,Florida State
Georgetown,Kansas State
Temple,Georgia
Grand Canyon,Savannah State
Wright State,Houston Baptist
Idaho,North Texas
Illinois,Chicago State
Indiana State,Truman State
Iowa,Penn
Jacksonville State,Dalton State
Kansas,Towson
Kent State,South Carolina Upstate
La Salle,Morgan State
VCU,Long Beach State
Brown,Longwood
LSU,Southeastern Louisiana
Northern Iowa,Loyola Marymount
Maryland,Marist
UMass,New Mexico
Michigan State,Virginia Tech
Ole Miss,Mississippi Valley State
San Francisco,Montana
Nevada,Chattanooga
Western Carolina,Niagara
North Carolina Central,Appalachian State
Northwestern,IUPUI
Notre Dame,Santa Clara
Oklahoma,Seton Hall
Portland,Columbia
Portland State,Loyola (IL)
Providence,Vanderbilt
Southern Miss,South Alabama
South Florida,Stetson
Southeast Missouri State,Mid-Continent
Little Rock,Southern
Incarnate Word,Southwestern (TX)
St. John's (NY),Monmouth
Toledo,Stony Brook
Tennessee,Tennessee State
Jackson State,UT-Martin
UCLA,Morehead State
Utah,Lamar
Villanova,Delaware
Wyoming,South Dakota
Abilene Christian,Northern New Mexico
Bucknell,Albany (NY)
Auburn,Murray State
Austin Peay,Montana State
Butler,Ball State
Belmont,Holy Cross
Radford,Binghamton
Cal Poly,Bethesda
Cal State Bakersfield,Idaho State
UC-Davis,Loyola (IL)
Boston University,UC-Irvine
Rider,Central Connecticut
Central Michigan,Cal State Northridge
Cleveland State,Robert Morris
Coastal Carolina,St. Francis (NY)
Colgate,Saint Francis (PA)
College of Charleston,Furman
Columbia,Idaho
Creighton,Tulsa
Toledo,Detroit
Drake,Omaha
ETSU,Stephen F. Austin
Eastern Illinois,Roosevelt
Eastern Michigan,Texas-Arlington
Eastern Washington,LIU-Brooklyn
Evansville,Anderson (IN)
Louisville,Fairfield
St. Peter's,Fairleigh Dickinson
Stony Brook,Florida Atlantic
Florida Gulf Coast,Ave Maria
Sacred Heart,Fordham
Grand Canyon,Lamar
Green Bay,Minnesota-Duluth
Hofstra,Hartford
Southern Miss,Houston Baptist
Iona,George Mason
Jacksonville,Florida A&M
Kent State,Niagara
Louisiana,Oakland
Loyola Marymount,Marist
Marshall,North Carolina-Wilmington
Memphis,Nicholls State
Mercer,Yale
Wilmington (OH),Miami (OH)
Michigan State,Oklahoma
Missouri,Gardner-Webb
Vanderbilt,Morgan State
Mount St. Mary's,American
Navy,UMBC
Boise State,New Orleans
NJIT,Lafayette
UNC,Richmond
Northern Arizona,San Diego Christian
Ohio,Heidelberg
Old Dominion,Georgia Southern
Pacific,Fresno State
Pepperdine,Utah Valley
North Texas,Portland
Portland State,Southern Illinois-Edwardsville
Rhode Island,UMass-Lowell
Princeton,Rice
William & Mary,Rutgers
Saint Louis,Bowling Green State
San Jose State,Cal State Fullerton
Seton Hall,Virginia Tech
South Alabama,Wright State
South Carolina State,Voorhees
South Carolina Upstate,Western Carolina
UC-Riverside,Southern Utah
Milwaukee,Tennessee Tech
New Mexico State,UTEP
UTSA,Texas A&M-Corpus Christi
Northern Kentucky,Tulane
Utah,Savannah State
Utah State,Mississippi State
Valparaiso,James Madison
Virginia,Liberty
West Virginia,Presbyterian
Western Kentucky,Samford
Winthrop,Virginia Intermont
Wisconsin,Oral Roberts
Youngstown State,Westminster (PA)
Temple,Alabama-Birmingham
Arkansas State,Central Arkansas
Belmont,Hofstra
Boston University,LIU-Brooklyn
UC-Irvine,Eastern Washington
Charlotte,Michigan
UMass,Clemson
Louisiana,Coastal Carolina
Colorado,Harvard
New Mexico,Davidson
Stony Brook,Detroit
Duke,Vermont
Richmond,Fairfield
Toledo,Florida Atlantic
Florida State,Northeastern
Georgetown,VCU
Nebraska,Georgia
Georgia Tech,North Carolina A&T
Holy Cross,Hartford
High Point,Wofford
Kansas State,Long Beach State
Fort Wayne,Kennesaw State
Providence,La Salle
UNC,Louisville
Loyola (IL),Southern Illinois-Edwardsville
Maryland,Northern Iowa
Missouri State,Hampton
Morehead State,Nevada
Bryant,New Hampshire
North Dakota,North Dakota State
Northern Illinois,Saint Joseph's (IN)
Notre Dame,Army
St. Francis (NY),Oakland
Oregon,San Francisco
Penn State,Longwood
Portland State,UC-Davis
Purdue,Siena
Saint Mary's (CA),Alcorn State
South Alabama,Houston Baptist
South Carolina,Florida International
SMU,Arkansas-Pine Bluff
Southern Miss,William Carey
Texas A&M,Sam Houston State
UCLA,Chattanooga
Texas Christian,Washington State
Jacksonville State,Alabama A&M
Arizona State,Marquette
University of California,Arkansas
BYU,Texas
Canisius,Georgia State
Baylor,Chaminade
Citadel,Montreat
Colorado State,Prairie View
Coppin State,Ohio Valley
Radford,Cornell
Dayton,Gonzaga
Delaware,Delaware State
Wichita State,DePaul
East Carolina,McNeese State
Metropolitan State,Elon
Norfolk State,Fairleigh Dickinson
Fresno State,San Diego Christian
Stanford,Houston
UIC,San Diego
Iowa State,UMKC
Florida,Jacksonville
Kentucky,Cleveland State
Northern Iowa,La Salle
Lehigh,Texas Southern
Louisiana Tech,North Carolina-Greensboro
Vanderbilt,Loyola Marymount
Quinnipiac,Maine
Morgan State,Marist
Maryland,Providence
Syracuse,Minnesota
Missouri,IUPUI
New Mexico State,Bethune-Cookman
Northwestern,Gardner-Webb
Ohio State,Wyoming
Pitt,Texas Tech
Rhode Island,North Carolina-Asheville
Rutgers,Stillman
Seattle,UC-Riverside
Omaha,South Carolina State
South Carolina Upstate,Bob Jones University
South Dakota State,Howard
Oklahoma State,South Florida
Southern,Blue Mountain College
St. Bonaventure,Southern Illinois
Wagner,Stetson
Lipscomb,UT-Martin
South Dakota,Texas State
Xavier,Abilene Christian
Arkansas,Minnesota
Little Rock,Southern Arkansas
Auburn,Tennessee State
Baylor,Dayton
Belmont,Brescia
Boston College,Sacred Heart
Bowling Green State,Presbyterian
Wichita State,BYU
Buffalo,Robert Morris
Syracuse,University of California
Sacramento State,UC-Davis
Metropolitan State,Canisius
Central Arkansas,Troy
Gonzaga,Chaminade
Charleston Southern,Trinity (FL)
Cincinnati,UMass-Lowell
Columbia,American
UConn,Loyola (MD)
Texas,DePaul
East Carolina,North Carolina-Asheville
Elon,Georgia State
Oral Roberts,Georgia Southern
Georgia Tech,Mississippi Valley State
Texas Tech,Houston
Texas Southern,Howard
Louisiana Tech,UIC
Indiana,Evansville
Kennesaw State,Truett-McConnell
Yale,Lafayette
South Dakota State,Lehigh
Fordham,Manhattan
Marshall,Western Kentucky
Milwaukee,Judson
Ole Miss,North Carolina A&T
Missouri State,Liberty
Montana State,Cal State Northridge
Mount St. Mary's,Bucknell
Middle Tennessee,Murray State
Navy,Maryland-Eastern Shore
Illinois,UNLV
Nicholls State,UTSA
Central Connecticut,NJIT
Norfolk State,Stillman
North Carolina Central,Barber-Scotia
San Diego,North Carolina-Greensboro
North Carolina State,Florida Gulf Coast
North Carolina-Wilmington,Campbellsville
