Winner,Loser
Western Illinois,Savannah State
Cal Poly,Seattle
Seton Hall,Cornell
St. Bonaventure,Little Rock
Stony Brook,Mount Ida College
Syracuse,Canisius
Temple,Toledo
UTEP,Mercer
Wisconsin,Prairie View
Alabama,Troy
American,Albany (NY)
Central Connecticut,Army
Bowling Green State,Ohio Dominican
Montana State,Cal State Fullerton
UC-Riverside,Pomona-Pitzer
UCF,Jackson State
Austin Peay,Chattanooga
Cincinnati,Mount St. Mary's
Clemson,Wofford
Cleveland State,Urbana
Columbia,Maryland-Eastern Shore
East Carolina,Campbell
Elon,TCNJ
Florida A&M,Southeastern
Florida International,Barry
Fordham,Sacred Heart
Georgetown,Tulane
Georgia Southern,Carver Bible
UIC,Roosevelt
Kansas,Valparaiso
Kennesaw State,Georgia Tech
Lehigh,Wagner
Lipscomb,Stillman
Long Beach State,San Francisco State
Louisiana,Louisiana College
Marshall,Glenville State
Memphis,Miami (FL)
Minnesota,Siena
Murray State,ETSU
Nebraska,Arkansas-Pine Bluff
Pacific,Nevada
New Mexico State,Western New Mexico
NJIT,NYU-Poly
Northwestern State,Houston Baptist
Oakland,Ohio
Oklahoma,North Carolina Central
Old Dominion,High Point
Providence,Yale
Richmond,William & Mary
Rutgers,Fairfield
Saint Francis (PA),Colgate
Saint Louis,Rockhurst
Sam Houston State,Northwest Oklahoma State
Samford,Tennessee Wesleyan
South Florida,St. Francis (NY)
USC,Santa Clara
California Baptist,Southern Utah
Stanford,San Diego
Stephen F. Austin,Longwood
UT-Martin,Centenary (LA)
Tennessee State,Fisk
Texas A&M,Texas A&M-Corpus Christi
UCLA,Pepperdine
Virginia,South Carolina Upstate
VCU,Winthrop
Wake Forest,Hampton
Western Kentucky,Alabama A&M
Appalachian State,Montreat
Baylor,La Salle
Bethune-Cookman,Stetson
Bradley,Northern Illinois
University of California,Cal State Northridge
UMKC,Central Arkansas
Charleston Southern,Citadel
College of Charleston,Coastal Carolina
New Hampshire,Dartmouth
Dayton,Akron
Western Carolina,DePaul
Duke,Miami (OH)
Ohio State,Florida
Florida Gulf Coast,Southeast Missouri State
Florida State,Gardner-Webb
Furman,North Carolina-Asheville
Boston University,George Washington
Georgia,Colorado
San Diego State,Gonzaga
Hawaii,Central Michigan
Indiana,Mississippi Valley State
Iowa,Louisiana-Monroe
IUPUI,Indiana-Northwest
Jacksonville,Savannah State
Kansas State,Virginia Tech
Kent State,Robert Morris
Nicholls State,LSU
Louisville,Butler
McNeese State,Georgia State
Michigan State,South Carolina
Missouri State,Arkansas State
Stony Brook,Monmouth
Navy,Neumann
Pepperdine,Nevada
New Mexico,Arizona State
Norfolk State,Jacksonville State
North Carolina A&T,North Carolina Wesleyan
North Carolina-Wilmington,Liberty
North Texas,Texas Tech
Northern Arizona,Alabama State
Northern Colorado,Wyoming
Northern Iowa,Coe
Penn State,St. Joseph's
Prairie View,Arlington Baptist
Quinnipiac,Hartford
Rhode Island,Brown
Sacramento State,Bethany (CA)
Saint Mary's (CA),St. John's (NY)
South Carolina State,Anderson (SC)
Northeastern,Southern Illinois
Syracuse,Detroit
Tennessee,Belmont
Texas-Arlington,Texas-Tyler
Texas Christian,SMU
LIU-Brooklyn,Texas State
Towson,Coppin State
Tulsa,Oral Roberts
UCLA,Pacific
Villanova,Marist
Virginia Military Institute,Virginia Wise
VCU,Wake Forest
Washington,Eastern Washington
Washington State,Idaho
Weber State,Colorado Christian
Wichita State,Texas Southern
Hampton,Winthrop
Wisconsin,North Dakota
Xavier,Fort Wayne
Youngstown State,Buffalo
Colorado College,Air Force
American,Maryland-Eastern Shore
Little Rock,St. Gregory's
Belmont,Arkansas State
Ball State,Indiana State
Bradley,Loyola Marymount
BYU,Utah State
Bucknell,Binghamton
Southern Utah,Cal State Bakersfield
UC-Davis,UC-Santa Cruz
Arkansas-Monticello,Centenary (LA)
UConn,Vermont
Cornell,Delaware
Creighton,Louisiana
Eastern Kentucky,Southern Illinois-Edwardsville
Eastern Michigan,Madonna
Evansville,UTSA
Florida Atlantic,Warner Southern
Fresno State,Vanguard
George Washington,Marist
Georgia Tech,Albany (NY)
Harvard,Holy Cross
Illinois State,Tennessee State
Iowa State,Drake
Chattanooga,Kennesaw State
Lafayette,Saint Francis (PA)
Louisiana Tech,Houston
Loyola (MD),UMBC
Manhattan,Penn
Marquette,Green Bay
UMass,Sacred Heart
Memphis,Northwestern State
Alabama-Birmingham,Middle Tennessee
Ole Miss,Murray State
UNLV,Southeastern Louisiana
Milwaukee,Niagara
Notre Dame,Chicago State
Oklahoma State,Texas A&M-Corpus Christi
Purdue,Alcorn State
San Jose State,San Francisco
Seattle,Oregon State
South Dakota,South Dakota School of Mines
Southern,Auburn Montgomery
Rider,USC
Southern Miss,South Alabama
St. John's (NY),Columbia
Tennessee,Missouri State
Northwestern,Texas-Rio Grande Valley
Utah,Montana
Villanova,Boston University
Wright State,Northwood (MI)
Arizona,New Mexico State
Arkansas,Grambling
Baylor,Jackson State
Yale,Boston College
Cal State Monterey Bay,Cal Poly
UCF,South Florida
Charleston Southern,Montreat
George Mason,Charlotte
Colorado State,Denver
Eastern Washington,Northwest Washington
Stony Brook,Fairleigh Dickinson
Florida,North Carolina A&T
Florida A&M,Savannah State
Florida State,Florida International
Gardner-Webb,Virginia Intermont
Georgetown,Coastal Carolina
Georgia Southern,Reinhardt
Iona,Richmond
Kansas State,Presbyterian
La Salle,Prairie View
Liberty,Southern Virginia
Lipscomb,Austin Peay
Longwood,Virginia Wise
LSU,UT-Martin
Loyola (IL),Eastern Illinois
Pitt,Maryland
Michigan,Bowling Green State
Minnesota,Western Kentucky
Missouri,Western Illinois
Army,NJIT
UNC,Hofstra
North Carolina State,East Carolina
North Carolina-Wilmington,Morehead State
Oklahoma,Texas Southern
Providence,Morgan State
Saint Mary's (CA),Point Loma Nazarene
Santa Clara,Rice
South Dakota State,Southwest Minnesota State
Stanford,Virginia
Texas,Illinois
Valparaiso,Purdue North Central
Vanderbilt,Nebraska
Virginia Military Institute,Jacksonville State
West Virginia,Davidson
Wofford,South Carolina Upstate
North Florida,Wyoming
Samford,Auburn
Boston University,Marist
UC-Irvine,Navy
Charlotte,East Carolina
Clemson,Long Beach State
Rhode Island,College of Charleston
St. Bonaventure,Cornell
Delaware,Howard
Detroit,Indiana Tech
Duke,Colgate
Hampton,Fordham
North Carolina State,George Mason
Georgia State,Troy
Georgia Tech,Niagara
Dartmouth,Hartford
High Point,Gwynedd-Mercy
Idaho State,Great Falls
Illinois,Maryland
Kansas,North Texas
Kent State,Furman
Lamar,UC-Riverside
Cleveland State,Louisiana
Louisiana Tech,Seattle
Maine,Maine-Machias
Miami (FL),North Carolina Central
Campbell,Middle Tennessee
Minnesota,UNC
Mississippi State,Appalachian State
Monmouth,Lehigh
Montana,Montana Tech
Montana State,Minot State
Davidson,Nebraska
North Dakota,Sacramento State
Northern Arizona,Southwestern (AZ)
Northwestern,Arkansas-Pine Bluff
Old Dominion,St. Peter's
Penn State,Fairfield
Kentucky,Portland
Robert Morris,Duquesne
Boise State,San Diego
Seton Hall,Alabama
South Carolina,Radford
South Carolina State,Carver Bible
Coastal Carolina,South Carolina Upstate
Tougaloo,Southern
SMU,Portland State
Pitt,Texas
Texas A&M,Texas A&M-International
UTSA,Cameron
Texas Tech,Stephen F. Austin
UIC,Toledo
Tulane,Centenary (LA)
Tulsa,Missouri State
West Virginia,Vanderbilt
Western Kentucky,Hofstra
Georgetown,Wofford
Xavier,Iowa
Air Force,Tennessee State
Akron,Youngstown State
Alabama A&M,Tuskegee
Alabama State,Kennesaw State
Arizona State,Alabama-Birmingham
Campbell,Auburn
BYU,Chicago State
Brown,Sacred Heart
Army,Bryant
Buffalo,Towson
Butler,Ball State
Cal State Northridge,Vanguard
University of California,New Mexico
UC-Irvine,Seattle
UCSB,Fresno State
Canisius,Eastern Michigan
Cincinnati,Fort Wayne
James Madison,Citadel
ETSU,Tennessee Tech
Eastern Illinois,Indiana-South Bend
Presbyterian,Eastern Kentucky
Wake Forest,Elon
Albany (NY),Fairleigh Dickinson
American,Florida Atlantic
Florida International,Utah Valley
Florida Gulf Coast,Grambling
Hawaii,Central Arkansas
Houston,Northwest Oklahoma State
Texas-Arlington,Houston Baptist
Portland,Idaho
College of Charleston,UIC
Iowa,Alabama
Jacksonville,Florida Tech
La Salle,Morgan State
Long Beach State,St. Peter's
Longwood,Columbia
Louisiana-Monroe,Southeastern Oklahoma State
Louisville,Jackson State
Loyola Marymount,Dowling
LIU-Brooklyn,Manhattan
Marquette,South Dakota
Chattanooga,Marshall
Central Connecticut,UMBC
Maryland-Eastern Shore,Kean
UMass,New Mexico State
McNeese State,Louisiana College
Harvard,Mercer
Miami (OH),IUPUI
Milwaukee,Northern Iowa
Dayton,Ole Miss
Missouri,North Florida
UMKC,Southeast Missouri State
Mount St. Mary's,Savannah State
Murray State,Reinhardt
Louisiana Tech,Navy
UNLV,Wisconsin
New Hampshire,Holy Cross
North Carolina-Asheville,Virginia Intermont
North Dakota State,Mayville State
Siena,Northeastern
Northwestern State,UT-Martin
Ohio State,North Carolina-Wilmington
Indiana State,Oral Roberts
San Jose State,Oregon
Pacific,William Jessup
Drexel,Penn
Cal State Bakersfield,Pepperdine
Portland State,Lamar
Providence,Prairie View
Vermont,Quinnipiac
Saint Francis (PA),Bucknell
St. Joseph's,Norfolk State
Georgia,Saint Louis
Middle Tennessee,Samford
San Diego State,Green Bay
San Francisco,Colorado
South Alabama,Central Michigan
Bradley,USC
Southern Illinois-Edwardsville,MacMurray
UC-Riverside,SMU
Utah State,Southern Utah
Rider,Texas Christian
UTEP,Western Carolina
Texas State,Texas-Rio Grande Valley
Rhode Island,Toledo
Utah,Weber State
Villanova,Lafayette
Loyola (IL),Western Michigan
Wyoming,Western Illinois
Arizona,Northern Colorado
Little Rock,Illinois State
Auburn,Middle Tennessee
St. Bonaventure,Binghamton
Texas Christian,Bradley
Boise State,UC-Davis
Louisiana Tech,UC-Irvine
Portland State,UC-Riverside
Coastal Carolina,Charlotte
Old Dominion,Clemson
East Carolina,South Carolina Upstate
Florida,Morehead State
Nebraska,Hofstra
Indiana,Evansville
Iowa State,Creighton
San Diego State,IUPUI
Loyola (MD),Dartmouth
Memphis,LSU
Green Bay,Miami (OH)
Michigan,Gardner-Webb
Montana State,Cal Poly
USC,New Mexico State
Vanderbilt,UNC
Virginia Tech,North Carolina-Greensboro
Georgetown,North Carolina State
Northern Illinois,Cardinal Stritch
Ohio,Texas A&M-Corpus Christi
Oklahoma State,Nicholls State
Texas Southern,Oregon State
Purdue,Oakland
UIC,Rhode Island
Rice,St. Gregory's
Richmond,Charleston Southern
Rider,Loyola Marymount
Rutgers,Miami (FL)
Saint Mary's (CA),Mississippi Valley State
Samford,Campbell
Cal State Fullerton,San Diego
Santa Clara,Bethune-Cookman
Seattle,Navy
South Florida,Georgia Southern
Southern Illinois,Austin Peay
SMU,Lamar
St. Francis (NY),Howard
Stanford,Arkansas-Pine Bluff
Wagner,Stony Brook
Syracuse,William & Mary
Texas Tech,Liberty
College of Charleston,Toledo
Minnesota,West Virginia
Davidson,Western Kentucky
Wofford,George Mason
Wright State,Southern
Xavier,Seton Hall
St. Peter's,Alabama
Arkansas,Florida Gulf Coast
Baylor,Lipscomb
Belmont,Marist
Boston College,Holy Cross
Hampton,Boston University
Duquesne,Bowling Green State
Bucknell,Presbyterian
Northwestern State,Centenary (LA)
Michigan State,Chaminade
Cincinnati,Florida A&M
UConn,Wichita State
Dayton,Savannah State
Elon,Hampden-Sydney
George Washington,Nevada
Kansas State,Gonzaga
IUPUI,Green Bay
Long Beach State,Iowa
Southeastern Louisiana,Jacksonville State
James Madison,Princeton
Northern Arizona,Kennesaw State
Kentucky,Oklahoma
Lehigh,Cornell
Longwood,Montreat
Louisville,Chattanooga
Loyola (IL),Alabama State
Duke,Marquette
Marshall,Jackson State
San Diego State,Miami (OH)
Mississippi State,Detroit
Missouri State,Pepperdine
Montana,Idaho
Niagara,Mount St. Mary's
Notre Dame,Maine
Pacific,Arkansas State
Penn State,Central Connecticut
Clemson,Seton Hall
Grambling,Southeast Missouri State
Southern Miss,McNeese State
Texas-Arlington,Hardin-Simmons
UMass,Texas Christian
UTSA,Troy
Tulane,Maryville (MO)
Winthrop,Wake Forest
Washington,Virginia
Western Carolina,Warren Wilson
Old Dominion,Xavier
Alabama-Birmingham,South Alabama
Iona,Albany (NY)
Arizona,Bethune-Cookman
Army,Binghamton
Belmont,Winthrop
BYU,Mississippi Valley State
Buffalo,Canisius
Central Arkansas,Champion Baptist
Wichita State,Chaminade
Citadel,High Point
Coastal Carolina,North Carolina Wesleyan
Colorado,Alcorn State
Columbia,Colgate
Coppin State,UMBC
Quinnipiac,Dartmouth
Eastern Kentucky,Cincinnati Christian
St. Joseph's,Fairfield
Florida,Florida Atlantic
Florida State,Mercer
LIU-Brooklyn,Fordham
Hampton,George Washington
Georgia State,Utah Valley
Houston,Louisiana
American,Howard
Illinois,Yale
Indiana,North Carolina Central
James Madison,Presbyterian
Kansas,Texas A&M-Corpus Christi
Duke,Kansas State
Kent State,Urbana
Stephen F. Austin,Louisiana-Monroe
Gonzaga,Marquette
Maryland,Delaware State
Memphis,UT-Martin
UConn,Michigan State
Western Michigan,Milwaukee
Missouri,Wyoming
Missouri State,Pacific
Morgan State,Western Illinois
Boston University,Nevada
UNC,North Carolina-Asheville
North Carolina A&T,North Carolina-Wilmington
Fort Wayne,North Dakota
North Florida,Prairie View
North Texas,Rice
Ohio,Valparaiso
Ohio State,Morehead State
Oregon,Texas Southern
Penn,Lafayette
Pepperdine,Arkansas State
Pitt,Robert Morris
Princeton,Bucknell
La Salle,Providence
Purdue,Austin Peay
Richmond,Southern
Rutgers,Norfolk State
UC-Davis,Sacramento State
Sacred Heart,New Hampshire
Saint Louis,Tennessee State
Saint Mary's (CA),Chicago State
Santa Clara,Northern Colorado
Butler,Siena
South Carolina,South Carolina Upstate
Furman,South Carolina State
South Dakota State,Idaho State
South Florida,Liberty
Southern Illinois,Charleston Southern
UCF,Stetson
Texas,Sam Houston State
UTEP,New Mexico State
Lamar,Texas-Rio Grande Valley
Texas Tech,Georgia Southern
Virginia,Oklahoma
Virginia Military Institute,Southern Virginia
Wake Forest,Marist
Kentucky,Washington
Washington State,Portland
Wright State,Oakland
Cleveland State,Akron
Arkansas,Southeast Missouri State
Boise State,Eastern Washington
Eastern Illinois,Bradley
Brown,St. Francis (NY)
Harvard,Bryant
Cal Poly,Loyola Marymount
Cal State Bakersfield,San Jose State
Chaminade,Oklahoma
Jackson State,Chattanooga
Cincinnati,Savannah State
Dayton,Florida A&M
Denver,Alcorn State
Drake,Southern Utah
East Carolina,Lenoir-Rhyne
George Mason,Radford
Hartford,Saint Francis (PA)
Hawaii,Arkansas-Pine Bluff
Central Michigan,UIC
Iowa State,Kennesaw State
James Madison,Bucknell
UConn,Kentucky
Missouri,La Salle
LSU,Centenary (LA)
Northern Illinois,Maryland-Eastern Shore
UMass,American International
Miami (FL),McNeese State
Middle Tennessee,Evansville
Minnesota,North Dakota State
UMKC,Southern Illinois-Edwardsville
Montana State,San Francisco
New Mexico,Northwood (MI)
North Florida,Morgan State
Oral Roberts,Little Rock
Oregon State,Charlotte
Western Illinois,Prairie View
Presbyterian,Princeton
Providence,Wyoming
Rhode Island,Drexel
Jacksonville,Samford
USC,Cal State Fullerton
SMU,Wayland Baptist
Tennessee,VCU
Texas-Rio Grande Valley,SUNY-Cobleskill
Our Lady of the Lake,Texas State
Navy,Towson
Utah State,Utah
Vanderbilt,Grambling
Vermont,Loyola (MD)
Villanova,UCLA
Wichita State,Virginia
Michigan State,Washington
Air Force,Wofford
Youngstown State,Toledo
Weber State,Alaska-Anchorage
Arizona State,Houston Baptist
Virginia Tech,Cal State Northridge
University of California,Temple
Wisconsin,Manhattan
UNLV,Tulsa
Notre Dame,Georgia
Oklahoma State,DePaul
St. John's (NY),Ball State
Murray State,Stanford
Boston College,Texas A&M
Alaska-Anchorage,Houston Baptist
Arizona,Santa Clara
Alabama-Birmingham,Arkansas
Little Rock,Louisiana Tech
Austin Peay,Charleston Southern
Ball State,Southern Utah
Texas A&M-Corpus Christi,Bethune-Cookman
BYU,South Florida
Cal State Northridge,DePaul
Notre Dame,University of California
Clemson,South Carolina State
Creighton,Kennesaw State
Delaware State,Philadelphia Biblical
Detroit,Albany (NY)
Fairfield,Norfolk State
Washington State,Fresno State
Chicago State,Georgia Southern
Hofstra,Wagner
Illinois State,South Dakota
Indiana,Northwestern State
Iowa,Southern Illinois-Edwardsville
Louisiana-Monroe,Jacksonville State
Kansas,Ohio
Kansas State,Texas Southern
Kent State,Lehigh
Liberty,Mississippi Valley State
Texas A&M,Manhattan
Maryland,Elon
Syracuse,Michigan
Ole Miss,Penn State
Mississippi State,Troy
UNLV,Murray State
Niagara,Bowling Green State
Nicholls State,Tulane
North Carolina A&T,Greensboro
Oakland,Southern
Ohio State,Miami (OH)
Virginia Tech,Oklahoma State
Purdue,Southern Illinois
Richmond,Wright State
Siena,Rider
St. Joseph's,Rutgers
San Diego State,San Diego Christian
St. John's (NY),Drake
Palm Beach Atlantic,Stetson
Temple,Georgia
Georgia Tech,UTEP
Saint Mary's (CA),Texas Tech
Tulsa,Stanford
VCU,UCLA
Utah Valley,La Sierra
Valparaiso,Northern Colorado
Tennessee,Villanova
Arizona State,Weber State
Mercer,Western Carolina
William & Mary,Gardner-Webb
Wisconsin,Boston College
Alabama,Alabama A&M
Alaska-Anchorage,Ball State
Albany (NY),Niagara
St. John's (NY),Arizona State
Jacksonville,Auburn
Oakland,Austin Peay
Northern Colorado,Bethune-Cookman
Boise State,Denver
Boston University,Cornell
BYU,Saint Mary's (CA)
Evansville,Butler
Cal State Fullerton,Cal State Bakersfield
UC-Davis,Seattle
Campbell,Longwood
Central Connecticut,Monmouth
UCF,Alabama State
Charleston Southern,Southern
Charlotte,Radford
Liberty,Chicago State
Cincinnati,Dayton
Cleveland State,St. Bonaventure
Coastal Carolina,Citadel
Sam Houston State,Colorado State
Dartmouth,Colgate
Detroit,Bowling Green State
Duquesne,UMBC
East Carolina,North Carolina-Greensboro
ETSU,Milligan
Idaho,Eastern Washington
Miami (FL),Florida Gulf Coast
Florida International,Chattanooga
Fordham,Hartford
Gardner-Webb,Western Carolina
George Mason,Florida Atlantic
Georgetown,North Carolina-Asheville
Mississippi Valley State,Georgia Southern
Samford,Georgia State
Syracuse,Georgia Tech
Green Bay,North Dakota State
Southern Utah,Houston Baptist
Oregon State,Howard
Illinois State,Louisiana-Monroe
Indiana State,Buffalo
Iowa State,Montana State
Fort Wayne,Judson
James Madison,Eastern Michigan
Kansas,Arizona
Delaware,Lafayette
Lamar,St. Gregory's
Loyola Marymount,Long Beach State
Louisville,Marshall
UC-Irvine,Marist
UMass,Holy Cross
Marquette,Milwaukee
Mount St. Mary's,Florida A&M
Maryland-Eastern Shore,Navy
Nebraska,USC
New Hampshire,Brown
North Carolina Central,Allen
North Carolina State,Fairleigh Dickinson
Northern Iowa,North Dakota
Ohio,Santa Clara
Duke,Oregon
Pitt,Penn
Portland,UCSB
Rhode Island,Davidson
Richmond,Purdue
Sacramento State,Cal Poly
Saint Louis,IUPUI
St. Peter's,LIU-Brooklyn
Loyola (IL),San Francisco
Jacksonville State,South Dakota
South Dakota State,Eastern Illinois
South Florida,Texas Tech
Arkansas State,Southeast Missouri State
Southeastern Louisiana,Loyola (LA)
Southern Miss,Spring Hill
Stephen F. Austin,Science and Arts of Oklahoma
Lipscomb,UT-Martin
Texas,Rice
Valparaiso,Texas A&M-Corpus Christi
Texas-Arlington,St. Edward's
Texas Christian,Houston
UTEP,Michigan
North Texas,Texas State
Oral Roberts,Utah
Utah State,Northeastern
Utah Valley,Northern New Mexico
Vanderbilt,Appalachian State
Vermont,NJIT
Weber State,Drake
West Virginia,Virginia Military Institute
South Carolina,Western Kentucky
Illinois,Western Michigan
William & Mary,Mercer
Winthrop,Lander
Southern Illinois,Wright State
Xavier,Wofford
Yale,Army
Youngstown State,Saint Francis (PA)
Columbia,American
Albany (NY),Bowling Green State
Tulsa,Cal State Northridge
Boston College,University of California
Detroit,Niagara
Drexel,Binghamton
Florida,Florida State
Harvard,Colorado
Hampton,High Point
UIC,Toledo
Illinois State,Jacksonville State
Lehigh,Bryant
South Dakota,Louisiana-Monroe
Georgia,Manhattan
Gardner-Webb,Mercer
Michigan State,Tennessee Tech
Missouri,Arkansas-Pine Bluff
Oklahoma State,Murray State
UNLV,Virginia Tech
New Mexico,San Diego
UNC,College of Charleston
Northwestern,Creighton
Notre Dame,Wisconsin
Penn State,Furman
Northern Arizona,Pepperdine
Princeton,Siena
San Jose State,UC-Riverside
LSU,South Alabama
Morehead State,Southern Illinois-Edwardsville
SMU,Central Arkansas
Stanford,DePaul
Texas A&M,Temple
Western Carolina,William & Mary
Baylor,Prairie View
Wagner,Bucknell
Campbell,Johnson C. Smith
Cleveland State,Robert Morris
Davidson,Monmouth
Florida A&M,Webber
North Carolina-Wilmington,George Washington
Idaho State,Montana Tech
IUPUI,Indiana-East
Kansas State,Emporia State
La Salle,Delaware State
Fairleigh Dickinson,Longwood
Marshall,Florida International
Virginia,Minnesota
Loyola (MD),Morgan State
Navy,Mount St. Mary's
Nicholls State,Southern-New Orleans
North Carolina A&T,North Carolina-Greensboro
North Dakota State,Valley City State
Boise State,Northern Illinois
Providence,Central Connecticut
Quinnipiac,Maine
Hofstra,Rider
Seattle,Montana State
Seton Hall,St. Peter's
South Carolina Upstate,North Carolina-Asheville
Belmont,Tennessee State
Texas Christian,USC
Alabama-Birmingham,Troy
