Winner,Loser
Wyoming,Chattanooga
Arizona State,Idaho State
Boise State,Eastern Oregon
Cal State Bakersfield,Whittier
Cal State Northridge,Life Pacific
Nevada,Idaho
Oregon State,Southern Utah
San Diego State,San Diego Christian
San Jose State,Antelope Valley
Santa Clara,La Verne
USC,Cal State Fullerton
Utah,Prairie View
Washington,Belmont
UC-Riverside,University of California
Hawaii,Arkansas-Pine Bluff
Oregon,Coppin State
Long Beach State,San Francisco
UCLA,Georgia Tech
Buffalo,Canisius
Fairfield,Penn
Florida Gulf Coast,Illinois State
Bradley,IUPUI
Ohio,Alabama A&M
Quinnipiac,Dartmouth
Western Michigan,Siena Heights
Appalachian State,Toccoa Falls
Brown,Johnson & Wales (RI)
Drake,Coe
La Salle,St. Peter's
Stephen F. Austin,Longwood
Ouachita,Little Rock
UCSB,North Dakota State
Notre Dame,DePaul
Duquesne,St. Francis (NY)
Wagner,NJIT
Akron,Cleveland State
Duke,Utah Valley
Elon,Peace
Lehigh,Marist
Michigan,North Florida
North Carolina-Wilmington,North Carolina Wesleyan
Presbyterian,Johnson University
Sam Houston State,Texas-Tyler
South Dakota,Mayville State
Toledo,St. Joseph's
Nebraska,Eastern Illinois
Saint Mary's (CA),Saint Francis (PA)
Texas-Arlington,Loyola Marymount
Western Illinois,Saint Mary's (MN)
BYU,Mississippi Valley State
Kent State,Youngstown State
New Mexico,Northern New Mexico
UNLV,Florida A&M
Portland State,Portland
Georgetown,Jacksonville
Boston College,South Carolina State
UMass-Lowell,Massachusetts-Boston
Northern Kentucky,Wilmington (OH)
Seton Hall,Monmouth
Clemson,North Carolina A&T
Eastern Michigan,Michigan-Dearborn
Harvard,UMass
Louisville,George Mason
Mercer,Toccoa Falls
Ohio State,Radford
Rutgers,Central Connecticut
Wofford,Washington & Lee
Appalachian State,Bridgewater (VA)
Kentucky,Vermont
Loyola (IL),Eureka
Oklahoma,Omaha
South Carolina Upstate,Allen
South Dakota State,Mary
Air Force,Texas State
Boise State,Southern Utah
University of California,Cal Poly
Hartford,Gordon
Iowa,Alabama State
Fort Wayne,Defiance
Miami (FL),Navy
North Carolina State,Charleston Southern
Northeastern,Wentworth
Purdue,Chicago State
SMU,Louisiana-Monroe
UTSA,East Central
Washington State,Texas Southern
Central Arkansas,University of the Ozarks
East Carolina,Coppin State
Hampton,Bluefield College (VA)
Lipscomb,Morehead State
UMKC,Haskell Indian Nations Institute
LeTourneau,Northwestern State
Penn State,Fairleigh Dickinson
San Diego,San Jose State
Arizona,UMBC
Arkansas,Bucknell
Butler,Princeton
UC-Irvine,Denver
Illinois,UT-Martin
Maryland,Maryland-Eastern Shore
Wisconsin,Yale
Troy,Arkansas-Pine Bluff
Creighton,Alcorn State
Stetson,Florida International
Seattle,Puget Sound
Virginia Tech,Citadel
Indiana,Howard
Washington,Eastern Washington
Hawaii,North Dakota
Stanford,Pacific
Evansville,North Carolina Central
Jacksonville State,Richmond
Ole Miss,Eastern Kentucky
Minnesota,Providence
Belmont,Vanderbilt
Albany (NY),Boston University
South Dakota,Bowling Green State
Campbell,Columbia International
Cincinnati,Western Carolina
Cornell,Binghamton
Detroit,Michigan-Dearborn
Drexel,Arcadia
Florida,Gardner-Webb
Fordham,LIU-Brooklyn
Georgia Southern,Cal State Bakersfield
Hofstra,Kennesaw State
IUPUI,Anderson (SC)
Old Dominion,James Madison
Louisiana Tech,Southeast Missouri State
Marshall,Southern
Michigan,Central Michigan
Lynchburg,Norfolk State
North Carolina-Asheville,Lees-McRae
Notre Dame,Mount St. Mary's
Oakland,New Orleans
La Salle,Penn
Montana,Pitt
Brown,Quinnipiac
ETSU,Savannah State
Florida Gulf Coast,Siena
Morgan State,South Florida
Towson,Frostburg State
Virginia,Austin Peay
VCU,North Florida
Alabama-Birmingham,Chattanooga
Arkansas State,Abilene Christian
Baylor,Texas A&M-Corpus Christi
DePaul,Delaware State
St. Joseph's,UIC
Incarnate Word,Trinity (TX)
Milwaukee,Iowa State
McNeese State,Ecclesia
Middle Tennessee,Murray State
Nebraska,North Texas
Embry-Riddle Aeronautical University,Northern Arizona
Northern Iowa,Alcorn State
Northwestern,St. Peter's
Oklahoma State,Charlotte
Saint Louis,Rockhurst
Samford,Alabama A&M
South Alabama,Mobile
South Carolina,Western Michigan
Tennessee State,Reinhardt
Texas-Rio Grande Valley,Bethune-Cookman
Tulane,Southeastern Louisiana
Tulsa,Oral Roberts
Valparaiso,Trinity Christian
Xavier,Rider
Grand Canyon,Robert Morris
Missouri,Wagner
North Dakota,Arkansas-Pine Bluff
UC-Davis,Northern Colorado
Oregon,Prairie View
Texas Christian,Tennessee Tech
Utah,Mississippi Valley State
Utah State,Montana State
Wichita State,College of Charleston
Fresno State,Cal State Northridge
Idaho,George Fox
Saint Mary's (CA),New Mexico State
San Francisco,Saint Francis (PA)
Hawaii,Troy
Nevada,Rhode Island
Wyoming,Oregon State
USC,North Dakota State
St. John's (NY),Central Connecticut
Villanova,Nicholls State
Air Force,Canisius
Army,John Jay
Boston College,Sacred Heart
UConn,Stony Brook
Dartmouth,Emerson
Davidson,North Carolina-Wilmington
Duquesne,Virginia Military Institute
Fairfield,Loyola (MD)
Florida State,George Washington
Furman,Elon
Georgia,South Carolina Upstate
Monmouth,Lehigh
Columbia,Longwood
Mercer,Jackson State
Miami (OH),Wright State
Duke,Michigan State
NJIT,Lafayette
North Carolina State,Bryant
Rutgers,Cleveland State
Sam Houston State,Hardin-Simmons
Syracuse,Iona
Tennessee,High Point
Toledo,Ohio Northern
Liberty,Wake Forest
Yale,South Carolina State
Youngstown State,Franciscan
Alabama,Lipscomb
Bradley,Delaware
Chicago State,Silver Lake
Houston Baptist,Arlington Baptist
Kansas State,UMKC
Lamar,Coastal Carolina
Louisiana,Louisiana College
Purdue,Marquette
Memphis,Little Rock
Northern Illinois,Green Bay
Georgia State,Rice
South Dakota State,Alabama State
Texas,New Hampshire
Texas Tech,Maine
Arizona State,San Diego State
Colorado,Denver
Colorado State,Winthrop
Gonzaga,Howard
Utah Valley,Idaho State
Kansas,Kentucky
New Mexico,Omaha
Weber State,West Coast Baptist
UC-Irvine,Chapman
Long Beach State,San Francisco State
Pepperdine,Cal Lutheran
Portland,Walla Walla
Sacramento State,Notre Dame (CA)
Portland State,Willamette
Eastern Washington,Stanford
Savannah State,Middle Georgia State
Missouri State,Southern
Seton Hall,Indiana
Buffalo,Jacksonville State
UCF,Gardner-Webb
Charleston Southern,Columbia International
Radford,East Carolina
Fairleigh Dickinson,Fairleigh Dickinson-Florham
Georgetown,Mount St. Mary's
Fort Wayne,Delaware State
LIU-Brooklyn,New Rochelle
Manhattan,St. Francis (NY)
UMass-Lowell,Marist
North Carolina A&T,Citadel
North Carolina-Greensboro,North Carolina Wesleyan
Penn State,Montana
Penn,Navy
Pitt,UCSB
BYU,Princeton
Rider,Hartford
West Virginia,American
Western Carolina,Hiwassee
William & Mary,Hampton
Austin Peay,Oakland City
Maryland,Butler
Minnesota,Niagara
UNC,Bucknell
Northern Iowa,Wartburg
Oklahoma,Ball State
Valparaiso,Southern Illinois-Edwardsville
SMU,Northwestern State
Stephen F. Austin,St. Edward's
South Florida,Stetson
UT-Martin,North Carolina Central
Texas-Rio Grande Valley,Texas A&M-Corpus Christi
UTSA,Texas State
Western Illinois,Eastern Illinois
Western Kentucky,Kentucky Wesleyan
Creighton,Northwestern
Texas Christian,South Dakota
Utah State,Mississippi Valley State
Washington State,Seattle
Cal Poly,Holy Names
Loyola Marymount,UC-Riverside
Montana State,Montana Western
UNLV,Prairie View
UC-Davis,Pacific
Saint Mary's (CA),Cal State Fullerton
San Diego,Robert Morris
Nevada,Santa Clara
UCLA,Central Arkansas
Florida Atlantic,Edward Waters
Auburn,Indiana State
Illinois State,South Carolina
Temple,Old Dominion
Boise State,UTEP
Iowa State,Appalachian State
Clemson,Ohio
St. John's (NY),Nebraska
Chattanooga,Hiwassee
Cincinnati,Coppin State
Colgate,Cornell
Denver,Johnson & Wales
Eastern Kentucky,Kentucky State
Eastern Michigan,Arkansas State
Florida,North Florida
George Mason,Binghamton
Georgia Southern,Bluefield State
Hofstra,Dayton
Holy Cross,Harvard
Kennesaw State,Piedmont
Kent State,Ohio Christian
La Salle,South Alabama
UMBC,Central Pennsylvania College
Miami (FL),Florida A&M
Michigan,Southern Miss
Belmont,Middle Tennessee
Morehead State,Marshall
Morgan State,Lincoln (PA)
North Carolina State,Presbyterian
Notre Dame,Chicago State
Ohio State,Texas Southern
Saint Louis,Virginia Tech
Tennessee Tech,Boyce
Abilene Christian,Howard Payne
Alabama-Birmingham,LeMoyne-Owen
Evansville,Southeast Missouri State
UIC,Delaware State
Iowa,Grambling
Lamar,Jarvis Christian
Louisiana-Monroe,Southeastern Louisiana
LSU,Samford
Loyola (IL),UMKC
North Texas,Bethune-Cookman
Northern Illinois,St. Francis (IL)
Oklahoma State,Oral Roberts
Southern Utah,San Jose State
Stephen F. Austin,LeTourneau
Troy,Brewton-Parker
Utah,Missouri
Tulsa,Western Michigan
Xavier,Wisconsin
University of California,Wofford
Providence,Washington
Arizona,Cal State Bakersfield
South Carolina,UTEP
Temple,Auburn
Vermont,Bradley
Mercer,Liberty
Boise State,Illinois State
Old Dominion,Indiana State
Tulane,Colorado State
Drexel,Houston
Coastal Carolina,UTSA
Virginia,VCU
Northern Kentucky,James Madison
Louisiana,Savannah State
Virginia Tech,Washington
Western Michigan,Appalachian State
Colorado,Quinnipiac
Elon,Florida International
Florida State,Fordham
Stanford,Northeastern
Alabama,Alabama A&M
Albany (NY),Yale
Ball State,Stony Brook
Cleveland State,Coppin State
Dayton,Ohio
Delaware,Wesley
Duke,Southern
Central Connecticut,East Carolina
Incarnate Word,McMurry
Kentucky,ETSU
Lehigh,Siena
Louisville,Omaha
Towson,Loyola (MD)
Ole Miss,Georgia State
North Carolina Central,Warren Wilson
North Carolina-Greensboro,Ferrum
Rice,Northwestern State
Penn State,Columbia
Providence,Saint Louis
Iowa State,Tulsa
Arizona State,Northern Arizona
Arkansas,Fresno State
Drake,Wake Forest
Eastern Illinois,IUPUI
Green Bay,Lakeland
Illinois,DePaul
Iona,Weber State
Kansas,South Dakota State
Miami (OH),LIU-Brooklyn
North Dakota State,Missouri State
Nicholls State,Spring Hill
Texas A&M,UCSB
Vanderbilt,North Carolina-Asheville
Villanova,Lafayette
Baylor,Alcorn State
Clemson,Hofstra
Kansas State,UC-Irvine
Concordia-St. Paul,Milwaukee
New Mexico State,New Mexico
UCLA,South Carolina State
UNLV,Eastern Washington
Northern Colorado,Pepperdine
San Diego State,McNeese State
San Francisco,Sacramento State
Oregon,Alabama State
Penn,Penn St. - Brandywine
Bradley,UTSA
Texas Tech,Boston College
Georgetown,Maryland-Eastern Shore
Houston,Liberty
Northern Iowa,Chicago State
Central Michigan,Eureka
Manhattan,Harvard
Southern Illinois-Edwardsville,Stetson
Virginia Military Institute,Presbyterian
Wofford,Bob Jones University
Butler,Furman
UCF,William & Mary
Seattle,Detroit
Eastern Michigan,Howard
Fairleigh Dickinson,Kean
George Washington,Hampton
Citadel,High Point
Northwestern,La Salle
Charleston Southern,South Carolina Upstate
Wagner,American
Wake Forest,Quinnipiac
Weber State,James Madison
Gardner-Webb,Warren Wilson
Saint Francis (PA),Longwood
Belmont,Houston Baptist
Navy,Bryant
Elon,Concordia-St. Paul
Evansville,Binghamton
Fort Wayne,UIC
Mississippi State,Florida A&M
Mount St. Mary's,North Florida
Seton Hall,NJIT
St. Bonaventure,Jackson State
Middle Tennessee,Tennessee State
Washington State,Idaho State
Winthrop,Central Pennsylvania College
Cal State Fullerton,Bethesda University (CA)
Vermont,Coastal Carolina
South Alabama,Maine
Stephen F. Austin,Howard Payne
Texas,Lipscomb
Texas State,Texas-Rio Grande Valley
Utah Valley,UC-Davis
Bowling Green State,Florida Gulf Coast
Mercer,Drexel
George Mason,Cal State Northridge
North Carolina A&T,Jacksonville
LIU-Brooklyn,Hartford
Milwaukee,Florida International
Akron,UT-Martin
Portland State,UC-Riverside
Canisius,Youngstown State
College of Charleston,Charlotte
Army,Marist
North Carolina-Wilmington,Campbell
Purdue,Fairfield
St. Peter's,Sacred Heart
St. Joseph's,Princeton
Syracuse,Texas Southern
Tennessee Tech,Kennesaw State
Toledo,Oakland
West Virginia,Morgan State
Murray State,Wright State
Colorado,Drake
Northern Kentucky,Iona
Louisiana Tech,Montana State
Maryland,Bucknell
South Dakota,Grambling
Southern Illinois,Illinois-Springfield
SMU,Arkansas-Pine Bluff
Western Illinois,Calvary
Texas-Arlington,BYU
Grand Canyon,Little Rock
Gonzaga,Utah State
Idaho,Sam Houston State
Nevada,Pacific
San Diego,Norfolk State
Cal Poly,Santa Clara
Oregon State,Long Beach State
Appalachian State,UTEP
UTSA,James Madison
Liberty,Quinnipiac
Sacred Heart,Maine
UMass,Niagara
Rutgers,Coppin State
Georgia,Texas A&M-Corpus Christi
UMass-Lowell,Cornell
Ohio,Indiana State
Rhode Island,Holy Cross
St. Francis (NY),Brown
Virginia,Monmouth
Arizona State,UC-Irvine
Belmont,Seattle
Bradley,Weber State
Central Arkansas,Alcorn State
Colgate,UMBC
Florida International,Concordia-St. Paul
Georgia Tech,Bethune-Cookman
Lehigh,Eastern
Nebraska,North Dakota
Ohio State,Northeastern
Houston,Wake Forest
South Carolina,Western Michigan
Wofford,North Florida
Yale,Curry
North Carolina-Asheville,Austin Peay
Old Dominion,Dayton
Kent State,Mississippi Valley State
Boston College,La Salle
Loyola (IL),Samford
Detroit,Houston Baptist
Cal State Bakersfield,Lamar
Michigan State,Stony Brook
Milwaukee,Elon
Minnesota,Western Carolina
North Carolina Central,Southern
Valparaiso,Southeastern Louisiana
Robert Morris,Duquesne
Florida State,Colorado State
Illinois,Marshall
Coastal Carolina,Iona
Texas Tech,Northwestern
Illinois State,Tulsa
UConn,Boston University
Drake,Drexel
Florida,New Hampshire
Indiana,South Florida
Loyola Marymount,McNeese State
Western Kentucky,Nicholls State
Tulane,Fordham
Auburn,Hofstra
Iowa State,Boise State
Colorado,Mercer
Portland,Oregon Tech
South Alabama,St. Peter's
Saint Mary's (CA),San Jose State
USC,Vanderbilt
Vermont,Northern Kentucky
Temple,Clemson
Oregon,Ball State
Hartford,Miami (OH)
UMKC,Manhattan
Charleston Southern,Toccoa Falls
Louisiana,Iowa
Georgia Southern,Missouri State
Prairie View,Eastern Kentucky
Marquette,VCU
Wyoming,South Dakota State
Wichita State,University of California
Georgia State,Eastern Washington
Penn,Northern Illinois
Richmond,Alabama-Birmingham
Jacksonville State,Savannah State
St. John's (NY),Molloy
Albany (NY),SUNY-Oneonta
Bowling Green State,Lake Erie
Bucknell,Siena
Cincinnati,Buffalo
Campbell,Johnson & Wales (NC)
Charlotte,Presbyterian
Chattanooga,Alabama State
Creighton,UCLA
Duke,Furman
East Carolina,Cleveland State
ETSU,Delaware State
Florida A&M,Albany State (GA)
Rider,George Washington
Jacksonville,Webber
Maryland,Jackson State
North Carolina-Greensboro,Delaware
Texas A&M,Oklahoma State
South Carolina Upstate,Paine
St. Bonaventure,Maryland-Eastern Shore
Stetson,Ave Maria
Syracuse,Oakland
Towson,Florida Atlantic
West Virginia,Long Beach State
Wright State,Tiffin
Lipscomb,Abilene Christian
Arkansas State,Howard
Kansas State,Northern Arizona
Kentucky,Troy
Mississippi State,Green Bay
Missouri,Emporia State
Montana,Oral Roberts
Texas-Rio Grande Valley,North Texas
South Dakota,Mount Marty
Southern Miss,Blue Mountain College
Utah Valley,Eastern Oregon
Xavier,Hampton
Air Force,Arkansas-Pine Bluff
Notre Dame,Chaminade
Grand Canyon,Norfolk State
Penn State,Pitt
Texas Christian,Omaha
Baylor,Wisconsin
UNLV,Rice
UCSB,Pepperdine
Portland State,Utah State
San Diego,Little Rock
San Diego State,Eastern Illinois
LSU,Michigan
UNC,Stanford
Utah,Ole Miss
Missouri State,Manhattan
Winthrop,Mars Hill
Montana State,Binghamton
South Dakota State,Iowa
Florida Atlantic,Northern Illinois
Wichita State,Marquette
Wyoming,Louisiana
Southeast Missouri State,Cal State Northridge
Oklahoma State,Pitt
VCU,University of California
Gardner-Webb,Brevard
Delaware,North Carolina Wesleyan
Savannah State,Alabama State
Buffalo,Alabama-Birmingham
Georgia Southern,UMKC
Citadel,Trinity Baptist
Louisiana Tech,George Mason
Texas A&M,Penn State
Army,Columbia
Bethune-Cookman,Grambling
Central Connecticut,Coppin State
Jacksonville State,Chattanooga
Cincinnati,Richmond
IUPUI,Morehead State
Southeastern Louisiana,Kent State
Louisville,Southern Illinois
Loyola (MD),Goucher
UMass,Western Carolina
Middle Tennessee,Florida Gulf Coast
Morgan State,Goldey-Beacom
Mount St. Mary's,York (PA)
American,New Hampshire
North Carolina A&T,Mid-Atlantic Christian
North Carolina-Greensboro,Longwood
North Florida,Edward Waters
Rutgers,Bryant
Saint Francis (PA),Franciscan
Central Arkansas,South Carolina State
Towson,Penn
UCLA,Wisconsin
Virginia Military Institute,Ohio Valley
Virginia Tech,Houston Baptist
Wagner,Staten Island
William & Mary,Shenandoah
Youngstown State,Westminster
Michigan,Chaminade
Chicago State,East-West
Evansville,Fresno State
High Point,Methodist
Kansas,Texas Southern
Northwestern State,Louisiana-Monroe
Loyola (IL),Mississippi Valley State
Memphis,New Orleans
Minnesota,Alabama A&M
North Dakota,Northland
Tennessee State,Canisius
Valparaiso,Samford
Pacific,Air Force
Alabama,Texas-Arlington
BYU,Niagara
Tennessee Tech,New Mexico
Northern Colorado,Northern New Mexico
UCSB,Montana
Baylor,Creighton
Notre Dame,LSU
Nevada,Davidson
Pepperdine,Oral Roberts
UC-Davis,Sacramento State
San Francisco,Sonoma State
Southern Utah,Benedictine
Northern Illinois,Manhattan
Iowa,Alabama-Birmingham
Binghamton,Cal State Northridge
Tennessee,Purdue
Yale,Alcorn State
Missouri State,Florida Atlantic
Sacred Heart,Mitchell
South Dakota State,Buffalo
Chaminade,University of California
Eastern Washington,Eastern Kentucky
Fairleigh Dickinson,Holy Cross
Florida State,Kennesaw State
Boston University,Maine
Villanova,Western Kentucky
Coastal Carolina,St. Andrews
Delaware,Longwood
UMass-Lowell,LIU-Brooklyn
Montana State,Southeast Missouri State
Navy,Washington College
Austin Peay,Bethel (TN)
Boston College,Colgate
Cal Poly,College of Charleston
Prairie View,Georgia State
James Madison,Appalachian State
McNeese State,Champion Baptist
NJIT,Kean
Indiana State,Missouri-St. Louis
Michigan,VCU
Penn,UMKC
Louisiana,Richmond
Central Michigan,Sam Houston State
Fresno State,George Mason
Miami (FL),La Salle
Stony Brook,Brown
Texas Tech,Wofford
Bucknell,Ball State
Cincinnati,Wyoming
Albany (NY),Dartmouth
Troy,ETSU
Elon,Radford
Towson,Georgia Southern
Georgia Tech,Texas-Rio Grande Valley
Illinois,Augustana (IL)
Indiana,Arkansas State
North Carolina-Asheville,Monmouth
North Carolina State,Arizona
Princeton,Lafayette
Providence,Belmont
South Florida,Howard
Syracuse,Toledo
Vermont,Maine-Fort Kent
Bradley,Missouri S&T
Loyola Marymount,Incarnate Word
Kentucky,Fort Wayne
Lamar,Southern-New Orleans
Marquette,LSU
Louisiana Tech,Evansville
Marshall,North Carolina Central
Mississippi State,Stephen F. Austin
North Dakota State,Florida A&M
North Texas,Rogers State
Detroit,Saint Louis
Stetson,South Alabama
Southern,UT-Martin
Western Illinois,Southern Illinois-Edwardsville
Tulane,Miami (OH)
Idaho,Santa Clara
Illinois State,Quincy
New Mexico State,Colorado State
Northern Iowa,SMU
Texas State,Arkansas-Pine Bluff
UC-Riverside,Western New Mexico
Notre Dame,Wichita State
Ole Miss,Rice
San Jose State,Idaho State
USC,Lehigh
Cal State Bakersfield,Alaska-Anchorage
UNLV,Utah
Missouri,Long Beach State
UMBC,Chicago State
Villanova,Tennessee
UNC,Portland
Hampton,Northern Arizona
St. John's (NY),Oregon State
Nicholls State,Presbyterian
Northern Iowa,North Carolina State
Duke,Portland State
Saint Mary's (CA),Harvard
Virginia,Vanderbilt
Xavier,George Washington
Arkansas,Oklahoma
UCF,Nebraska
Rhode Island,Seton Hall
Washington State,St. Joseph's
Arizona State,Kansas State
Western Kentucky,Purdue
Texas,Butler
West Virginia,Marist
UConn,Oregon
College of Charleston,Sam Houston State
SMU,Arizona
Georgia,Cal State Fullerton
Rider,UC-Irvine
Florida,Stanford
Alaska-Anchorage,Santa Clara
Michigan State,DePaul
Gonzaga,Ohio State
San Diego State,Sacramento State
Missouri,St. John's (NY)
Presbyterian,Chicago State
Minnesota,UMass
Tennessee Tech,Omaha
Villanova,Northern Iowa
South Florida,Arkansas State
Furman,New Hampshire
Long Beach State,Oregon State
Rutgers,East Carolina
Washington State,Saint Mary's (CA)
Alabama,BYU
UC-Irvine,Northern Arizona
Abilene Christian,Campbell
Maryland-Eastern Shore,Jackson State
UMBC,Nicholls State
Tennessee,North Carolina State
Southeastern Louisiana,Samford
UNC,Arkansas
Butler,Portland State
Clemson,Texas Southern
Bryant,Hartford
New Orleans,Spring Hill
Utah State,Northeastern
Penn State,Oral Roberts
Washington,Seattle
Cornell,Toledo
Jacksonville,Fairfield
Georgia Tech,North Texas
Indiana,Eastern Michigan
Niagara,Alabama A&M
Harvard,St. Joseph's
Navy,St. Francis (NY)
Arizona State,Xavier
Central Connecticut,Cleveland State
Loyola (IL),North Carolina-Wilmington
Bowling Green State,South Carolina Upstate
Duke,Texas
West Virginia,UCF
Oklahoma,Portland
Robert Morris,Norfolk State
South Dakota,Southern Miss
Auburn,Winthrop
Charlotte,High Point
Florida Gulf Coast,Denver
Green Bay,Florida A&M
Illinois,North Carolina Central
Valparaiso,Kent State
Louisville,Saint Francis (PA)
Nebraska,Marist
Ohio,Mount St. Mary's
Virginia,Rhode Island
San Diego State,Georgia
Texas-Arlington,Western Carolina
Texas Christian,New Mexico
Wake Forest,North Carolina-Greensboro
Western Kentucky,SMU
Wright State,Gardner-Webb
Eastern Illinois,Fontbonne
Florida State,Citadel
Kansas,Oakland
Kansas State,George Washington
Missouri State,Evangel
Northwestern,Sacred Heart
UTSA,Texas A&M-Corpus Christi
Utah,Eastern Washington
Central Michigan,Cal Poly
Colorado State,Northwestern State
Oregon,DePaul
St. Bonaventure,Maryland
Northern Colorado,Youngstown State
Ohio State,Stanford
Pacific,Arkansas-Pine Bluff
Purdue,Arizona
Cal State Fullerton,Sacramento State
Seton Hall,Vanderbilt
Texas A&M,Pepperdine
Wisconsin,Milwaukee
UCSB,Prairie View
Rider,Hampton
Cal State Bakersfield,Idaho
Canisius,Texas State
Florida,Gonzaga
Michigan State,UConn
Nevada,Hawaii
Jackson State,Omaha
Tulsa,Central Arkansas
Brown,LIU-Brooklyn
Albany (NY),Holy Cross
Ball State,Indiana State
Utah State,New Hampshire
Tennessee Tech,Maryland-Eastern Shore
Virginia Tech,Morehead State
Bradley,Georgia Southern
Bowling Green State,Campbell
Colgate,Columbia
Detroit,Siena Heights
Fairfield,Gardner-Webb
Liberty,Toccoa Falls
BYU,UMass
Southeastern Louisiana,Mississippi Valley State
Pitt,Lehigh
Siena,Hofstra
Western Michigan,Northwood (MI)
Vermont,Yale
Utah Valley,North Dakota
Furman,Northeastern
Texas Tech,Savannah State
American,Virginia Military Institute
Robert Morris,Little Rock
Bethune-Cookman,Florida College
Creighton,Southern Illinois-Edwardsville
Delaware State,Georgian Court
ETSU,Fort Wayne
Maryland,New Mexico
McNeese State,Southern-New Orleans
Miami (FL),North Florida
NJIT,Drexel
Radford,James Madison
Sam Houston State,Santa Clara
Denver,St. Francis (NY)
Western Carolina,Alabama A&M
Eastern Kentucky,Asbury
Loyola (IL),Kent State
Minnesota,Alabama
South Carolina Upstate,Abilene Christian
Wright State,Jacksonville
Southern Miss,Youngstown State
College of Charleston,Alaska-Anchorage
Alcorn State,Concordia (AL)
Memphis,Northern Kentucky
Georgetown,Richmond
Appalachian State,Davidson
Chattanooga,Tennessee Wesleyan
Dayton,Akron
Florida Gulf Coast,Navy
Tennessee State,Kennesaw State
Penn,Monmouth
Valparaiso,North Carolina-Wilmington
